geonames_id,nom,type,departement_fr,departement_ht,commune_fr,commune_ht,pcode_departement,pcode_commune,pcode_section,rattachement,population,latitude,longitude
3715776,Zumy,PPL,Sud-Est,Sidès,Marigot,Marigo,HT02,HT0212,HT0212-02,polygone,,18.28333,-72.33333
3715778,Zoulien,PPL,Ouest,Lwès,Pétion-Ville,Petyonvil,HT01,HT0114,HT0114-02,polygone,,18.43583,-72.20722
3715779,Zorazo,PPL,Ouest,Lwès,Kenscoff,Kenskòf,HT01,HT0115,HT0115-03,polygone,,18.43333,-72.3
3715782,Zoranger,PPL,Artibonite,Latibonit,Anse Rouge,Ans Rouj,HT05,HT0523,HT0523-01,polygone,,19.68333,-72.9
3715783,Zoranger,PPL,Artibonite,Latibonit,Petite Rivière de l'Artibonite,Ti Rivyè Latibonit,HT05,HT0542,HT0542-06,polygone,,19.03668,-72.3165
3715784,Zoranger,PPL,Ouest,Lwès,Pointe à Raquette,Pwent a Rakèt,HT01,HT0152,HT0152-03,polygone,,18.88333,-73.18333
3715785,Zoranger,PPL,Ouest,Lwès,Croix-Des-Bouquets,Kwadèboukè,HT01,HT0131,HT0131-10,polygone,,18.76667,-72.26667
3715786,Zoranger,PPL,Ouest,Lwès,Cornillon / Grand Bois,Kòniyon / Gran Bwa,HT01,HT0134,HT0134-03,polygone,,18.71667,-71.86667
3715787,Zoranger,PPL,Sud-Est,Sidès,Bainet,Benè,HT02,HT0221,HT0221-05,polygone,,18.21667,-72.81667
3715789,Zoracon,PPL,Centre,Sant,Thomassique,Tomasik,HT06,HT0642,HT0642-02,polygone,,19.06667,-71.81667
