pcode_commune,commune,pct_zone_inondable,noeuds_echantillon,source_id,source,limite_connue
HT0812,Abricots,3.0,981,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0321,Acul du Nord,16.1,1796,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0922,Anse-a-Foleur,4.0,675,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0234,Anse-a-Pitre,0.0,1730,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT1021,Anse-a-Veau,21.5,1020,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0151,Anse a Galets,1.6,3588,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0821,Anse d'Hainault,4.2,924,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0523,Anse Rouge,14.9,4128,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0731,Aquin,20.9,6051,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0141,Arcahaie,11.3,3911,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT1024,Arnaud,9.5,706,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0723,Arniquet,4.5,470,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0332,Bahon,0.0,753,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0932,Baie de Henne,3.0,1958,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0221,Bainet,1.9,2848,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT1031,Baraderes,8.4,1766,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0362,Bas Limbe,55.7,506,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0913,Bassin Bleu,5.0,2039,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0833,Beaumont,0.0,1597,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0632,Belladere,0.0,2863,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0231,Belle Anse,2.5,3637,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0933,Bombardopolis,0.0,1784,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0813,Bonbon,6.4,326,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0351,Borgne,2.0,1735,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0623,Boucan Carre,4.3,3388,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0142,Cabaret,10.7,1942,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0714,Camp-Perrin,15.2,1201,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0311,Cap-Haitien,34.9,521,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0422,Capotille,3.3,581,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0434,Caracol,95.8,714,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0442,Carice,13.6,537,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0113,Carrefour,3.3,1553,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0733,Cavaillon,17.0,2172,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0213,Cayes-Jacmel,6.1,766,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0614,Cerca Carvajal,0.3,1488,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0641,Cerca La Source,5.9,3450,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0815,Chambellan,5.0,699,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0914,Chamsolme,9.1,516,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0713,Chantal,8.9,1432,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0751,Chardonnieres,4.7,1094,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0117,Cite Soleil,95.6,204,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0831,Corail,4.4,1022,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0134,Cornillon / Grand Bois,0.0,2138,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0741,Coteaux,8.6,674,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
HT0222,Cotes de Fer,2.6,1660,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026",Zones inondables cartographiées (méthode source non documentée dans la couche) — PAS un aléa probabiliste par période de retour. Échantillonnage ~330 m : ordre de grandeur.
