pcode_commune,atmart_geo_id,nom_commune,caisses_desservant,sigles,source_id,source,millesime,limite_connue,date_extraction
HT0111,HTC-0111,Port-au-Prince,2,KOFAS MUCI-CEC,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0112,HTC-0112,Delmas,2,CPSA UCEC,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0113,HTC-0113,Carrefour,1,KOFAS,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0114,HTC-0114,Pétion-Ville,2,CAPODOSA KOTELAM,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0116,HTC-0116,Gressier,1,MAMEV,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0118,HTC-0118,Tabarre,1,COSODEV,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0121,HTC-0121,Léogâne,2,CLEF KEPOMEK,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0123,HTC-0123,Grand-Goâve,1,KPODA,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0131,HTC-0131,Croix-Des-Bouquets,1,COSODEV,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0141,HTC-0141,Arcahaie,1,KPK,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
HT0142,HTC-0142,Cabaret,1,KPK,SRC-053,"BRH — liste des caisses populaires agréées, sièges et comptoirs rattachés par Atmart",mars 2025,"Une commune est comptée comme DESSERVIE si une caisse y a son siège ou y déclare un comptoir. Sur 71 libellés de comptoir, 43 ne désignent pas une commune : ce sont des localités (Montrouis, Pont-Sondé, Liancourt) ou des adresses de rue. Ils ne sont pas rattachés — une localité n'est pas une commune, et deviner son rattachement demande de connaître le pays plutôt que de lire le fichier. Le compte des communes desservies est donc un PLANCHER.",2026-08-21
