pcode_commune,commune,pcode_departement,pcode_region_enquete,region_enquete,methode_de_rattachement,motif_si_indetermine,portee_de_la_valeur,source,source_id
HT0111,Port-au-Prince,HT01,412001,Aire métropolitaine,contour de l'enquête — marge de 70 points sur l'autre région de l'Ouest,,"estimation de la RÉGION D'ENQUÊTE, pas mesure de la commune",EMMUS / DHS Program — contours de l'enquête ; découpage administratif du référentiel Atmart,SRC-066
HT0112,Delmas,HT01,412001,Aire métropolitaine,contour de l'enquête — marge de 100 points sur l'autre région de l'Ouest,,"estimation de la RÉGION D'ENQUÊTE, pas mesure de la commune",EMMUS / DHS Program — contours de l'enquête ; découpage administratif du référentiel Atmart,SRC-066
HT0113,Carrefour,HT01,412001,Aire métropolitaine,contour de l'enquête — marge de 24 points sur l'autre région de l'Ouest,,"estimation de la RÉGION D'ENQUÊTE, pas mesure de la commune",EMMUS / DHS Program — contours de l'enquête ; découpage administratif du référentiel Atmart,SRC-066
HT0114,Pétion-Ville,HT01,,indéterminée,aucune,"l'enquête coupe l'Ouest en deux et ne publie pas la liste des communes de son aire métropolitaine ; le contour ne sépare les deux que de 17 points, sous le seuil de 20","estimation de la RÉGION D'ENQUÊTE, pas mesure de la commune",EMMUS / DHS Program — contours de l'enquête ; découpage administratif du référentiel Atmart,SRC-066
HT0115,Kenscoff,HT01,,indéterminée,aucune,"l'enquête coupe l'Ouest en deux et ne publie pas la liste des communes de son aire métropolitaine ; le contour ne sépare les deux que de 15 points, sous le seuil de 20","estimation de la RÉGION D'ENQUÊTE, pas mesure de la commune",EMMUS / DHS Program — contours de l'enquête ; découpage administratif du référentiel Atmart,SRC-066
HT0116,Gressier,HT01,412002,Reste de l'Ouest,contour de l'enquête — marge de 52 points sur l'autre région de l'Ouest,,"estimation de la RÉGION D'ENQUÊTE, pas mesure de la commune",EMMUS / DHS Program — contours de l'enquête ; découpage administratif du référentiel Atmart,SRC-066
HT0117,Cité Soleil,HT01,412001,Aire métropolitaine,contour de l'enquête — marge de 29 points sur l'autre région de l'Ouest,,"estimation de la RÉGION D'ENQUÊTE, pas mesure de la commune",EMMUS / DHS Program — contours de l'enquête ; découpage administratif du référentiel Atmart,SRC-066
HT0118,Tabarre,HT01,412001,Aire métropolitaine,contour de l'enquête — marge de 47 points sur l'autre région de l'Ouest,,"estimation de la RÉGION D'ENQUÊTE, pas mesure de la commune",EMMUS / DHS Program — contours de l'enquête ; découpage administratif du référentiel Atmart,SRC-066
HT0121,Léogâne,HT01,412002,Reste de l'Ouest,contour de l'enquête — marge de 70 points sur l'autre région de l'Ouest,,"estimation de la RÉGION D'ENQUÊTE, pas mesure de la commune",EMMUS / DHS Program — contours de l'enquête ; découpage administratif du référentiel Atmart,SRC-066
HT0122,Petit-Goâve,HT01,412002,Reste de l'Ouest,contour de l'enquête — marge de 53 points sur l'autre région de l'Ouest,,"estimation de la RÉGION D'ENQUÊTE, pas mesure de la commune",EMMUS / DHS Program — contours de l'enquête ; découpage administratif du référentiel Atmart,SRC-066
HT0123,Grand-Goâve,HT01,412002,Reste de l'Ouest,contour de l'enquête — marge de 71 points sur l'autre région de l'Ouest,,"estimation de la RÉGION D'ENQUÊTE, pas mesure de la commune",EMMUS / DHS Program — contours de l'enquête ; découpage administratif du référentiel Atmart,SRC-066
