pcode_commune,commune,departement,sante_min,hopital_min,ecole_min,marche_min,ecoles_declarees,ecoles_vues,ecoles_part_vue_pct,pop_ecart_ratio,part_arbres_pct,part_cultures_pct,part_bati_2020_pct,croissance_bati_pct,pvout_moyen,sante_declaree,sante_publique_declaree,sante_vue_osm,seismes_100km,seisme_max_mag,cyclones_100km,cyclone_vent_max_kmh,pluie_normale_mm,eau_permanente_km2,batiments_nb,familles_a_verifier,ecart_sante,ecart_ecoles,ecart_population
HT0111,Port-au-Prince,Ouest,0.5,0.7,0.3,1.6,502,369,73.5,1.11,29.24,0.01,26.93,23.0,1680.8,64,0,164,146,7,54,241,1491.8,0.004,68666,0,2.56,1.36,1.11
HT0112,Delmas,Ouest,0.6,0.8,0.4,1.7,679,463,68.2,1.1,5.3,0.11,38.949,11.8,1781.8,44,0,165,142,7,55,241,1116.3,0.0,60375,1,3.75,1.47,1.1
HT0113,Carrefour,Ouest,1.1,1.4,0.5,3.0,679,279,41.1,1.11,32.13,0.01,5.095,82.7,1561.4,37,0,65,163,7,55,241,1557.7,0.041,70802,0,1.76,2.43,1.11
HT0114,Pétion-Ville,Ouest,1.4,1.7,1.0,3.2,714,144,20.2,1.09,34.84,0.2,9.018,119.0,1680.6,26,0,63,157,7,59,241,1721.6,0.0,91813,1,2.42,4.96,1.09
HT0115,Kenscoff,Ouest,12.5,12.5,9.8,0.6,78,13,16.7,1.2,23.34,0.13,1.082,244.2,1519.4,11,0,4,156,7,59,241,1599.5,0.0,16015,1,2.75,6.0,1.2
HT0116,Gressier,Ouest,1.2,2.2,0.9,3.1,152,29,19.1,10.53,48.75,0.07,4.576,705.8,1669.3,13,0,12,161,7.2,52,241,1324.7,0.145,31944,2,1.08,5.24,10.53
HT0117,Cité Soleil,Ouest,0.9,1.2,0.4,1.3,298,234,78.5,1.11,15.14,2.34,19.928,104.8,1813.1,14,0,37,143,7,55,241,1346.8,0.014,28321,0,2.64,1.27,1.11
HT0118,Tabarre,Ouest,1.0,1.5,0.5,1.9,312,264,84.6,1.23,13.16,2.66,24.645,101.0,1817.8,19,0,61,142,7,56,241,1116.3,0.0,32258,1,3.21,1.18,1.23
HT0121,Léogâne,Ouest,1.3,4.9,0.8,2.2,393,164,41.7,1.24,38.69,0.84,2.235,381.9,1651.3,29,0,39,192,7.2,56,241,1365.4,0.152,72588,0,1.34,2.4,1.24
HT0122,Petit-Goâve,Ouest,1.6,1.6,1.1,1.8,285,68,23.9,1.68,40.63,0.59,0.932,245.7,1625.8,10,0,22,203,7.2,54,241,1306.7,1.189,29496,1,2.2,4.19,1.68
HT0123,Grand-Goâve,Ouest,5.8,5.8,2.9,8.6,132,45,34.1,1.15,39.02,0.17,0.914,237.3,1628.3,5,0,12,201,7.2,53,241,1333.2,0.256,21230,0,2.4,2.93,1.15
HT0131,Croix-Des-Bouquets,Ouest,1.1,1.7,0.6,3.2,876,985,112.4,2.26,19.88,4.34,4.104,135.2,1711.3,42,0,185,158,7,67,259,1136.3,0.077,176930,1,4.4,1.12,2.26
HT0132,Thomazeau,Ouest,3.9,4.9,5.0,7.9,22,35,159.1,1.1,19.1,3.86,1.276,122.6,1821.4,2,0,11,147,7,58,241,835.4,23.886,25716,1,5.5,1.59,1.1
HT0133,Ganthier,Ouest,5.2,5.9,5.1,15.1,133,6,4.5,1.04,9.63,2.31,1.072,87.4,1734.5,9,0,9,150,7,62,259,1237.4,89.72,31154,1,1.0,22.17,1.04
HT0134,Cornillon / Grand Bois,Ouest,7.1,7.1,4.7,6.5,38,7,18.4,1.24,18.62,0.41,0.273,275.8,1748.0,3,0,6,140,7,56,241,948.0,0.0,9375,1,2.0,5.43,1.24
HT0135,Fonds-Verrettes,Ouest,4.5,4.5,1.3,4.4,90,15,16.7,1.25,28.89,8.1,0.431,554.0,1540.0,4,0,6,131,7,62,259,988.5,0.0,12288,1,1.5,6.0,1.25
