niveau_admin,pcode,nom,personnes_deplacees_presentes,date_rapport,ronde,source_id,source,limite_connue
0,HT,Haïti,193626,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
1,HT01,Ouest,1422,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
1,HT02,Sud-Est,175231,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
1,HT03,Nord,30523,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
1,HT04,Nord Est,10385,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
1,HT05,Artibonite,134290,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
1,HT06,Centre,146012,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
1,HT07,Sud,193365,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
1,HT08,Grande Anse,119380,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
1,HT09,Nord Ouest,1562,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
1,HT10,Nippes,72753,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0111,Port-Au-Prince,2377,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0112,Delmas,80412,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0113,Carrefour,2284,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0114,Petion-Ville,162,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0115,Kenscoff,1943,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0116,Gressier,150,2024-05-31T00:00:00,ronde 7,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0117,Cite Soleil,20238,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0118,Tabarre,7471,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0121,Leogane,49462,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0122,Petit Goave,11129,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0123,Grand-Goave,15671,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0131,Croix-Des-Bouquets,170,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0132,Thomazeau,396,2025-06-30T00:00:00,ronde 10,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0133,Ganthier,523,2025-06-30T00:00:00,ronde 10,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0134,Cornillon/Grd Bois,1422,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0141,Arcahaie,14036,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0142,Cabaret,26895,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0151,Anse A Galet,3578,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0152,Pointe A Raquette,4267,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0211,Jacmel,71753,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
2,HT0212,Marigot,10014,2026-05-31T00:00:00,ronde 13,SRC-032,"OIM — Displacement Tracking Matrix (via HDX), attribution requise",Recensement des sites et communautés hôtes accessibles à l'OIM — pas un registre exhaustif des déplacés.
