code_circonscription,circonscription,departement,arrondissement,parti,candidat,annee_t1,mois_t1,pv_inclus_t1,pv_attendus_t1,resultat_t1,voix_t1,valides_t1,blancs_t1,nuls_t1,annee_t2,mois_t2,pv_inclus_t2,pv_attendus_t2,resultat_t2,voix_t2,valides_t2,blancs_t2,nuls_t2,elu,annee_annule,mois_annule,pv_inclus_annule,pv_attendus_annule,voix_annule,valides_annule,blancs_annule,nuls_annule,notes_de_la_source,source,licence,source_id
1,GONAIVES,ARTIBONITE,GONAIVES,AAA,LATORTUE JACOB,2015,8,352,380,1,4873,22664,217,1183,2015,10,369,380,0,15132,30354,501,1346,0,,,,,,,,,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
1,GONAIVES,ARTIBONITE,GONAIVES,KID,DERIUS NETLANDE PIERRE,2015,8,352,380,1,1754,22664,217,1183,2015,10,369,380,0,15222,30354,501,1346,1,,,,,,,,,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
1,GONAIVES,ARTIBONITE,GONAIVES,BOUCLIER,ETIENNE GUIBERT,2015,8,352,380,0,1735,22664,217,1183,,,,,,,,,,0,,,,,,,,,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
1,GONAIVES,ARTIBONITE,GONAIVES,MOCHRENHA,DIEUJUSTE ARSENE,2015,8,352,380,0,1677,22664,217,1183,,,,,,,,,,0,,,,,,,,,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
1,GONAIVES,ARTIBONITE,GONAIVES,VERITE,GENE RENAUD,2015,8,352,380,0,1607,22664,217,1183,,,,,,,,,,0,,,,,,,,,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
1,GONAIVES,ARTIBONITE,GONAIVES,KONTRAPEPLA,MONDELUS DIMILSAINT,2015,8,352,380,0,1493,22664,217,1183,,,,,,,,,,0,,,,,,,,,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
1,GONAIVES,ARTIBONITE,GONAIVES,P.H.T.K,DALENCOURT HERBY,2015,8,352,380,0,1108,22664,217,1183,,,,,,,,,,0,,,,,,,,,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
1,GONAIVES,ARTIBONITE,GONAIVES,FUSION,FRANCOIS RIGOT,2015,8,352,380,0,1005,22664,217,1183,,,,,,,,,,0,,,,,,,,,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
1,GONAIVES,ARTIBONITE,GONAIVES,RENMEN AYITI,DESIR SYLVAIN,2015,8,352,380,0,983,22664,217,1183,,,,,,,,,,0,,,,,,,,,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
1,GONAIVES,ARTIBONITE,GONAIVES,OPL,BIEN-AIME WASHNY,2015,8,352,380,0,966,22664,217,1183,,,,,,,,,,0,,,,,,,,,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
