pcode_departement,departement,milieu,taux_pauvrete_pct,ecart_pauvrete,ecart_pauvrete_au_carre,population,nombre_de_pauvres,part_population_pct,part_des_pauvres_pct,annee,seuil,source_id,attribution
HT05,Artibonite,urbain,42,10,4,727075,304672,41,29,2012,seuil national officiel (ONPES 2014),SRC-019,"Banque mondiale et ONPES, « Haïti : Investir dans l'humain pour combattre la pauvreté » (2014), tableau A.1, d'après l'ECVMAS 2012 de l'IHSI — CC BY 3.0 IGO"
HT05,Artibonite,rural,74,34,20,1028727,757382,59,71,2012,seuil national officiel (ONPES 2014),SRC-019,"Banque mondiale et ONPES, « Haïti : Investir dans l'humain pour combattre la pauvreté » (2014), tableau A.1, d'après l'ECVMAS 2012 de l'IHSI — CC BY 3.0 IGO"
HT05,Artibonite,total,60,24,13,1755802,1062054,100,100,2012,seuil national officiel (ONPES 2014),SRC-019,"Banque mondiale et ONPES, « Haïti : Investir dans l'humain pour combattre la pauvreté » (2014), tableau A.1, d'après l'ECVMAS 2012 de l'IHSI — CC BY 3.0 IGO"
HT06,Centre,urbain,47,13,6,141101,65818,19,12,2012,seuil national officiel (ONPES 2014),SRC-019,"Banque mondiale et ONPES, « Haïti : Investir dans l'humain pour combattre la pauvreté » (2014), tableau A.1, d'après l'ECVMAS 2012 de l'IHSI — CC BY 3.0 IGO"
HT06,Centre,rural,81,39,22,620060,500360,81,88,2012,seuil national officiel (ONPES 2014),SRC-019,"Banque mondiale et ONPES, « Haïti : Investir dans l'humain pour combattre la pauvreté » (2014), tableau A.1, d'après l'ECVMAS 2012 de l'IHSI — CC BY 3.0 IGO"
HT06,Centre,total,74,34,19,761161,566178,100,100,2012,seuil national officiel (ONPES 2014),SRC-019,"Banque mondiale et ONPES, « Haïti : Investir dans l'humain pour combattre la pauvreté » (2014), tableau A.1, d'après l'ECVMAS 2012 de l'IHSI — CC BY 3.0 IGO"
HT08,Grande'Anse,urbain,70,28,14,109379,76404,22,19,2012,seuil national officiel (ONPES 2014),SRC-019,"Banque mondiale et ONPES, « Haïti : Investir dans l'humain pour combattre la pauvreté » (2014), tableau A.1, d'après l'ECVMAS 2012 de l'IHSI — CC BY 3.0 IGO"
HT08,Grande'Anse,rural,82,39,22,399246,328582,78,81,2012,seuil national officiel (ONPES 2014),SRC-019,"Banque mondiale et ONPES, « Haïti : Investir dans l'humain pour combattre la pauvreté » (2014), tableau A.1, d'après l'ECVMAS 2012 de l'IHSI — CC BY 3.0 IGO"
HT08,Grande'Anse,total,80,36,21,508625,404986,100,100,2012,seuil national officiel (ONPES 2014),SRC-019,"Banque mondiale et ONPES, « Haïti : Investir dans l'humain pour combattre la pauvreté » (2014), tableau A.1, d'après l'ECVMAS 2012 de l'IHSI — CC BY 3.0 IGO"
HT10,Nippes,urbain,57,23,12,59362,33885,17,15,2012,seuil national officiel (ONPES 2014),SRC-019,"Banque mondiale et ONPES, « Haïti : Investir dans l'humain pour combattre la pauvreté » (2014), tableau A.1, d'après l'ECVMAS 2012 de l'IHSI — CC BY 3.0 IGO"
