indicateur_id,libelle_source,langue_du_libelle,famille,sous_famille_source,type_de_mesure,est_un_effectif,valeurs,enquetes,annees,premiere_enquete,derniere_enquete,regions_distinctes,fait_une_serie,source_id,licence
CO_INUS_M_DAY,Men who used the internet almost every day,en,Accès à l'information,Internet usage,pourcentage,non,12,1,2016,2016,2016,12,non,SRC-066,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion"
CO_INUS_M_EVU,Men who ever used the internet,en,Accès à l'information,Internet usage,pourcentage,non,12,1,2016,2016,2016,12,non,SRC-066,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion"
CO_INUS_M_LES,Men who used the internet less than once a week,en,Accès à l'information,Internet usage,pourcentage,non,12,1,2016,2016,2016,12,non,SRC-066,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion"
CO_INUS_M_NM1,Number of men who used the internet,en,Accès à l'information,Internet usage,effectif,oui,12,1,2016,2016,2016,12,non,SRC-066,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion"
CO_INUS_M_NON,Men who did not use the internet at all,en,Accès à l'information,Internet usage,pourcentage,non,12,1,2016,2016,2016,12,non,SRC-066,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion"
CO_INUS_M_NUM,Number of men,en,Accès à l'information,Internet usage,effectif,oui,12,1,2016,2016,2016,12,non,SRC-066,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion"
CO_INUS_M_TOT,Total,en,Accès à l'information,Internet usage,pourcentage,non,12,1,2016,2016,2016,12,non,SRC-066,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion"
CO_INUS_M_U12,Men who used the internet in the past 12 months,en,Accès à l'information,Internet usage,pourcentage,non,12,1,2016,2016,2016,12,non,SRC-066,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion"
CO_INUS_M_UN1,Number of men who used the internet (unweighted),en,Accès à l'information,Internet usage,effectif,oui,12,1,2016,2016,2016,12,non,SRC-066,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion"
CO_INUS_M_UNW,Number of men (unweighted),en,Accès à l'information,Internet usage,effectif,oui,12,1,2016,2016,2016,12,non,SRC-066,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion"
