enquete,annee,region,pcode_region_enquete,cartographiable,indicateur_id,precision_source,valeur,ic_bas,ic_haut,denominateur_pondere,denominateur_brut
EMMUS 2000,2000,Aire métropolitaine,412001,oui,AH_CIGA_M_04C,,45.7,,,72,30
EMMUS 2000,2000,Artibonite,412006,oui,AH_CIGA_M_04C,,56.1,,,77,46
EMMUS 2000,2000,Centre,412007,oui,AH_CIGA_M_04C,,34.9,,,23,35
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_04C,,39.2,,,38,55
EMMUS 2000,2000,Nord,412004,oui,AH_CIGA_M_04C,,47.5,,,32,44
EMMUS 2000,2000,Nord-Ouest,412012,oui,AH_CIGA_M_04C,,22.0,,,15,31
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,AH_CIGA_M_04C,,34.6,,,59,39
EMMUS 2000,2000,Sud,412008,oui,AH_CIGA_M_04C,,58.2,,,36,49
EMMUS 2000,2000,Sud-Est,412003,oui,AH_CIGA_M_04C,,40.7,,,16,29
EMMUS 2012,2012,Aire métropolitaine,412001,oui,AH_CIGA_M_04C,,49.0,,,236,129
EMMUS 2012,2012,Artibonite,412006,oui,AH_CIGA_M_04C,,37.2,,,129,61
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,AH_CIGA_M_04C,,50.5,,,63,125
EMMUS 2012,2012,Centre,412007,oui,AH_CIGA_M_04C,,55.7,,,57,73
EMMUS 2012,2012,Grand'Anse,412010,oui,AH_CIGA_M_04C,,60.2,,,45,88
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_04C,,58.0,,,64,127
EMMUS 2012,2012,Nippes,412011,oui,AH_CIGA_M_04C,,52.5,,,19,39
EMMUS 2012,2012,Nord,412004,oui,AH_CIGA_M_04C,,53.0,,,49,44
EMMUS 2012,2012,Nord-Est,412005,oui,AH_CIGA_M_04C,,44.2,,,18,39
EMMUS 2012,2012,Nord-Ouest,412012,oui,AH_CIGA_M_04C,,56.6,,,31,56
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,AH_CIGA_M_04C,,56.9,,,130,67
EMMUS 2012,2012,Sud,412008,oui,AH_CIGA_M_04C,,38.0,,,39,47
EMMUS 2012,2012,Sud-Est,412003,oui,AH_CIGA_M_04C,,40.4,,,37,52
