pcode_commune,atmart_geo_id,nom_commune,etablissements_classes,note_maximale,note_moyenne,dont_4_ou_5_hibiscus,source_id,source,millesime,limite_connue,date_extraction
HT0111,HTC-0111,Port-au-Prince,10,5,3.0,3,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0112,HTC-0112,Delmas,15,3,2.53,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0113,HTC-0113,Carrefour,5,3,1.8,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0114,HTC-0114,Pétion-Ville,24,5,3.04,6,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0115,HTC-0115,Kenscoff,4,3,2.75,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0116,HTC-0116,Gressier,1,2,2.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0118,HTC-0118,Tabarre,16,4,2.38,1,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0121,HTC-0121,Léogâne,5,2,1.8,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0122,HTC-0122,Petit-Goâve,4,2,1.75,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0123,HTC-0123,Grand-Goâve,2,1,1.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0131,HTC-0131,Croix-Des-Bouquets,1,3,3.0,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
HT0141,HTC-0141,Arcahaie,4,3,2.75,0,SRC-051,Ministère du Tourisme et des Industries créatives (MTIC) — Classification Hibiscus 2013-2015,2013-2015,"Établissements CLASSÉS par le ministère entre 2013 et 2015, pas l'offre existante : un hôtel non classé n'y figure pas, et un hôtel classé peut avoir fermé depuis. Aucune classification n'a été publiée depuis 2015.",2026-08-21
