atmart_geo_id,pcode_commune,nom_commune,indicateur_id,periode,annee_reference,valeur,unite,statut_valeur,methode,niveau_qualite,source,date_source,date_extraction,version
HTC-0111,HT0111,Port-au-Prince,IND-GEO-001,HT-A-2018,2018,34.22,km²,A,Somme des superficies des sections communales,A,CNIGS via OCHA COD-AB,2026-01-26,2026-07-31,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,IND-GEO-002,HT-A-2018,2018,3,nombre,A,Comptage des sections communales,A,CNIGS via OCHA COD-AB,2026-01-26,2026-07-31,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,IND-GEO-003,HT-A-2026,2026,37,nombre,A,Comptage des localités rattachées par point-dans-polygone,B,GeoNames + CNIGS via OCHA COD-AB,2026-01-26,2026-07-31,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,IND-GEO-004,HT-A-2026,2026,108.12,localités / 100 km²,A,IND-GEO-003 ÷ superficie × 100,B,GeoNames + CNIGS via OCHA COD-AB,2026-01-26,2026-07-31,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,IND-SAN-001,HT-A-2023,2023,126,nombre,A,Comptage des établissements de santé recensés,A,OCHA Haïti — établissements de santé (2023),2023-12-22,2026-07-31,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,IND-SAN-002,HT-A-2023,2023,36.5,%,A,Établissements publics ÷ total × 100,A,OCHA Haïti — établissements de santé (2023),2023-12-22,2026-07-31,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,IND-SAN-003,HT-A-2023,2023,72.2,%,A,Établissements géocodés ÷ total × 100,A,OCHA Haïti — établissements de santé (2023),2023-12-22,2026-07-31,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,IND-EDU-001,HT-A-2022,2022,211,nombre,A,Comptage des écoles recensées,C,OCHA Haïti — institutions scolaires (2022),2022-09-28,2026-07-31,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,IND-EDU-002,HT-A-2022,2022,13.3,%,A,Écoles publiques ÷ total recensé × 100,C,OCHA Haïti — institutions scolaires (2022),2022-09-28,2026-07-31,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,IND-MAR-001,HT-A-2026,2026,4,nombre,A,Comptage des marchés suivis pour les prix,B,PAM — Haiti Food Prices,2026-07-26,2026-07-31,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,IND-QUA-001,HT-A-2026,2026,100,%,A,"Cinq dimensions testées : superficie, localités, santé, écoles, marchés",A,Atmart — calcul sur le backbone,2026-07-31,2026-07-31,v1.2026.07
HTC-0112,HT0112,Delmas,IND-GEO-001,HT-A-2018,2018,26.04,km²,A,Somme des superficies des sections communales,A,CNIGS via OCHA COD-AB,2026-01-26,2026-07-31,v1.2026.07
HTC-0112,HT0112,Delmas,IND-GEO-002,HT-A-2018,2018,1,nombre,A,Comptage des sections communales,A,CNIGS via OCHA COD-AB,2026-01-26,2026-07-31,v1.2026.07
HTC-0112,HT0112,Delmas,IND-GEO-003,HT-A-2026,2026,15,nombre,A,Comptage des localités rattachées par point-dans-polygone,B,GeoNames + CNIGS via OCHA COD-AB,2026-01-26,2026-07-31,v1.2026.07
HTC-0112,HT0112,Delmas,IND-GEO-004,HT-A-2026,2026,57.6,localités / 100 km²,A,IND-GEO-003 ÷ superficie × 100,B,GeoNames + CNIGS via OCHA COD-AB,2026-01-26,2026-07-31,v1.2026.07
HTC-0112,HT0112,Delmas,IND-SAN-001,HT-A-2023,2023,,nombre,N,"Commune hors des 14 communes couvertes par la source OCHA 2023 : absence de donnée, et non absence d'établissement",C,OCHA Haïti — établissements de santé (2023),2023-12-22,2026-07-31,v1.2026.07
HTC-0112,HT0112,Delmas,IND-EDU-001,HT-A-2022,2022,100,nombre,A,Comptage des écoles recensées,C,OCHA Haïti — institutions scolaires (2022),2022-09-28,2026-07-31,v1.2026.07
HTC-0112,HT0112,Delmas,IND-EDU-002,HT-A-2022,2022,11.0,%,A,Écoles publiques ÷ total recensé × 100,C,OCHA Haïti — institutions scolaires (2022),2022-09-28,2026-07-31,v1.2026.07
HTC-0112,HT0112,Delmas,IND-MAR-001,HT-A-2026,2026,2,nombre,A,Comptage des marchés suivis pour les prix,B,PAM — Haiti Food Prices,2026-07-26,2026-07-31,v1.2026.07
HTC-0112,HT0112,Delmas,IND-QUA-001,HT-A-2026,2026,80,%,A,"Cinq dimensions testées : superficie, localités, santé, écoles, marchés",A,Atmart — calcul sur le backbone,2026-07-31,2026-07-31,v1.2026.07
HTC-0113,HT0113,Carrefour,IND-GEO-001,HT-A-2018,2018,164.42,km²,A,Somme des superficies des sections communales,A,CNIGS via OCHA COD-AB,2026-01-26,2026-07-31,v1.2026.07
HTC-0113,HT0113,Carrefour,IND-GEO-002,HT-A-2018,2018,13,nombre,A,Comptage des sections communales,A,CNIGS via OCHA COD-AB,2026-01-26,2026-07-31,v1.2026.07
