atmart_geo_id,pcode_commune,nom_commune,indicateur_id,periode,annee_reference,valeur,unite,statut_valeur,methode,niveau_qualite,source,date_source,date_extraction,version
HTC-0111,HT0111,Port-au-Prince,IND-ACC-001,HT-A-rése,rése,0.2,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0112,HT0112,Delmas,IND-ACC-001,HT-A-rése,rése,1.6,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0113,HT0113,Carrefour,IND-ACC-001,HT-A-rése,rése,0.6,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0114,HT0114,Pétion-Ville,IND-ACC-001,HT-A-rése,rése,0.1,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0115,HT0115,Kenscoff,IND-ACC-001,HT-A-rése,rése,0.4,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0116,HT0116,Gressier,IND-ACC-001,HT-A-rése,rése,0.5,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0117,HT0117,Cité Soleil,IND-ACC-001,HT-A-rése,rése,0.2,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0118,HT0118,Tabarre,IND-ACC-001,HT-A-rése,rése,2.5,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0121,HT0121,Léogâne,IND-ACC-001,HT-A-rése,rése,0.1,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0122,HT0122,Petit-Goâve,IND-ACC-001,HT-A-rése,rése,0.2,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0123,HT0123,Grand-Goâve,IND-ACC-001,HT-A-rése,rése,0.2,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0131,HT0131,Croix-Des-Bouquets,IND-ACC-001,HT-A-rése,rése,0.1,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0132,HT0132,Thomazeau,IND-ACC-001,HT-A-rése,rése,0.5,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0133,HT0133,Ganthier,IND-ACC-001,HT-A-rése,rése,1.1,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0134,HT0134,Cornillon / Grand Bois,IND-ACC-001,HT-A-rése,rése,0.1,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0135,HT0135,Fonds-Verrettes,IND-ACC-001,HT-A-rése,rése,0.3,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0141,HT0141,Arcahaie,IND-ACC-001,HT-A-rése,rése,0.3,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0142,HT0142,Cabaret,IND-ACC-001,HT-A-rése,rése,0.9,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0151,HT0151,Anse à Galets,IND-ACC-001,HT-A-rése,rése,1.4,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0152,HT0152,Pointe à Raquette,IND-ACC-001,HT-A-rése,rése,0.9,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0211,HT0211,Jacmel,IND-ACC-001,HT-A-rése,rése,0.4,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0212,HT0212,Marigot,IND-ACC-001,HT-A-rése,rése,0.4,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0213,HT0213,Cayes-Jacmel,IND-ACC-001,HT-A-rése,rése,0.0,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0214,HT0214,La Vallée,IND-ACC-001,HT-A-rése,rése,0.4,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0221,HT0221,Bainet,IND-ACC-001,HT-A-rése,rése,1.0,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0222,HT0222,Côtes de Fer,IND-ACC-001,HT-A-rése,rése,0.2,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0231,HT0231,Belle-Anse,IND-ACC-001,HT-A-rése,rése,1.1,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0232,HT0232,Grand Gosier,IND-ACC-001,HT-A-rése,rése,0.9,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0233,HT0233,Thiotte,IND-ACC-001,HT-A-rése,rése,2.8,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0234,HT0234,Anse-à-Pître,IND-ACC-001,HT-A-rése,rése,1.3,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
HTC-0311,HT0311,Cap-Haïtien,IND-ACC-001,HT-A-rése,rése,0.3,minutes,A,"Temps médian de trajet routier, pour les habitants de la commune, jusqu'au point de santé le plus proche.",B,OpenStreetMap via HOT (ODbL) — trajets calculés par Atmart,2026-08-19,2026-08-19,v1.2026.08
