region_ipc,composition_declaree,mois,indice,base,source_id,source,date_extraction
Aire Metropolitaine,"Port-au-Prince, Delmas, Pétionville, Carrefour, Tabarre, Cité Soleil et Croix des Bouquets",Juin 25,524.4,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Aire Metropolitaine,"Port-au-Prince, Delmas, Pétionville, Carrefour, Tabarre, Cité Soleil et Croix des Bouquets",Avr. 26,613.5,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Aire Metropolitaine,"Port-au-Prince, Delmas, Pétionville, Carrefour, Tabarre, Cité Soleil et Croix des Bouquets",Mai 26,621.7,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Aire Metropolitaine,"Port-au-Prince, Delmas, Pétionville, Carrefour, Tabarre, Cité Soleil et Croix des Bouquets",Juin 26,628.4,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Nord,"Départements du Nord, du Nord-Est et du Nord-Ouest",Juin 25,493.7,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Nord,"Départements du Nord, du Nord-Est et du Nord-Ouest",Avr. 26,566.7,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Nord,"Départements du Nord, du Nord-Est et du Nord-Ouest",Mai 26,572.2,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Nord,"Départements du Nord, du Nord-Est et du Nord-Ouest",Juin 26,577.1,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Reste Ouest,Départements du Sud-Est et de l'Ouest sans l'Aire Métropolitaine de P-au-P,Juin 25,548.4,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Reste Ouest,Départements du Sud-Est et de l'Ouest sans l'Aire Métropolitaine de P-au-P,Avr. 26,640.4,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Reste Ouest,Départements du Sud-Est et de l'Ouest sans l'Aire Métropolitaine de P-au-P,Mai 26,648.0,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Reste Ouest,Départements du Sud-Est et de l'Ouest sans l'Aire Métropolitaine de P-au-P,Juin 26,654.6,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Sud,"Départements du Sud, de la Grande-Anse et des Nippes",Juin 25,550.0,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Sud,"Départements du Sud, de la Grande-Anse et des Nippes",Avr. 26,635.0,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Sud,"Départements du Sud, de la Grande-Anse et des Nippes",Mai 26,642.8,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Sud,"Départements du Sud, de la Grande-Anse et des Nippes",Juin 26,649.1,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Transversale,Départements du Centre et de l'Artibonite,Juin 25,510.6,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Transversale,Départements du Centre et de l'Artibonite,Avr. 26,594.3,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Transversale,Départements du Centre et de l'Artibonite,Mai 26,601.0,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
Transversale,Départements du Centre et de l'Artibonite,Juin 26,606.6,100 en 2017-2018,SRC-052,IHSI — bulletin mensuel de l'IPC,2026-08-21
