fichier,licence_sortante,regime,pourquoi,sources,attribution,provenance_attestee_par,clauses_declenchees
ECHANTILLON_haiti_sections_gps.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-001,CNIGS / UN OCHA,catalogue PRD-002,
EXTRAIT_geojson.md,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-001,CNIGS / UN OCHA,catalogue PRD-101,
EXTRAIT_haiti_140_villes_chefs_lieux_gps.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-001,CNIGS / UN OCHA,catalogue PRD-101,
EXTRAIT_haiti_570_sections_communales_gps.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-001,CNIGS / UN OCHA,catalogue PRD-101,
EXTRAIT_haiti_lieux_habites_geonames_gps.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-002,GeoNames,catalogue PRD-101,
LISEZMOI_transferts_diaspora.md,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-015,Banque mondiale,catalogue PRD-001,
atmart_acces_routier.json,ODbL 1.0 pour OSM ; CC BY-IGO pour les marchés PAM,déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,"© OpenStreetMap contributors, extrait par HOT ; marchés : WFP via OCHA HDX",licence déclarée dans l'en-tête,
atmart_alea_inondation_communes_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-035,CNIGS via HaitiData (geoserver WFS),déclarée dans le fichier,
atmart_annuaire_transfert_HT.csv,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-065,CAM Transfer — maison de transfert agréée par la BRH,déclarée dans le fichier,SRC-065 (agrégat transformé seulement)
atmart_audience_numerique.json,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-059,Kepios Pte. Ltd.,déclarée dans le fichier,SRC-059 (agrégat transformé seulement)
atmart_audience_numerique_HT.csv,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-059,Kepios Pte. Ltd.,déclarée dans le fichier,SRC-059 (agrégat transformé seulement)
atmart_banques.json,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-062,BRH — Banque de la République d'Haïti,déclarée dans le fichier,
atmart_banques_depots_territoire_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-062,BRH — Banque de la République d'Haïti,déclarée dans le fichier,
atmart_banques_ratios_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-062,BRH — Banque de la République d'Haïti,déclarée dans le fichier,
atmart_banques_reseau_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-063,BRH — Banque de la République d'Haïti,déclarée dans le fichier,
atmart_bassins_communes.json,"Freely available for scientific, educational and commercial use",déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,HydroBASINS / HydroSHEDS — https://www.hydrosheds.org,licence déclarée dans l'en-tête,
atmart_batiments_communes.json,CC BY 4.0,déclarée par le producteur,"Reprise verbatim de l'en-tête du fichier. Non calculée depuis le registre : le passeport cité n'a pas encore de source_id, donc la chaîne registre → fichier ne se ferme pas.",,"Google Open Buildings V3 — Sirko et al., Google Research, CC BY 4.0",licence déclarée dans l'en-tête,
atmart_caisses_communes_desservies_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-053,BRH — Banque de la République d'Haïti,déclarée dans le fichier,
atmart_caisses_populaires.json,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-053,BRH — Banque de la République d'Haïti,déclarée dans le fichier,
atmart_caisses_populaires_HT.csv,CC BY 4.0,rien à imposer,"Aucune source n'impose de condition — décret haïtien du 12/10/2005, art. 5, ou domaine public. Atmart demande l'attribution pour son propre travail de rattachement et de calcul.",SRC-053,BRH — Banque de la République d'Haïti,déclarée dans le fichier,
atmart_comparaison_haiti_rd.json,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-014 SRC-067,"LAPOP Lab / Center for Global Democracy, Vanderbilt University ; LAPOP Lab, Vanderbilt University — financé par l'USAID",déclarée dans le fichier,SRC-014 (agrégat transformé seulement) ; SRC-067 (agrégat transformé seulement)
atmart_comparaison_haiti_rd_HT.csv,CC BY 4.0 — transformation ou citation,agrégat transformé seulement,"Le fichier source ne peut pas être redistribué. Celui-ci n'en est pas une copie : soit un agrégat substantiellement transformé, soit des valeurs citées avec attribution — deux usages que le producteur autorise, contrairement à la reprise du fichier.",SRC-014,"LAPOP Lab / Center for Global Democracy, Vanderbilt University",déclarée dans le fichier,SRC-014 (agrégat transformé seulement)
atmart_concordance.json,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-ATM-001,Atmart Data,déclarée dans le fichier,
atmart_concordance_HT.csv,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-ATM-001,Atmart Data,catalogue PSP-049,
atmart_conflits_HT.csv,CC BY-NC 4.0,usage non commercial,Une source restreint l'usage commercial : la restriction se transmet.,SRC-034,ACLED via HDX,déclarée dans le fichier,SRC-034 (usage non commercial)
atmart_couche_bassins_HT.geojson,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-035,CNIGS via HaitiData (geoserver WFS),déclarée dans le fichier,
atmart_couche_carburant_HT.geojson,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-028,Humanitarian OpenStreetMap Team (HOT) via HDX,déclarée dans le fichier,SRC-028 (ODbL 1.0)
atmart_couche_eau_HT.geojson,CC BY-SA 4.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-029,Water Point Data Exchange (WPdx) via HDX,déclarée dans le fichier,SRC-029 (CC BY-SA 4.0)
atmart_couche_finance_HT.geojson,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-028,Humanitarian OpenStreetMap Team (HOT) via HDX,déclarée dans le fichier,SRC-028 (ODbL 1.0)
atmart_couche_finance_cooperative_HT.geojson,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-028,Humanitarian OpenStreetMap Team (HOT) via HDX,déclarée dans le fichier,SRC-028 (ODbL 1.0)
atmart_couche_inondable_HT.geojson,CC BY 4.0,attribution,Attribution des sources et d'Atmart Data.,SRC-035,CNIGS via HaitiData (geoserver WFS),déclarée dans le fichier,
atmart_couche_lieux_culte_HT.geojson,ODbL 1.0,partage à l'identique,Partage à l'identique : une base dérivée redistribuée doit porter la même licence que sa source.,SRC-057,OpenStreetMap — contributeurs,déclarée dans le fichier,SRC-057 (ODbL 1.0)
