media,station,proprietaire,communautaire,frequence_mhz,frequence_khz,canal,ville_source,pcode_commune,nom_commune,departement_source,source_id,licence,attribution,millesime,date_extraction
radio,RADIO VISA FM,GLOBAL PRESSE,,88.1,,,PAP,HT0111,Port-au-Prince,OUEST,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,2026-08-24
radio,RADIO MODEL,RONY CELESTIN,,88.3,,,CROIX DES BOUQUETS,HT0131,Croix-Des-Bouquets,OUEST,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,2026-08-24
radio,RADIO KISKEYA,COLLECTIF KISKEYA,oui,88.5,,,PAP,HT0111,Port-au-Prince,OUEST,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,2026-08-24
radio,RADIO CHANGEMENT,MICHELET MATHURIN,,88.7,,,PAP,HT0111,Port-au-Prince,OUEST,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,2026-08-24
radio,RADIO INDIGENE,ALFRED MICANOR,,88.9,,,PAP,HT0111,Port-au-Prince,OUEST,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,2026-08-24
radio,RADIO J2W,JOELLE P. LARCO,,89.1,,,PAP,HT0111,Port-au-Prince,OUEST,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,2026-08-24
radio,RFI-HAITI,MARIE CHRISTINE BUSSENIUS,,89.3,,,PAP,HT0111,Port-au-Prince,OUEST,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,2026-08-24
radio,RADIO AYIBOBO FM,Carl Henry Desmornes,,89.5,,,PAP,HT0111,Port-au-Prince,OUEST,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,2026-08-24
radio,RADIO VOIX DE L'ESPERANCE,MISSION DES ADVENTISTES,,89.7,,,PAP,HT0111,Port-au-Prince,OUEST,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,2026-08-24
radio,RADIO TRAGIQUE,WIDMARK JOISEUS,,89.9,,,PAP,HT0111,Port-au-Prince,OUEST,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,2026-08-24
radio,RADIO ONE,LEO DE VASTEY,,90.1,,,PAP,HT0111,Port-au-Prince,OUEST,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,2026-08-24
radio,RADIO VLAW,BEETHOVEN CAMILLE,,90.3,,,CROIX DS BOUQUETS,HT0131,Croix-Des-Bouquets,OUEST,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,2026-08-24
