departement,pcode_departement,tour,collecte_debut,collecte_fin,rang,part_des_menages_pourcent,question,source_id,source,licence,attribution,date_extraction
Artibonite,HT05,tour 4,5/31/2023 12:00:00 AM,7/2/2023 12:00:00 AM,deuxième source,3.388,Quelle a été la principale source de revenu de votre ménage ces trois derniers mois ? — réponse « transferts »,SRC-064,FAO — Data in Emergencies Monitoring (DIEM),CC BY 4.0,"FAO — Data in Emergencies Monitoring (DIEM), système de suivi des ménages, Haïti, tours 4 à 6",2026-08-25
Ouest,HT01,tour 4,5/29/2023 12:00:00 AM,7/1/2023 12:00:00 AM,deuxième source,3.255,Quelle a été la principale source de revenu de votre ménage ces trois derniers mois ? — réponse « transferts »,SRC-064,FAO — Data in Emergencies Monitoring (DIEM),CC BY 4.0,"FAO — Data in Emergencies Monitoring (DIEM), système de suivi des ménages, Haïti, tours 4 à 6",2026-08-25
Nord-Ouest,HT09,tour 4,6/1/2023 12:00:00 AM,7/1/2023 12:00:00 AM,deuxième source,2.738,Quelle a été la principale source de revenu de votre ménage ces trois derniers mois ? — réponse « transferts »,SRC-064,FAO — Data in Emergencies Monitoring (DIEM),CC BY 4.0,"FAO — Data in Emergencies Monitoring (DIEM), système de suivi des ménages, Haïti, tours 4 à 6",2026-08-25
Grand'Anse,,tour 4,5/29/2023 12:00:00 AM,7/4/2023 12:00:00 AM,deuxième source,2.727,Quelle a été la principale source de revenu de votre ménage ces trois derniers mois ? — réponse « transferts »,SRC-064,FAO — Data in Emergencies Monitoring (DIEM),CC BY 4.0,"FAO — Data in Emergencies Monitoring (DIEM), système de suivi des ménages, Haïti, tours 4 à 6",2026-08-25
Nord,HT03,tour 4,5/29/2023 12:00:00 AM,7/2/2023 12:00:00 AM,deuxième source,2.636,Quelle a été la principale source de revenu de votre ménage ces trois derniers mois ? — réponse « transferts »,SRC-064,FAO — Data in Emergencies Monitoring (DIEM),CC BY 4.0,"FAO — Data in Emergencies Monitoring (DIEM), système de suivi des ménages, Haïti, tours 4 à 6",2026-08-25
Sud-Est,HT02,tour 4,6/1/2023 12:00:00 AM,6/28/2023 12:00:00 AM,deuxième source,2.145,Quelle a été la principale source de revenu de votre ménage ces trois derniers mois ? — réponse « transferts »,SRC-064,FAO — Data in Emergencies Monitoring (DIEM),CC BY 4.0,"FAO — Data in Emergencies Monitoring (DIEM), système de suivi des ménages, Haïti, tours 4 à 6",2026-08-25
Centre,HT06,tour 4,6/1/2023 12:00:00 AM,6/27/2023 12:00:00 AM,deuxième source,1.507,Quelle a été la principale source de revenu de votre ménage ces trois derniers mois ? — réponse « transferts »,SRC-064,FAO — Data in Emergencies Monitoring (DIEM),CC BY 4.0,"FAO — Data in Emergencies Monitoring (DIEM), système de suivi des ménages, Haïti, tours 4 à 6",2026-08-25
Nippes,HT10,tour 4,5/31/2023 12:00:00 AM,6/24/2023 12:00:00 AM,deuxième source,1.157,Quelle a été la principale source de revenu de votre ménage ces trois derniers mois ? — réponse « transferts »,SRC-064,FAO — Data in Emergencies Monitoring (DIEM),CC BY 4.0,"FAO — Data in Emergencies Monitoring (DIEM), système de suivi des ménages, Haïti, tours 4 à 6",2026-08-25
Sud,HT07,tour 4,5/31/2023 12:00:00 AM,6/30/2023 12:00:00 AM,deuxième source,0.481,Quelle a été la principale source de revenu de votre ménage ces trois derniers mois ? — réponse « transferts »,SRC-064,FAO — Data in Emergencies Monitoring (DIEM),CC BY 4.0,"FAO — Data in Emergencies Monitoring (DIEM), système de suivi des ménages, Haïti, tours 4 à 6",2026-08-25
Artibonite,HT05,tour 4,5/31/2023 12:00:00 AM,7/2/2023 12:00:00 AM,source principale,6.814,Quelle a été la principale source de revenu de votre ménage ces trois derniers mois ? — réponse « transferts »,SRC-064,FAO — Data in Emergencies Monitoring (DIEM),CC BY 4.0,"FAO — Data in Emergencies Monitoring (DIEM), système de suivi des ménages, Haïti, tours 4 à 6",2026-08-25
