pcode_commune,commune,classe,pct_surface,source_id,source,limite_connue
HT0812,Abricots,Cultures agricoles denses,25.0,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0812,Abricots,Forêts,2.8,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0812,Abricots,Systèmes agroforestiers denses,72.1,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0812,Abricots,Urbain continu,0.1,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0321,Acul du Nord,Affleurement de roches et sols nus,0.2,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0321,Acul du Nord,Cultures agricoles denses,41.0,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0321,Acul du Nord,Cultures agricoles moyennement denses,26.1,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0321,Acul du Nord,Lits fluviaux et alluvions récentes,0.2,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0321,Acul du Nord,Mangroves,2.1,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0321,Acul du Nord,Savanes avec présence d'autres,0.1,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0321,Acul du Nord,Systèmes agroforestiers denses,34.0,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0321,Acul du Nord,Zones humides,0.9,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0922,Anse-a-Foleur,Cultures agricoles denses,15.9,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0922,Anse-a-Foleur,Cultures agricoles moyennement denses,9.0,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0922,Anse-a-Foleur,Systèmes agroforestiers denses,88.6,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0234,Anse-a-Pitre,Affleurement de roches et sols nus,16.2,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0234,Anse-a-Pitre,Cultures agricoles moyennement denses,11.4,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0234,Anse-a-Pitre,Forêts,3.9,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0234,Anse-a-Pitre,Paturage avec présence d'autres,34.5,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0234,Anse-a-Pitre,Savanes,17.8,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0234,Anse-a-Pitre,Systèmes agroforestiers denses,16.4,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT1021,Anse-a-Veau,Affleurement de roches et sols nus,8.6,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT1021,Anse-a-Veau,Cultures agricoles denses,14.3,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT1021,Anse-a-Veau,Cultures agricoles moyennement denses,51.7,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT1021,Anse-a-Veau,Lits fluviaux et alluvions récentes,2.0,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT1021,Anse-a-Veau,Plan d'eau,0.1,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT1021,Anse-a-Veau,Savanes,10.7,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT1021,Anse-a-Veau,Savanes avec présence d'autres,5.3,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT1021,Anse-a-Veau,Systèmes agroforestiers denses,6.6,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT1021,Anse-a-Veau,Urbain continu,0.2,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT1021,Anse-a-Veau,Zones humides,0.3,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0151,Anse a Galets,Affleurement de roches et sols nus,0.4,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0151,Anse a Galets,Cultures agricoles denses,4.0,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0151,Anse a Galets,Cultures agricoles moyennement denses,3.2,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0151,Anse a Galets,Mangroves,1.4,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0151,Anse a Galets,Paturage avec présence d'autres,0.6,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
HT0151,Anse a Galets,Plages et dunes,0.2,SRC-035,"CNIGS via HaitiData (haitidata.org), téléchargé le 14/08/2026 — millésime 1998","Occupation du sol de 1998 : un quart de siècle — utile en tendance, pas en état des lieux. Échantillonnage ~330 m."
