mesure,libelle,valeur,unite,famille,population,periode,note,phrase_de_controle,source_id,source,licence,attribution,date_extraction
victimation_criminelle,Victimes d'un acte criminel,25,%,insécurité vécue,adultes de 18 ans et plus joignables par téléphone mobile,enquête du 4 mai au 5 juin 2023,"en hausse depuis 2021, où le taux était de 22 %",victimization in Haiti has increased since,SRC-067,"LAPOP Lab — AmericasBarometer, Pulse of Democracy in Haiti 2023",Rapport public — valeurs CITÉES avec attribution ; les microdonnées de l'enquête relèvent d'un autre régime et ne sont pas utilisées ici,"LAPOP Lab, Vanderbilt University — « The AmericasBarometer takes the Pulse of Democracy in Haiti », 2023, financé par l'USAID",2026-08-25
sentiment_insecurite,Se sentent en insécurité dans leur quartier,56,%,insécurité vécue,adultes de 18 ans et plus joignables par téléphone mobile,enquête du 4 mai au 5 juin 2023,« somewhat unsafe » ou davantage,(56%) say they feel,SRC-067,"LAPOP Lab — AmericasBarometer, Pulse of Democracy in Haiti 2023",Rapport public — valeurs CITÉES avec attribution ; les microdonnées de l'enquête relèvent d'un autre régime et ne sont pas utilisées ici,"LAPOP Lab, Vanderbilt University — « The AmericasBarometer takes the Pulse of Democracy in Haiti », 2023, financé par l'USAID",2026-08-25
insecurite_premier_probleme,Jugent l'insécurité comme le problème le plus grave,70,%,insécurité vécue,adultes de 18 ans et plus joignables par téléphone mobile,enquête du 4 mai au 5 juin 2023,32 points de plus que la moyenne de la région,rate insecurity,SRC-067,"LAPOP Lab — AmericasBarometer, Pulse of Democracy in Haiti 2023",Rapport public — valeurs CITÉES avec attribution ; les microdonnées de l'enquête relèvent d'un autre régime et ne sont pas utilisées ici,"LAPOP Lab, Vanderbilt University — « The AmericasBarometer takes the Pulse of Democracy in Haiti », 2023, financé par l'USAID",2026-08-25
gangs_dans_le_quartier,Signalent des gangs actifs dans leur quartier,24,%,insécurité vécue,adultes de 18 ans et plus joignables par téléphone mobile,enquête du 4 mai au 5 juin 2023,taux inchangé depuis 2021,report that gangs are active in,SRC-067,"LAPOP Lab — AmericasBarometer, Pulse of Democracy in Haiti 2023",Rapport public — valeurs CITÉES avec attribution ; les microdonnées de l'enquête relèvent d'un autre régime et ne sont pas utilisées ici,"LAPOP Lab, Vanderbilt University — « The AmericasBarometer takes the Pulse of Democracy in Haiti », 2023, financé par l'USAID",2026-08-25
economie_premier_probleme,Jugent les difficultés économiques comme le problème le plus grave,13,%,insécurité vécue,adultes de 18 ans et plus joignables par téléphone mobile,enquête du 4 mai au 5 juin 2023,l'économie passe loin derrière l'insécurité,important issue by just 13% of Haitians,SRC-067,"LAPOP Lab — AmericasBarometer, Pulse of Democracy in Haiti 2023",Rapport public — valeurs CITÉES avec attribution ; les microdonnées de l'enquête relèvent d'un autre régime et ne sont pas utilisées ici,"LAPOP Lab, Vanderbilt University — « The AmericasBarometer takes the Pulse of Democracy in Haiti », 2023, financé par l'USAID",2026-08-25
confiance_police,Font confiance à la police nationale,54,%,institutions,adultes de 18 ans et plus joignables par téléphone mobile,enquête du 4 mai au 5 juin 2023,remontée depuis le point bas de 2017,national police (54%) has rebounded since,SRC-067,"LAPOP Lab — AmericasBarometer, Pulse of Democracy in Haiti 2023",Rapport public — valeurs CITÉES avec attribution ; les microdonnées de l'enquête relèvent d'un autre régime et ne sont pas utilisées ici,"LAPOP Lab, Vanderbilt University — « The AmericasBarometer takes the Pulse of Democracy in Haiti », 2023, financé par l'USAID",2026-08-25
confiance_police_2017,Faisaient confiance à la police nationale en 2017,42,%,institutions,adultes de 18 ans et plus joignables par téléphone mobile,enquête du 4 mai au 5 juin 2023,le point bas de la série,its low point in 2017 (42%),SRC-067,"LAPOP Lab — AmericasBarometer, Pulse of Democracy in Haiti 2023",Rapport public — valeurs CITÉES avec attribution ; les microdonnées de l'enquête relèvent d'un autre régime et ne sont pas utilisées ici,"LAPOP Lab, Vanderbilt University — « The AmericasBarometer takes the Pulse of Democracy in Haiti », 2023, financé par l'USAID",2026-08-25
corruption_repandue,Estiment la corruption des agents publics courante ou très courante,73,%,institutions,adultes de 18 ans et plus joignables par téléphone mobile,enquête du 4 mai au 5 juin 2023,,is common or very common (73%),SRC-067,"LAPOP Lab — AmericasBarometer, Pulse of Democracy in Haiti 2023",Rapport public — valeurs CITÉES avec attribution ; les microdonnées de l'enquête relèvent d'un autre régime et ne sont pas utilisées ici,"LAPOP Lab, Vanderbilt University — « The AmericasBarometer takes the Pulse of Democracy in Haiti », 2023, financé par l'USAID",2026-08-25
pot_de_vin_police,Se sont vu demander un pot-de-vin par un policier,2,%,institutions,adultes de 18 ans et plus joignables par téléphone mobile,enquête du 4 mai au 5 juin 2023,contre 11 % en 2012 — une baisse nette,declined since 2012 (2% in 2023 from 11% in 2012),SRC-067,"LAPOP Lab — AmericasBarometer, Pulse of Democracy in Haiti 2023",Rapport public — valeurs CITÉES avec attribution ; les microdonnées de l'enquête relèvent d'un autre régime et ne sont pas utilisées ici,"LAPOP Lab, Vanderbilt University — « The AmericasBarometer takes the Pulse of Democracy in Haiti », 2023, financé par l'USAID",2026-08-25
etat_ne_fait_rien,Estiment que l'État ne fait rien du tout contre la corruption,58,%,institutions,adultes de 18 ans et plus joignables par téléphone mobile,enquête du 4 mai au 5 juin 2023,,does nothing at all to fight corruption,SRC-067,"LAPOP Lab — AmericasBarometer, Pulse of Democracy in Haiti 2023",Rapport public — valeurs CITÉES avec attribution ; les microdonnées de l'enquête relèvent d'un autre régime et ne sont pas utilisées ici,"LAPOP Lab, Vanderbilt University — « The AmericasBarometer takes the Pulse of Democracy in Haiti », 2023, financé par l'USAID",2026-08-25
