pays,code_pays,vague,mode_de_collecte,variable,theme,indicateur,unite,estimation,ic95_bas,ic95_haut,erreur_type,n_repondants,n_grappes,effet_de_plan,pose_verifie_sur_le_questionnaire,passeport,source_id,source,licence,date_extraction
Haïti,HTI,2006,face-à-face,b18,confiance,Confiance dans la Police nationale (PNH),0-100,49.2583,46.3019,52.2148,1.5084,1573,74,4.16,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2008,face-à-face,b18,confiance,Confiance dans la Police nationale (PNH),0-100,55.4353,52.8575,58.0131,1.3152,1524,70,2.91,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2010,face-à-face,b18,confiance,Confiance dans la Police nationale (PNH),0-100,53.6621,51.9434,55.3809,0.8769,1747,165,1.75,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2012,face-à-face,b18,confiance,Confiance dans la Police nationale (PNH),0-100,61.8298,59.9757,63.6839,0.946,1822,114,2.39,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2014,face-à-face,b18,confiance,Confiance dans la Police nationale (PNH),0-100,57.946,55.2621,60.6299,1.3693,1506,62,3.55,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2017,face-à-face,b18,confiance,Confiance dans la Police nationale (PNH),0-100,49.6281,48.2304,51.0259,0.7131,2110,88,0.95,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2023,téléphone,b18,confiance,Confiance dans la Police nationale (PNH),0-100,58.5909,54.6618,62.5201,2.0046,778,778,1.0,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
République dominicaine,DOM,2012,face-à-face,b18,confiance,Confiance dans la Police nationale (PNH),0-100,34.9419,33.2092,36.6746,0.884,1492,55,1.12,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
République dominicaine,DOM,2014,face-à-face,b18,confiance,Confiance dans la Police nationale (PNH),0-100,35.5526,33.5668,37.5385,1.0132,1517,63,1.47,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
République dominicaine,DOM,2019,face-à-face,b18,confiance,Confiance dans la Police nationale (PNH),0-100,39.1766,37.4214,40.9318,0.8955,1506,63,1.05,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
République dominicaine,DOM,2021,téléphone,b18,confiance,Confiance dans la Police nationale (PNH),0-100,33.9985,30.7945,37.2025,1.6347,713,713,1.0,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
République dominicaine,DOM,2023,face-à-face,b18,confiance,Confiance dans la Police nationale (PNH),0-100,32.7543,30.7191,34.7894,1.0384,1583,63,1.43,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2006,face-à-face,b32,confiance,Confiance dans la mairie / le gouvernement local,0-100,29.5929,26.912,32.2739,1.3678,1564,74,4.42,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2008,face-à-face,b32,confiance,Confiance dans la mairie / le gouvernement local,0-100,38.2901,35.4518,41.1284,1.4481,1503,70,3.56,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2010,face-à-face,b32,confiance,Confiance dans la mairie / le gouvernement local,0-100,33.5602,31.7573,35.3631,0.9199,1747,165,2.09,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2012,face-à-face,b32,confiance,Confiance dans la mairie / le gouvernement local,0-100,35.2809,32.7858,37.776,1.273,1815,114,3.93,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2014,face-à-face,b32,confiance,Confiance dans la mairie / le gouvernement local,0-100,38.7372,36.2999,41.1745,1.2435,1502,62,3.11,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2017,face-à-face,b32,confiance,Confiance dans la mairie / le gouvernement local,0-100,33.0159,30.9604,35.0713,1.0487,2055,88,2.09,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2021,téléphone,b32,confiance,Confiance dans la mairie / le gouvernement local,0-100,26.7994,23.7917,29.8072,1.5346,1141,1141,1.0,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
République dominicaine,DOM,2012,face-à-face,b32,confiance,Confiance dans la mairie / le gouvernement local,0-100,45.5094,42.8576,48.1612,1.353,1492,55,2.41,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
République dominicaine,DOM,2014,face-à-face,b32,confiance,Confiance dans la mairie / le gouvernement local,0-100,42.0954,39.4297,44.7611,1.3601,1516,63,2.44,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
République dominicaine,DOM,2019,face-à-face,b32,confiance,Confiance dans la mairie / le gouvernement local,0-100,44.201,41.5561,46.8458,1.3494,1506,63,2.35,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
République dominicaine,DOM,2021,téléphone,b32,confiance,Confiance dans la mairie / le gouvernement local,0-100,50.3414,47.9654,52.7174,1.2123,1449,1449,1.0,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
République dominicaine,DOM,2023,face-à-face,b32,confiance,Confiance dans la mairie / le gouvernement local,0-100,45.7568,43.3803,48.1333,1.2125,1579,63,1.71,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2006,face-à-face,b13,confiance,Confiance dans le Parlement,0-100,47.2382,43.7819,50.6945,1.7634,1563,74,5.09,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2008,face-à-face,b13,confiance,Confiance dans le Parlement,0-100,35.557,33.5482,37.5659,1.0249,1499,70,2.07,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2010,face-à-face,b13,confiance,Confiance dans le Parlement,0-100,31.2375,29.5859,32.8892,0.8427,1742,165,2.16,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2012,face-à-face,b13,confiance,Confiance dans le Parlement,0-100,33.5584,31.2395,35.8773,1.1831,1801,114,2.87,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2014,face-à-face,b13,confiance,Confiance dans le Parlement,0-100,42.5579,40.4367,44.6792,1.0823,1496,62,2.25,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
Haïti,HTI,2017,face-à-face,b13,confiance,Confiance dans le Parlement,0-100,27.1409,25.206,29.0759,0.9872,1997,88,1.88,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
République dominicaine,DOM,2012,face-à-face,b13,confiance,Confiance dans le Parlement,0-100,44.6424,42.9731,46.3118,0.8517,1459,55,0.98,oui,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-26
