periode,annee,mois,cout_panier_par_personne_htg,premiere_publication_htg,revise,editions,bulletin_retenu,definition,source_id,attribution
2017-01,2017,1,1161,1161,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2017-02,2017,2,1157,1157,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2017-03,2017,3,1160,1160,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2017-04,2017,4,1166,1166,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2017-05,2017,5,1226,1226,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2017-06,2017,6,1216,1216,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2017-07,2017,7,1210,1210,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2017-08,2017,8,1187,1187,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2017-09,2017,9,1137,1137,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2017-10,2017,10,1275,1275,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
