atmart_geo_id,pcode_commune,nom_commune,profession,effectif,statut_valeur,source_id,date_extraction,limite_connue
HTC-0111,HT0111,Port-au-Prince,Arpenteur,83,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0111,HT0111,Port-au-Prince,Notaire,125,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0112,HT0112,Delmas,Arpenteur,17,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0112,HT0112,Delmas,Notaire,3,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0113,HT0113,Carrefour,Arpenteur,32,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0113,HT0113,Carrefour,Notaire,5,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0114,HT0114,Pétion-Ville,Arpenteur,15,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0114,HT0114,Pétion-Ville,Notaire,17,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0115,HT0115,Kenscoff,Arpenteur,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0115,HT0115,Kenscoff,Notaire,2,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0116,HT0116,Gressier,Arpenteur,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0116,HT0116,Gressier,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0117,HT0117,Cité Soleil,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0117,HT0117,Cité Soleil,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0118,HT0118,Tabarre,Arpenteur,2,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0118,HT0118,Tabarre,Notaire,6,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0121,HT0121,Léogâne,Arpenteur,6,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0121,HT0121,Léogâne,Notaire,3,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0122,HT0122,Petit-Goâve,Arpenteur,4,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0122,HT0122,Petit-Goâve,Notaire,2,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0123,HT0123,Grand-Goâve,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0123,HT0123,Grand-Goâve,Notaire,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0131,HT0131,Croix-Des-Bouquets,Arpenteur,4,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0131,HT0131,Croix-Des-Bouquets,Notaire,5,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0132,HT0132,Thomazeau,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0132,HT0132,Thomazeau,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0133,HT0133,Ganthier,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0133,HT0133,Ganthier,Notaire,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0134,HT0134,Cornillon / Grand Bois,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0134,HT0134,Cornillon / Grand Bois,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0135,HT0135,Fonds-Verrettes,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0135,HT0135,Fonds-Verrettes,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0141,HT0141,Arcahaie,Arpenteur,2,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0141,HT0141,Arcahaie,Notaire,4,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0142,HT0142,Cabaret,Arpenteur,4,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0142,HT0142,Cabaret,Notaire,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0151,HT0151,Anse à Galets,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0151,HT0151,Anse à Galets,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0152,HT0152,Pointe à Raquette,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0152,HT0152,Pointe à Raquette,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0211,HT0211,Jacmel,Arpenteur,19,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0211,HT0211,Jacmel,Notaire,13,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0212,HT0212,Marigot,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0212,HT0212,Marigot,Notaire,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0213,HT0213,Cayes-Jacmel,Arpenteur,1,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0213,HT0213,Cayes-Jacmel,Notaire,2,E,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0214,HT0214,La Vallée,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0214,HT0214,La Vallée,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0221,HT0221,Bainet,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0221,HT0221,Bainet,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0222,HT0222,Côtes de Fer,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0222,HT0222,Côtes de Fer,Notaire,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
HTC-0231,HT0231,Belle-Anse,Arpenteur,0,N,SRC-025,2026-08-14,"Dénombrement issu de sources compilées, non d'un registre professionnel officiel. Un zéro signifie « aucun dans nos sources », jamais « aucun sur le territoire »."
