indicateur_id,nom,definition,unite,categorie,methode_calcul,niveau_territorial_min,frequence,source_primaire,statut,dependance,comparabilite,limites_connues,sens_interpretation,version
IND-GEO-001,Superficie,Superficie de l'entité territoriale.,km²,Territoire,Somme des superficies des sections communales (CNIGS).,Section communale,À chaque millésime CNIGS,CNIGS via OCHA COD-AB,Disponible,,Comparable tant que le découpage administratif ne change pas.,Le total national des sections (26 942 km²) diffère des 27 750 km² usuels : tracé côtier des polygones.,Neutre,v1.2026.07
IND-GEO-002,Nombre de sections communales,Nombre de sections communales composant la commune.,nombre,Territoire,Comptage dans le référentiel territoire.,Commune,À chaque millésime CNIGS,CNIGS via OCHA COD-AB,Disponible,,Comparable entre communes.,Découpage de 2018.,Neutre,v1.2026.07
IND-GEO-003,Nombre de localités recensées,Nombre de lieux habités recensés dans la commune.,nombre,Territoire,Comptage des localités GeoNames rattachées à la commune par point-dans-polygone.,Section communale,Continue (GeoNames),GeoNames,Disponible,,"Prudence : reflète l'effort de recensement de GeoNames, pas seulement la réalité du peuplement.","De petites localités peuvent manquer ; 1,3 % des points sont rattachés par proximité.",Une valeur élevée n'est pas un mérite : c'est aussi une meilleure couverture documentaire.,v1.2026.07
IND-GEO-004,Densité de localités,Nombre de localités recensées pour 100 km².,localités / 100 km²,Territoire,IND-GEO-003 ÷ IND-GEO-001 × 100.,Commune,Continue,GeoNames + CNIGS,Disponible,,Comparable entre communes de même millésime.,Hérite des limites de IND-GEO-003.,"Approche du peuplement, pas une densité de population.",v1.2026.07
IND-SAN-001,Établissements de santé recensés,Nombre d'établissements de santé en fonctionnement recensés.,nombre,Santé,"Comptage dans le référentiel organisations, catégorie Santé.",Section communale,Irrégulière,OCHA Haïti — Location of health facilities (2023),Disponible,,NON comparable entre communes hors zone couverte : la source ne couvre que 14 communes sur 140.,"COUVERTURE PARTIELLE — 14 communes (Artibonite, Centre, Nord, Ouest). Une commune absente n'a pas zéro établissement : elle n'est pas couverte, d'où le statut N. Recensement de 2023.","Plus élevé = offre plus dense, à rapporter à la population.",v1.2026.07
IND-SAN-002,Part d'établissements de santé publics,Part des établissements de santé de statut public.,%,Santé,Établissements de statut « Public » ÷ total recensé × 100.,Commune,Irrégulière,OCHA Haïti,Disponible,,Comparable entre communes du même millésime.,Le statut « Mixte » est compté hors public.,"Neutre : décrit la structure de l'offre, pas sa qualité.",v1.2026.07
IND-SAN-003,Complétude du géocodage sanitaire,Part des établissements de santé dont la source fournit des coordonnées.,%,Qualité,Établissements géocodés ÷ total recensé × 100.,Commune,Irrégulière,OCHA Haïti,Disponible,,Comparable entre communes.,"Mesure la qualité de la SOURCE, pas celle du système de santé.",Une valeur basse signale une commune où toute analyse spatiale sanitaire sera fragile.,v1.2026.07
IND-EDU-001,Écoles recensées,Nombre d'établissements scolaires recensés.,nombre,Éducation,"Comptage dans le référentiel organisations, catégorie Éducation.",Commune,Irrégulière,OCHA Haïti — Cartographie des institutions scolaires (2022),Disponible,,"NON comparable entre départements : la source ne couvre que le Sud, l'Ouest, les Nippes et la Grande'Anse.","COUVERTURE PARTIELLE — 4 départements sur 10, 49 communes sur 140. Une valeur nulle signifie « non recensé », jamais « aucune école ».",À lire uniquement à l'intérieur de la zone couverte.,v1.2026.07
IND-EDU-002,Part d'écoles publiques,Part des écoles de statut public parmi les écoles recensées.,%,Éducation,"Écoles « Public » ÷ total recensé × 100, après harmonisation des libellés (PUBLIQUE / Public → Public).",Commune,Irrégulière,OCHA Haïti (2022),Disponible,,Uniquement dans la zone couverte.,Hérite de la couverture partielle de IND-EDU-001.,Une part faible traduit le poids du secteur non public.,v1.2026.07
IND-MAR-001,Marchés suivis pour les prix,Nombre de marchés inclus dans le dispositif de suivi des prix.,nombre,Marchés,"Comptage dans le référentiel organisations, catégorie Marché.",Section communale,Continue (PAM),PAM — Haiti Food Prices,Disponible,,Comparable dans le temps si le dispositif de suivi ne change pas.,"Ne recense pas tous les marchés du pays, seulement ceux suivis.","Mesure la couverture du suivi, pas l'activité commerciale.",v1.2026.07
IND-QUA-001,Score de complétude administrative,Part des dimensions du backbone documentées pour la commune.,%,Qualité,"Cinq dimensions testées : superficie connue, localités recensées, au moins un établissement de santé recensé, au moins une école recensée, au moins un marché suivi. Score = dimensions renseignées ÷ 5 × 100.",Commune,À chaque version du backbone,Atmart — calcul sur le backbone,Disponible,,Comparable entre communes d'une même version du backbone.,"Mesure ce que NOUS savons de la commune, pas la réalité de la commune. Un score faible désigne un angle mort documentaire.","Élevé = commune bien documentée. Bas = toute analyse y sera fragile, et c'est une information en soi.",v1.2026.07
IND-SAN-010,Établissements de santé pour 10 000 habitants,Nombre d'établissements de santé rapporté à la population.,établissements / 10 000 hab.,Santé,IND-SAN-001 ÷ population × 10 000.,Commune,Annuelle,OCHA Haïti + IHSI (population),"Définition prête, donnée absente",Population communale — estimations IHSI 2024 à reconstituer (SRC-003).,Sera comparable entre communes une fois la population intégrée.,Le dénominateur détermine tout : une population estimée produit un indicateur estimé (statut E).,Élevé = offre dense au regard de la population.,v1.2026.07
IND-EDU-010,Écoles pour 10 000 enfants,Nombre d'écoles rapporté à la population d'âge scolaire.,écoles / 10 000 enfants,Éducation,IND-EDU-001 ÷ population 5-18 ans × 10 000.,Commune,Annuelle,MENFP/OCHA + IHSI,"Définition prête, donnée absente",Population par âge — IHSI ; registre scolaire national — MENFP/SIGEEE.,Non comparable tant que le registre scolaire reste partiel.,Cumule la couverture partielle des écoles et l'absence de population par âge.,Élevé = offre scolaire dense.,v1.2026.07
IND-BUD-001,Dépense publique par habitant,Dépense publique exécutée rapportée à la population.,HTG / habitant,Finances publiques,Dépense exécutée de l'exercice ÷ population. L'exercice fiscal (1er octobre – 30 septembre) est fourni par le référentiel temps : ne jamais rapporter à une année civile.,Département,Annuelle (exercice fiscal),MEF + IHSI,À construire,Budget ouvert Haïti (SRC à créer) ; population IHSI.,Exige de corriger de l'inflation pour comparer deux exercices.,Une dépense votée n'est pas une dépense exécutée.,À interpréter avec la structure de la dépense.,v1.2026.07
IND-ACC-001,Temps d'accès au centre de santé le plus proche,Temps de trajet médian depuis les localités habitées jusqu'à l'établissement de santé le plus proche.,minutes,Accessibilité,"Calcul d'isochrones sur le réseau routier depuis chaque localité, puis médiane pondérée par la population.",Section communale,À chaque mise à jour du réseau,MTPTC / OSM (réseau) + OCHA (établissements) + population,À construire,Réseau routier exploitable ; population par localité ; géocodage complet des établissements (aujourd'hui 66 %).,Comparable si le réseau et la méthode ne changent pas.,Le réseau OSM est sous licence ODbL : incompatible avec une licence Atmart propriétaire sans partage à l'identique.,"Bas = service accessible. C'est l'indicateur le plus difficile à reproduire, donc le plus différenciant.",v1.2026.07
IND-PRX-001,Volatilité des prix par marché,Dispersion du prix réel d'un produit sur un marché donné.,coefficient de variation (%),Marchés,"Écart-type ÷ moyenne du prix réel mensuel sur 12 mois glissants, après correction de l'inflation.",Marché,Mensuelle,CNSA / PAM / FEWS NET + IPC (BRH),À construire,Séries de prix harmonisées ; IPC mensuel pour le prix réel ; unités locales à normaliser.,Comparable entre marchés si les unités sont harmonisées.,"Les unités de mesure locales (marmite, gode) varient d'un marché à l'autre : sans harmonisation, l'indicateur est faux.","Élevé = marché instable, signal d'alerte alimentaire.",v1.2026.07
IND-POP-001,Population,Population résidente estimée de l'entité territoriale.,habitants,Démographie,"Reprise des estimations officielles ; à défaut, projection documentée depuis le dernier recensement.",Section communale,Annuelle,IHSI — estimations désagrégées,"Définition prête, donnée absente",Publication IHSI à reconstituer (SRC-003) ; droits à confirmer.,Rupture méthodologique probable entre recensement 2003 et estimations récentes — à signaler.,"Absence de cinquième recensement : toute valeur récente est une estimation, statut E, jamais O.",Dénominateur de la plupart des autres indicateurs : sa qualité conditionne la leur.,v1.2026.07
