indicateur_id,nom,definition,unite,categorie,methode_calcul,niveau_territorial_min,frequence,source_primaire,statut,dependance,comparabilite,limites_connues,sens_interpretation,regle_agregation,numerateur,denominateur,facteur_ratio,version
IND-GEO-001,Superficie,Superficie de l'entité territoriale.,km²,Territoire,Somme des superficies des sections communales (CNIGS).,Section communale,À chaque millésime CNIGS,CNIGS via OCHA COD-AB,Disponible,,Comparable tant que le découpage administratif ne change pas.,Le total national des sections (26 942 km²) diffère des 27 750 km² usuels : tracé côtier des polygones.,Neutre,officielle,,,,v1.2026.07
IND-GEO-002,Nombre de sections communales,Nombre de sections communales composant la commune.,nombre,Territoire,Comptage dans le référentiel territoire.,Commune,À chaque millésime CNIGS,CNIGS via OCHA COD-AB,Disponible,,Comparable entre communes.,Découpage de 2018.,Neutre,somme,,,,v1.2026.07
IND-GEO-003,Nombre de localités recensées,Nombre de lieux habités recensés dans la commune.,nombre,Territoire,Comptage des localités GeoNames rattachées à la commune par point-dans-polygone.,Section communale,Continue (GeoNames),GeoNames,Disponible,,"Prudence : reflète l'effort de recensement de GeoNames, pas seulement la réalité du peuplement.","De petites localités peuvent manquer ; 1,3 % des points sont rattachés par proximité.",Une valeur élevée n'est pas un mérite : c'est aussi une meilleure couverture documentaire.,somme,,,,v1.2026.07
IND-GEO-004,Densité de localités,Nombre de localités recensées pour 100 km².,localités / 100 km²,Territoire,IND-GEO-003 ÷ IND-GEO-001 × 100.,Commune,Continue,GeoNames + CNIGS,Disponible,,Comparable entre communes de même millésime.,Hérite des limites de IND-GEO-003.,"Approche du peuplement, pas une densité de population.",ratio_recalcule,IND-GEO-003,IND-GEO-001,100,v1.2026.07
IND-POP-001,Population,Population résidente estimée de l'entité territoriale.,habitants,Démographie,"Projection démographique 2024 par sexe et âge (COD-PS, UNFPA), construite sur le découpage COD-AB CNIGS 2018 — estimation, pas un dénombrement : le dernier recensement date de 2003.",Section communale,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,Rupture méthodologique probable entre recensement 2003 et estimations récentes — à signaler.,"Absence de cinquième recensement : toute valeur récente est une estimation, statut E, jamais O. Anomalie ponctuelle : 3 987 habitants pour Gressier (HT0116), hors de proportion avec les communes voisines — valeur publiée telle quelle, à ne pas utiliser.",Dénominateur de la plupart des autres indicateurs : sa qualité conditionne la leur.,somme,,,,v1.2026.07
IND-POP-002,Densité de population,Population résidente estimée rapportée à la superficie de l'entité territoriale.,habitants / km²,Démographie,"IND-POP-001 ÷ IND-GEO-001 : population projetée 2024 divisée par la superficie du découpage CNIGS 2018. Les deux millésimes diffèrent — c'est assumé, pas ignoré : le découpage n'a pas changé entre les deux.",Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (population) + CNIGS via OCHA COD-AB (superficie),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : numérateur et dénominateur couvrent l'ensemble du pays, sans zone aveugle — ce qui n'est le cas d'aucun indicateur de santé ou d'éducation publié ici.","Une population estimée divisée par une superficie officielle donne une densité estimée (statut E), jamais un dénombrement. La superficie inclut les surfaces inhabitables : en montagne et sur le littoral, la densité vécue dépasse la densité calculée. Le total national des polygones (26 942 km²) étant inférieur aux 27 750 km² usuels, toutes les valeurs sont très légèrement rehaussées. Anomalie de source à connaître : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; nous publions la valeur telle quelle et la densité de Gressier ne doit pas être lue.","Élevé = pression sur le foncier, les services et les réseaux. À lire avec la superficie : une même densité ne dit pas la même chose sur 21 km² et sur 490 km².",ratio_recalcule,IND-POP-001,IND-GEO-001,1,v1.2026.07
IND-SAN-001,Établissements de santé recensés,Nombre d'établissements de santé en fonctionnement recensés.,nombre,Santé,"Comptage dans le référentiel organisations, catégorie Santé.",Section communale,Irrégulière,OCHA Haïti — Location of health facilities (2023),Disponible,,NON comparable entre communes hors zone couverte : la source ne couvre que 14 communes sur 140.,"COUVERTURE PARTIELLE — 14 communes (Artibonite, Centre, Nord, Ouest). Une commune absente n'a pas zéro établissement : elle n'est pas couverte, d'où le statut N. Recensement de 2023.","Plus élevé = offre plus dense, à rapporter à la population.",somme,,,,v1.2026.07
IND-SAN-002,Part d'établissements de santé publics,Part des établissements de santé de statut public.,%,Santé,Établissements de statut « Public » ÷ total recensé × 100.,Commune,Irrégulière,OCHA Haïti,Disponible,,Comparable entre communes du même millésime.,Le statut « Mixte » est compté hors public.,"Neutre : décrit la structure de l'offre, pas sa qualité.",ratio_recalcule,IND-SAN-004,IND-SAN-001,100,v1.2026.07
IND-SAN-003,Complétude du géocodage sanitaire,Part des établissements de santé dont la source fournit des coordonnées.,%,Qualité,Établissements géocodés ÷ total recensé × 100.,Commune,Irrégulière,OCHA Haïti,Disponible,,Comparable entre communes.,"Mesure la qualité de la SOURCE, pas celle du système de santé.",Une valeur basse signale une commune où toute analyse spatiale sanitaire sera fragile.,ratio_recalcule,IND-SAN-005,IND-SAN-001,100,v1.2026.07
IND-SAN-004,Établissements de santé publics,Nombre d'établissements de santé de statut public.,nombre,Santé,Comptage des établissements dont le statut source est « Public ».,Commune,Irrégulière,OCHA Haïti — établissements de santé (2023),Disponible,,Mêmes limites de couverture que les établissements recensés.,Le statut « Mixte » n'est pas compté comme public.,Numérateur de la part d'établissements publics ; publié séparément pour que ce taux soit recalculable à tout niveau.,somme,,,,v1.2026.07
