indicateur_id,nom,definition,unite,categorie,methode_calcul,niveau_territorial_min,frequence,source_primaire,statut,dependance,comparabilite,limites_connues,sens_interpretation,regle_agregation,numerateur,denominateur,facteur_ratio,type_indicateur,dimensions,population_reference,nature_periode,regle_confidentialite,niveau_diffusion,responsable_validation,date_prochaine_revision,version
IND-GEO-001,Superficie,Superficie de l'entité territoriale.,km²,Territoire,Somme des superficies des sections communales (CNIGS).,Section communale,À chaque millésime CNIGS,CNIGS via OCHA COD-AB,Disponible,,Comparable tant que le découpage administratif ne change pas.,Le total national des sections (26 942 km²) diffère des 27 750 km² usuels : tracé côtier des polygones.,Neutre,officielle,,,,mesure,aucune — une valeur par territoire,sans objet — mesure territoriale,millésime,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,à la prochaine publication du découpage CNIGS,v1.2026.07
IND-GEO-002,Nombre de sections communales,Nombre de sections communales composant la commune.,nombre,Territoire,Comptage dans le référentiel territoire.,Commune,À chaque millésime CNIGS,CNIGS via OCHA COD-AB,Disponible,,Comparable entre communes.,Découpage de 2018.,Neutre,somme,,,,effectif,aucune — une valeur par territoire,sans objet — mesure territoriale,millésime,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,à la prochaine publication du découpage CNIGS,v1.2026.07
IND-GEO-003,Nombre de localités recensées,Nombre de lieux habités recensés dans la commune.,nombre,Territoire,Comptage des localités GeoNames rattachées à la commune par point-dans-polygone.,Section communale,Continue (GeoNames),GeoNames,Disponible,,"Prudence : reflète l'effort de recensement de GeoNames, pas seulement la réalité du peuplement.","De petites localités peuvent manquer ; 1,3 % des points sont rattachés par proximité.",Une valeur élevée n'est pas un mérite : c'est aussi une meilleure couverture documentaire.,somme,,,,effectif,aucune — une valeur par territoire,sans objet — mesure territoriale,relevé,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-01-31,v1.2026.07
IND-GEO-004,Densité de localités,Nombre de localités recensées pour 100 km².,localités / 100 km²,Territoire,IND-GEO-003 ÷ IND-GEO-001 × 100.,Commune,Continue,GeoNames + CNIGS,Disponible,,Comparable entre communes de même millésime.,Hérite des limites de IND-GEO-003.,"Approche du peuplement, pas une densité de population.",ratio_recalcule,IND-GEO-003,IND-GEO-001,100,ratio,aucune — une valeur par territoire,sans objet — mesure territoriale,relevé,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-01-31,v1.2026.07
IND-POP-001,Population,Population résidente estimée de l'entité territoriale.,habitants,Démographie,"Projection démographique 2024 par sexe et âge (COD-PS, UNFPA), construite sur le découpage COD-AB CNIGS 2018 — estimation, pas un dénombrement : le dernier recensement date de 2003.",Section communale,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,Rupture méthodologique probable entre recensement 2003 et estimations récentes — à signaler.,"Absence de cinquième recensement : toute valeur récente est une estimation, statut E, jamais O. Anomalie ponctuelle : 3 987 habitants pour Gressier (HT0116), hors de proportion avec les communes voisines — valeur publiée telle quelle, à ne pas utiliser.",Dénominateur de la plupart des autres indicateurs : sa qualité conditionne la leur.,somme,,,,effectif,"sexe et âge — 17 tranches quinquennales, publiées dans atmart_pyramide_ages_HT.csv",sans objet — l'indicateur est la population,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-07-31,v1.2026.07
IND-POP-002,Densité de population,Population résidente estimée rapportée à la superficie de l'entité territoriale.,habitants / km²,Démographie,"IND-POP-001 ÷ IND-GEO-001 : population projetée 2024 divisée par la superficie du découpage CNIGS 2018. Les deux millésimes diffèrent — c'est assumé, pas ignoré : le découpage n'a pas changé entre les deux.",Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (population) + CNIGS via OCHA COD-AB (superficie),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : numérateur et dénominateur couvrent l'ensemble du pays, sans zone aveugle — ce qui n'est le cas d'aucun indicateur de santé ou d'éducation publié ici.","Une population estimée divisée par une superficie officielle donne une densité estimée (statut E), jamais un dénombrement. La superficie inclut les surfaces inhabitables : en montagne et sur le littoral, la densité vécue dépasse la densité calculée. Le total national des polygones (26 942 km²) étant inférieur aux 27 750 km² usuels, toutes les valeurs sont très légèrement rehaussées. Anomalie de source à connaître : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; nous publions la valeur telle quelle et la densité de Gressier ne doit pas être lue.","Élevé = pression sur le foncier, les services et les réseaux. À lire avec la superficie : une même densité ne dit pas la même chose sur 21 km² et sur 490 km².",ratio_recalcule,IND-POP-001,IND-GEO-001,1,ratio,aucune — une valeur par territoire,IND-POP-001 — population totale,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-11,v1.2026.07
IND-POP-003,Population de moins de 15 ans,Population résidente estimée âgée de moins de 15 ans.,habitants,Démographie,"Somme des tranches quinquennales du COD-PS 2024 : 0-4, 5-9, 10-14.",Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : la projection couvre l'ensemble du pays, sans zone aveugle. Comparable dans le temps seulement face à un autre millésime COD-PS construit sur le même découpage.","Toutes ces valeurs dérivent d'une projection (COD-PS 2024), non d'un dénombrement : statut E, jamais O — le dernier recensement date de 2003. La source est quinquennale : aucune borne d'âge intermédiaire (5-18 ans, âge médian) n'en est tirée, faute de pouvoir répartir une tranche sans inventer. La dernière tranche est ouverte (80 ans et plus). Anomalie de source connue : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; ses effectifs par âge héritent de l'anomalie et ne doivent pas être lus. Enfin, la désagrégation communale est plus fragile que le total : le rapport de masculinité à la naissance est biologiquement stable (101,8 hommes pour 100 femmes au niveau national sur la tranche 0-4), mais il s'étale de 89 à 116 selon la commune. Une structure par âge et sexe se lit au niveau communal avec prudence, et l'écart d'une seule tranche ne veut rien dire à lui seul.","Base de la pyramide. Élevé = pression sur l'école et la santé infantile aujourd'hui, sur l'emploi dans dix ans.",somme,,,,effectif,âge — groupes construits sur les tranches quinquennales,IND-POP-001 — population totale,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-11,v1.2026.07
IND-POP-004,Population de 15 à 64 ans,Population résidente estimée située dans la tranche d'âge conventionnelle d'activité.,habitants,Démographie,Somme des tranches quinquennales du COD-PS 2024 : 15-19 à 60-64.,Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : la projection couvre l'ensemble du pays, sans zone aveugle. Comparable dans le temps seulement face à un autre millésime COD-PS construit sur le même découpage.","Toutes ces valeurs dérivent d'une projection (COD-PS 2024), non d'un dénombrement : statut E, jamais O — le dernier recensement date de 2003. La source est quinquennale : aucune borne d'âge intermédiaire (5-18 ans, âge médian) n'en est tirée, faute de pouvoir répartir une tranche sans inventer. La dernière tranche est ouverte (80 ans et plus). Anomalie de source connue : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; ses effectifs par âge héritent de l'anomalie et ne doivent pas être lus. Enfin, la désagrégation communale est plus fragile que le total : le rapport de masculinité à la naissance est biologiquement stable (101,8 hommes pour 100 femmes au niveau national sur la tranche 0-4), mais il s'étale de 89 à 116 selon la commune. Une structure par âge et sexe se lit au niveau communal avec prudence, et l'écart d'une seule tranche ne veut rien dire à lui seul.","Dénominateur du ratio de dépendance. « Âge d'activité » est une convention d'âge, pas une mesure : elle ne dit rien de l'emploi réel.",somme,,,,effectif,âge — groupes construits sur les tranches quinquennales,IND-POP-001 — population totale,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-11,v1.2026.07
IND-POP-005,Population de 65 ans et plus,Population résidente estimée âgée de 65 ans et plus.,habitants,Démographie,"Somme des tranches quinquennales du COD-PS 2024 : 65-69, 70-74, 75-79, 80 et plus — la dernière tranche est ouverte.",Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : la projection couvre l'ensemble du pays, sans zone aveugle. Comparable dans le temps seulement face à un autre millésime COD-PS construit sur le même découpage.","Toutes ces valeurs dérivent d'une projection (COD-PS 2024), non d'un dénombrement : statut E, jamais O — le dernier recensement date de 2003. La source est quinquennale : aucune borne d'âge intermédiaire (5-18 ans, âge médian) n'en est tirée, faute de pouvoir répartir une tranche sans inventer. La dernière tranche est ouverte (80 ans et plus). Anomalie de source connue : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; ses effectifs par âge héritent de l'anomalie et ne doivent pas être lus. Enfin, la désagrégation communale est plus fragile que le total : le rapport de masculinité à la naissance est biologiquement stable (101,8 hommes pour 100 femmes au niveau national sur la tranche 0-4), mais il s'étale de 89 à 116 selon la commune. Une structure par âge et sexe se lit au niveau communal avec prudence, et l'écart d'une seule tranche ne veut rien dire à lui seul.",Sommet de la pyramide. Élevé = besoins de santé et de prise en charge accrus.,somme,,,,effectif,âge — groupes construits sur les tranches quinquennales,IND-POP-001 — population totale,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-11,v1.2026.07
IND-POP-006,Population dépendante (moins de 15 ans et 65 ans et plus),Population résidente estimée située hors de la tranche d'âge conventionnelle d'activité.,habitants,Démographie,IND-POP-003 + IND-POP-005.,Commune,Annuelle,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),Disponible,,"Comparable entre les 140 communes du référentiel CNIGS 2018 : la projection couvre l'ensemble du pays, sans zone aveugle. Comparable dans le temps seulement face à un autre millésime COD-PS construit sur le même découpage.","Toutes ces valeurs dérivent d'une projection (COD-PS 2024), non d'un dénombrement : statut E, jamais O — le dernier recensement date de 2003. La source est quinquennale : aucune borne d'âge intermédiaire (5-18 ans, âge médian) n'en est tirée, faute de pouvoir répartir une tranche sans inventer. La dernière tranche est ouverte (80 ans et plus). Anomalie de source connue : le COD-PS 2024 attribue 3 987 habitants à Gressier (HT0116), hors de proportion avec les communes voisines ; ses effectifs par âge héritent de l'anomalie et ne doivent pas être lus. Enfin, la désagrégation communale est plus fragile que le total : le rapport de masculinité à la naissance est biologiquement stable (101,8 hommes pour 100 femmes au niveau national sur la tranche 0-4), mais il s'étale de 89 à 116 selon la commune. Une structure par âge et sexe se lit au niveau communal avec prudence, et l'écart d'une seule tranche ne veut rien dire à lui seul.",Numérateur du ratio de dépendance. Le mot « dépendante » est une convention d'âge : beaucoup de ces personnes travaillent.,somme,,,,effectif,âge — groupes construits sur les tranches quinquennales,IND-POP-001 — population totale,observation,"Aucune — agrégat territorial, aucune donnée personnelle, aucun seuil de diffusion requis",Ouvert — publié dans l'édition publique,Atmart Data,2027-08-11,v1.2026.07
