indicateur_id,langue,champ,valeur
IND-ACC-001,en,comparabilite,Comparable if the network and the method do not change.
IND-ACC-001,en,definition,Median travel time from inhabited localities to the nearest health facility.
IND-ACC-001,en,limites_connues,The OSM network is under ODbL: incompatible with a proprietary Atmart licence without share-alike.
IND-ACC-001,en,methode_calcul,"Isochrone computation on the road network from each locality, then a population-weighted median."
IND-ACC-001,en,nom,Travel time to the nearest health centre
IND-ACC-001,en,sens_interpretation,"Low = accessible service. This is the hardest indicator to reproduce, hence the most differentiating."
IND-ACC-001,en,unite,minutes
IND-ACC-001,es,comparabilite,Comparable si la red y el método no cambian.
IND-ACC-001,es,definition,Tiempo de trayecto mediano desde las localidades habitadas hasta el establecimiento de salud más cercano.
IND-ACC-001,es,limites_connues,La red OSM está bajo ODbL: incompatible con una licencia Atmart propietaria sin compartir-igual.
IND-ACC-001,es,methode_calcul,"Cálculo de isócronas sobre la red viaria desde cada localidad, y después mediana ponderada por la población."
IND-ACC-001,es,nom,Tiempo de acceso al centro de salud más cercano
IND-ACC-001,es,sens_interpretation,Bajo = servicio accesible. Es el indicador más difícil de reproducir y por tanto el más diferenciador.
IND-ACC-001,es,unite,minutos
IND-ACC-001,ht,comparabilite,Konparab si rezo a ak metòd la pa chanje.
IND-ACC-001,ht,definition,Tan medyàn pou soti nan kote moun rete yo rive nan etablisman sante ki pi pre a.
IND-ACC-001,ht,limites_connues,Rezo OSM la anba lisans ODbL : li pa konpatib ak yon lisans Atmart pwopriyetè san pataj alidantik.
IND-ACC-001,ht,methode_calcul,"Kalkil izokwòn sou rezo wout la depi chak lokalite, apre sa medyàn pondere pa popilasyon an."
IND-ACC-001,ht,nom,Tan pou rive nan sant sante ki pi pre a
IND-ACC-001,ht,sens_interpretation,"Ba = sèvis la aksesib. Se endikatè ki pi difisil pou repwodui, se poutèt sa li pi diferansyan."
IND-ACC-001,ht,unite,minit
IND-ACC-002,en,comparabilite,Comparable between communes of the same reference year.
IND-ACC-002,en,definition,Median road travel time to the nearest hospital.
IND-ACC-002,en,limites_connues,"Same limits as access to a health point, including the walk that is not counted. ""Hospital"" follows OpenStreetMap tagging, not a ministry accreditation: in Haiti the word covers many dispensaries and health centres, so the family is broader than the word suggests."
IND-ACC-002,en,methode_calcul,"Same computation as IND-ACC-001, with destinations restricted to objects tagged as hospitals in OpenStreetMap."
IND-ACC-002,en,nom,Travel time to the nearest hospital
IND-ACC-002,en,sens_interpretation,Low = better access
IND-ACC-002,en,unite,minutes
IND-ACC-002,es,comparabilite,Comparable entre comunas del mismo año de referencia.
IND-ACC-002,es,definition,Tiempo mediano de trayecto por carretera hasta el hospital más cercano.
IND-ACC-002,es,limites_connues,"Mismos límites que el acceso a un punto de salud, incluida la marcha a pie que no se contabiliza. «Hospital» sigue el etiquetado de OpenStreetMap, no una acreditación ministerial: en Haití la palabra abarca numerosos dispensarios y centros de salud, de modo que la familia es más amplia de lo que la palabra sugiere."
IND-ACC-002,es,methode_calcul,"Mismo cálculo que IND-ACC-001, con destinos limitados a los objetos etiquetados como hospital en OpenStreetMap."
IND-ACC-002,es,nom,Tiempo de acceso al hospital más cercano
IND-ACC-002,es,sens_interpretation,Bajo = mejor acceso
IND-ACC-002,es,unite,minutos
IND-ACC-002,ht,comparabilite,Konparab ant komin ki gen menm ane referans lan.
IND-ACC-002,ht,definition,Tan medyàn pou fè wout la jouk nan lopital ki pi pre a.
IND-ACC-002,ht,limites_connues,"Menm limit ak tan pou rive nan yon sant sante, mache a pye a pa konte tou. Mo « lopital » la soti nan etikèt OpenStreetMap, se pa yon agreman ministè : ann Ayiti mo sa a kouvri anpil dispansè ak sant sante, kidonk fanmi an pi laj pase sa mo a fè kwè."
IND-ACC-002,ht,methode_calcul,"Menm kalkil ak IND-ACC-001, men se sèlman kote OpenStreetMap make kòm lopital yo ki konte."
IND-ACC-002,ht,nom,Tan pou rive nan lopital ki pi pre a
IND-ACC-002,ht,sens_interpretation,Ba = pi bon aksè
IND-ACC-002,ht,unite,minit
IND-ACC-003,en,comparabilite,Comparable between communes of the same reference year.
IND-ACC-003,en,definition,Median road travel time to the nearest school.
IND-ACC-003,en,limites_connues,"The computation follows the road network: it does not measure off-road walking, which is the rule in several communal sections — and children walk to school. The figure describes provision, not a pupil's actual journey. Every mapped school counts, whatever its level: the village pre-school is not the secondary school."
IND-ACC-003,en,methode_calcul,"Same computation as IND-ACC-001, destination: any object tagged as a school."
IND-ACC-003,en,nom,Travel time to the nearest school
IND-ACC-003,en,sens_interpretation,Low = better access
IND-ACC-003,en,unite,minutes
IND-ACC-003,es,comparabilite,Comparable entre comunas del mismo año de referencia.
IND-ACC-003,es,definition,Tiempo mediano de trayecto por carretera hasta la escuela más cercana.
