source_id,organisme,jeu,url,format,couverture,frequence,derniere_verification,licence,classe_juridique,redistribution,variables_cles,geographie,qualite,methode_extraction,contact
SRC-001,CNIGS / UN OCHA,COD-AB Haïti — limites administratives,https://data.humdata.org/dataset/cod-ab-hti,"GeoJSON, SHP, GDB, XLSX","Haïti — adm0 à adm3, découpage valide au 2018-11-29",Irrégulière (dernière publication 2026-01-26),2026-07-31,CC BY 3.0 IGO,A — redistribution autorisée avec attribution,"Oui, avec attribution","p-codes, noms FR/HT, superficie, centroïdes, géométries","Département, commune, section communale","A — source officielle, méthode publiée","Téléchargement direct HDX, lecture GeoJSON",hdx@un.org
SRC-002,GeoNames,"Gazetteer Haïti (HT.txt), classe P",https://download.geonames.org/export/dump/,TSV,10 945 lieux habités,Quotidienne,2026-07-31,CC BY 4.0,A — redistribution autorisée avec attribution,"Oui, avec attribution","nom, type, coordonnées, population, geonames_id",Point,B — coordonnées souvent arrondies au 1/60e de degré,"Export national, filtre classe P",info@geonames.org
SRC-003,IHSI,Estimations démographiques désagrégées 2024,https://ihsi.gouv.ht,PDF / Excel selon publication,Population par entité territoriale,Annuelle,,À vérifier,B — à confirmer : agrégats et transformations probablement autorisés,À confirmer avant publication,population par département et commune,"Département, commune",À évaluer,Extraction PDF à construire,
SRC-004,MENFP / SIGEEE,Établissements scolaires,https://menfp.gouv.ht,Web / base en ligne,"Écoles, élèves, enseignants",Variable,,À vérifier,"C — accès en ligne, redistribution à confirmer",Non présumée,"établissement, secteur, niveaux, commune",Commune,"À évaluer — base évolutive, snapshots datés nécessaires",À construire,
SRC-005,MSPP,Liste et catégories des établissements sanitaires,https://mspp.gouv.ht,PDF / Excel,Établissements sanitaires,Irrégulière,,À vérifier,"C — accès public, redistribution à confirmer",Non présumée,"établissement, catégorie, commune",Commune,À évaluer,À construire,
SRC-006,CNSA / FEWS NET / WFP,Prix alimentaires par marché,https://cnsa.gouv.ht,PDF / Excel / HDX,"Marchés haïtiens, séries mensuelles",Mensuelle,,Variable selon le producteur,B — agrégats et transformations généralement autorisés,Selon producteur,"produit, marché, unité, prix","Marché, commune",À évaluer — unités locales à harmoniser,À construire,
SRC-007,BRH,"Séries macrofinancières (change, IPC, monnaie, BdP)",https://brh.ht,PDF / Excel,Séries mensuelles et annuelles,Mensuelle,,À vérifier,"B — données publiques, transformation autorisée sous réserve",À confirmer,"taux de change, IPC, agrégats monétaires",National,À évaluer — séries dispersées entre bulletins,Extraction PDF à construire,
SRC-009,OCHA Haïti,Location of health facilities,https://data.humdata.org/dataset/location-of-health-facilities-hospital-in-haiti,"XLSX, SHP","PARTIELLE — 730 établissements, 14 communes sur 140 (Artibonite, Centre, Nord, Ouest). Malgré son titre, ce n'est pas un registre national.",Irrégulière,2026-07-31,CC BY,A — redistribution autorisée avec attribution,"Oui, avec attribution","nom, catégorie, statut, code, p-code section, lat/lon",Section communale,B — 66 % géocodés ; codes institution réutilisés pour des établissements distincts ; l'Hôpital Universitaire de Mirebalais est rattaché à Gonaïves,"Téléchargement HDX, lecture XLSX (2 lignes d'entête HXL)",
SRC-010,OCHA Haïti,Cartographie des institutions scolaires 2022,https://data.humdata.org/dataset/haiti-education-facilities,XLS,"PARTIELLE — 4 122 écoles, 4 départements sur 10 (Sud, Ouest, Nippes, Grande'Anse), 49 communes sur 140. Cartographie liée à la réponse post-séisme.",Ponctuelle (2022),2026-07-31,CC BY,A — redistribution autorisée avec attribution,"Oui, avec attribution","nom, type public/non public, p-code commune",Commune,"C — aucune coordonnée, aucune section communale, libellés de statut non harmonisés, un p-code département erroné","Téléchargement HDX, lecture XLS (xlrd)",
SRC-011,PAM (WFP),Haiti Food Prices — liste des marchés,https://data.humdata.org/dataset/wfp-food-prices-for-haiti,CSV,"182 marchés suivis pour le relevé des prix, 136 communes. Ne recense pas tous les marchés du pays.",Continue,2026-07-31,CC BY-IGO,A — redistribution autorisée avec attribution,"Oui, avec attribution","market_id, nom, admin1, admin2, lat/lon",Point ; section communale calculée par Atmart,B — coordonnées arrondies au centième de degré : 22 marchés côtiers rattachés par proximité,"Téléchargement HDX, point-dans-polygone CNIGS",
SRC-012,HOT / Global Healthsites,OpenStreetMap — établissements de santé et écoles d'Haïti,https://data.humdata.org/dataset/hotosm_hti_health_facilities,"GeoJSON, SHP","Couverture nationale, mise à jour continue — plus récente que les sources OCHA",Continue,2026-07-31,ODbL,B — ECARTÉ des produits payants : le partage à l'identique d'ODbL est incompatible avec une licence Atmart propriétaire. Utilisable seulement dans une couche ouverte elle-même publiée sous ODbL.,"Oui, mais sous ODbL uniquement","nom, type, amenity, coordonnées",Point,Variable selon la contribution locale,Non intégré à ce jour — décision de licence,
SRC-008,DHS Program,EMMUS / DHS Haïti 1994-2017 + SPA 2013 et 2017-2018,https://dhsprogram.com,Microdonnées sur inscription,"Santé, nutrition, WASH, ménages",Par vague,,Conditions DHS,"C — accès sur inscription, redistribution des microdonnées INTERDITE",Non — agrégats et scripts reproductibles uniquement,"indicateurs santé, nutrition, ménages","Département, milieu",A — enquêtes standardisées,"Agrégation locale, aucune microdonnée redistribuée",archive@dhsprogram.com
