theme,indicateur,milieu,territoire,valeur,unite,base_de_calcul,annee,extrait_de_la_source,source_id,attribution
Population,Population recensée,ensemble,Haïti,8373750,habitants,,2003,Haïti compte une population de 8 373 750 habitants,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,Part de la population du pays,département,Ouest,37,%,population du pays,2003,Moins de 2/5 de cette population (37 %) habitent l'Ouest,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,Part de la population du pays,département,Artibonite,16,%,population du pays,2003,L'Artibonite (16 %) et le Nord (10 %) représentent,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,Part de la population du pays,département,Nord,10,%,population du pays,2003,L'Artibonite (16 %) et le Nord (10 %) représentent,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,Population vivant en milieu rural,ensemble,Haïti,59.2,%,population du pays,2003,"de l'ensemble du pays (59,2 %) vivent en milieu rural",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,Moins de 15 ans,ensemble,Haïti,36.5,%,population,2003,"Les personnes âgées de moins de quinze (15) ans représentent 36,5 %",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,15 à 64 ans,ensemble,Haïti,58.3,%,population,2003,"celles de 15 à 64 ans 58,3 %",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,65 ans et plus,ensemble,Haïti,5.1,%,population,2003,"la population âgée de 65 ans et plus est de 5,1 %",SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,Hommes pour 100 femmes,urbain,Haïti,86,hommes pour 100 femmes,,2003,l'on compte 86 hommes pour 100 femmes en milieu urbain,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
Population,Hommes pour 100 femmes,rural,Haïti,98,hommes pour 100 femmes,,2003,98 hommes pour 100 femmes en milieu rural,SRC-021,"IHSI — Institut haïtien de statistique et d'informatique, Recensement général de la population et de l'habitat 2003, page « Résultats RGPH 2003 »"
