secteur,donnee_esperee,verdict,pourquoi,detenteur,url_producteur,url_statut_re_teste,date_re_test,doctrine
Agriculture,Recensement agricole postérieur à 2008-2009,N'existe pas,Le pays vit sur un recensement de dix-sept ans resté « provisoire » ; aucune trace d'un RGA 2024-2025 ni d'un projet en cours.,,https://agriculture.gouv.ht/,répond,2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Agriculture,"Série de production, superficie ou rendement par culture et par commune",N'existe pas,"Ni à la commune, ni au département de façon continue ; les estimations départementales sont ponctuelles (CFSAM 2010) et s'arrêtent là.",,,,,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Énergie,"Carte du réseau électrique (EDH) — transport, distribution, postes",N'existe pas,"Confirmé négativement par MapYourGrid, qui n'a aucune entrée pour Haïti. La couche OSM ne porte que 44 équipements pour tout le pays (déjà servie, IND-ENE-004).",EDH,https://anarse.gouv.ht/,répond,2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Énergie,Heures de service et délestage par localité,N'existe pas,Les « 4 à 10 heures par jour à Port-au-Prince » sont une estimation qualitative ; aucune série horaire de délestage n'est publiée.,EDH,,,,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Transports,Inventaire routier officiel du MTPTC en données ouvertes,"Rapport, pas de données","Le domaine, muet en août, répond de nouveau : il sert un rapport d'avancement de vidéo-inventaire de la zone Nord (65 pages), pas une table de l'état des chaussées par commune.",MTPTC,https://mtptc.gouv.ht/media/upload/doc/publications/Inventaire01.pdf,répond (rapport d'avancement),2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Transports,Couche du réseau routier du CNIGS,Site en panne,"HaitiData ne répond plus ; seul le dérivé OSM du PAM (2018) circule. La densité du réseau est servie (IND-ACC), pas l'état des chaussées.",CNIGS,http://haitidata.org/,404,2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Eau et assainissement,"Taux de couverture en eau potable par commune, officiel",Verrouillé,"La DINEPA détient plus de 60 000 points d'eau dans le SIEPA (plateforme mWater), mais sa politique interdit la republication sans accord écrit. C'est le trou central du secteur.",DINEPA / ONEPA,https://siepa.mwater.co/,application fermée,2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Eau et assainissement,"Cas de choléra par commune, série hebdomadaire",Inaccessible et trompeur,"La seule série communale est dans le SITREP du MSPP : site bloqué (403 et hameçonnage), miroir OPS sans table communale, API ReliefWeb fermée. Et seules les communes surveillées y sont citées — une absence n'y voudrait pas dire zéro cas.",MSPP / DELR,https://mspp.gouv.ht/,403 — bloqué,2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Logement et foncier,"Cadastre national, registre foncier ouvert",N'existe pas,"Ni l'ONACA, ni la DGI, ni les Archives nationales ne publient de donnée foncière ; les programmes cadastraux sont partiels et pilotes.",ONACA / DGI,https://www.dgi.gouv.ht/,répond (aucune donnée foncière),2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Logement et foncier,Recensement de population et d'habitat postérieur à 2003,N'existe pas,Vingt-trois ans : le cinquième recensement n'a pas de résultats publiés. Toute statistique communale de logement d'aujourd'hui est une projection ou dérive de 2003 (voir PRD-212).,IHSI,https://ihsi.gouv.ht/recensement,répond (2003 seulement),2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Collectivités et finances locales,Montants du FGDCT effectivement versés par commune,N'existe pas,"Vérifié dans le budget général 2025-2026 : pas d'annexe territoriale. Les clés de répartition existent par arrêté ; les montants par commune, jamais.",MEF / CIAT,,,,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Collectivités et finances locales,"Budgets et comptes des communes, consolidés",N'existe pas,"Il n'existe pas d'équivalent haïtien des « comptes des communes » ; les budgets municipaux ne sont connus qu'au coup par coup, par communiqué de presse.",,,,,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Justice et sécurité,Liste géolocalisée des commissariats de la PNH,Site inaccessible,"Le chiffre de 413 postes est publié par le BINUH sans nomenclature, sans adresse, sans commune. Le site de la PNH ne répond pas ; OSM est le seul substitut (déjà servi, IND-JUS).",PNH,https://pnh.ht/,domaine introuvable,2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Justice et sécurité,Statistiques de criminalité par commune,N'existe pas,"Aucun équivalent haïtien de l'« état 4001 » ; les seuls chiffres transitent par le BINUH, agrégés au département.",PNH / BINUH,,,,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Élections et état civil,"Résultats électoraux par bureau de vote ou par commune, ouverts",N'existe pas en format ouvert,"Pour aucun scrutin, y compris 2015-2017 : les données existent (un procès-verbal par bureau) mais ne sont publiées qu'en proclamations PDF. L'Explorateur sert les inscrits et l'offre de vote du CEP (IND-ELE), jamais un résultat communal.",CEP,https://cephaiti.ht/,répond (PDF seulement),2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Entreprises et mines,Registre du commerce ouvert,Fermé,"Le guichet du MCI permet de déposer et vérifier un nom, jamais de lister ou télécharger les entreprises immatriculées : pas d'API, pas d'export, pas de recherche par commune.",MCI,https://guichet.mci.ht/,"répond (formulaire, pas de liste)",2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Entreprises et mines,Emploi formel à la maille communale,N'existe pas,L'ONA et l'OFATMA ne publient rien ; la dernière enquête industrielle de l'IHSI date de 1999. Le nombre d'employeurs cotisants par commune n'est nulle part.,ONA / OFATMA / IHSI,,,,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Entreprises et mines,Enterprise Surveys de la Banque mondiale pour Haïti,Absente et sous accord,"Re-mesuré : Haïti ne figure pas dans les 181 économies de l'explorateur public d'Enterprise Surveys — rien à intégrer côté agrégats. Les seules microdonnées existent sous accord de confidentialité à signer auprès de la Banque mondiale ; c'est une démarche, pas un téléchargement. Laissée en vide documenté tant que l'accord n'est pas engagé.",Banque mondiale — Enterprise Surveys,https://www.enterprisesurveys.org/,répond (Haïti hors panel public),2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Santé — résultat,"Données de routine du DHIS2 / SISNU, ouvertes",Verrouillé,"Aucun accès public : pas de données par établissement, pas d'API, pas de séries de consultations. C'est le principal gisement inaccessible du secteur.",MSPP,https://mspp.gouv.ht/,403 — bloqué,2026-09-25,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Santé — résultat,Couverture vaccinale par commune,N'existe pas,"Ni WUENIC (national), ni MSPP (départemental), ni EMMUS (départemental). Les rasters de couverture vaccinale sont un produit Afrique seulement — à ne pas promettre pour Haïti.",MSPP,,,,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Protection sociale et genre,Liste géolocalisée des maisons d'enfants de l'IBESR,Non diffusée,"Les annuaires existent (757 cités) mais ne sont pas publiés ; la seule liste en ligne date d'avril 2005, avant le séisme.",IBESR,,,,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
Protection sociale et genre,Cas de violences basées sur le genre à la commune,Interdit par protocole,Le protocole GBVIMS interdit la diffusion de cas géolocalisés : le plafond éthique est l'agrégat départemental. Ce n'est pas une donnée à chercher.,,,,,"Le vide est publiable : cette ligne dit ce que l'Explorateur ne peut pas encore montrer, et pourquoi. Une donnée manquante n'est jamais un zéro."
