periode,annee,mois,homicides_total,homicides_dont_meurtres,homicides_dont_lynchages,homicides_hommes_adultes,homicides_garcons_mineurs,homicides_femmes_adultes,homicides_filles_mineures,enlevements_total,enlevements_hommes_adultes,enlevements_garcons_mineurs,enlevements_femmes_adultes,enlevements_filles_mineures,incoherence_producteur,mise_a_jour_producteur,source_id,attribution
2018-07,2018,7,92,78,14,,,,,1,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2018-08,2018,8,68,67,1,,,,,4,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2018-09,2018,9,70,66,4,,,,,6,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2018-10,2018,10,61,55,6,,,,,2,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2018-11,2018,11,67,62,5,,,,,2,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2018-12,2018,12,71,66,5,,,,,6,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2019-01,2019,1,122,117,5,,,,,12,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2019-02,2019,2,81,81,0,,,,,2,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2019-03,2019,3,102,89,13,,,,,15,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2019-04,2019,4,101,88,13,,,,,7,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2019-05,2019,5,91,86,5,,,,,5,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2019-06,2019,6,96,85,11,,,,,2,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2019-07,2019,7,86,78,8,,,,,5,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
2019-08,2019,8,83,80,3,,,,,2,,,,,,2024-10-10,SRC-079,"BINUH — Bureau intégré des Nations unies en Haïti, pilier Paix et sécurité de l'ONU ; diffusé par HDX (CC BY-IGO)"
