pcode_commune,nom_commune,operateur,genre,unite,valeur,source_id,millesime,licence
HT0111,Port-au-Prince,Digicel,boutique mobile,nombre,7,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,Port-au-Prince,Digicel,site de communication,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,Port-au-Prince,Natcom,boutique mobile,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,Port-au-Prince,Natcom,bureau d'opérateur,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,Port-au-Prince,opérateur non précisé,accès internet public,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,Port-au-Prince,opérateur non précisé,bureau d'opérateur,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,Port-au-Prince,opérateur non précisé,site de communication,nombre,9,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,Delmas,Digicel,boutique mobile,nombre,4,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,Delmas,Digicel,bureau d'opérateur,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,Delmas,Natcom,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,Delmas,opérateur non précisé,accès internet public,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,Delmas,opérateur non précisé,site de communication,nombre,19,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0113,Carrefour,opérateur non précisé,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0114,Petion-Ville,Digicel,boutique mobile,nombre,4,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0114,Petion-Ville,Digicel,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0114,Petion-Ville,Natcom,boutique mobile,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0114,Petion-Ville,Voilà,boutique mobile,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0114,Petion-Ville,opérateur non précisé,boutique mobile,nombre,5,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0114,Petion-Ville,opérateur non précisé,site de communication,nombre,11,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0115,Kenscoff,opérateur non précisé,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0117,Cite Soleil,Digicel,site de communication,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0117,Cite Soleil,opérateur non précisé,site de communication,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0118,Tabarre,Digicel,boutique mobile,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0118,Tabarre,Natcom,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0118,Tabarre,Natcom,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0118,Tabarre,opérateur non précisé,site de communication,nombre,8,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0121,Leogane,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0121,Leogane,Natcom,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0121,Leogane,opérateur non précisé,site de communication,nombre,5,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
