ville_fr,ville_ht,statut_fr,statut_ht,commune_fr,commune_ht,departement_fr,departement_ht,pcode_departement,pcode_commune,pcode_section,latitude,longitude
Port-au-Prince,Pòtoprens,Capitale nationale,Kapital peyi a,Port-au-Prince,Pòtoprens,Ouest,Lwès,HT01,HT0111,HT0111-01,18.547327,-72.339593
Delmas,Dèlma,Chef-lieu de commune,Chèflye komin,Delmas,Dèlma,Ouest,Lwès,HT01,HT0112,HT0112-01,18.551846,-72.292007
Carrefour,Kafou,Chef-lieu de commune,Chèflye komin,Carrefour,Kafou,Ouest,Lwès,HT01,HT0113,HT0113-10,18.534537,-72.409249
Pétion-Ville,Petyonvil,Chef-lieu de commune,Chèflye komin,Pétion-Ville,Petyonvil,Ouest,Lwès,HT01,HT0114,HT0114-05,18.513218,-72.286021
Kenscoff,Kenskòf,Chef-lieu de commune,Chèflye komin,Kenscoff,Kenskòf,Ouest,Lwès,HT01,HT0115,HT0115-03,18.449484,-72.286644
Gressier,Gresye,Chef-lieu de commune,Chèflye komin,Gressier,Gresye,Ouest,Lwès,HT01,HT0116,HT0116-02,18.542696,-72.52304
Cité Soleil,Site Solèy,Chef-lieu de commune,Chèflye komin,Cité Soleil,Site Solèy,Ouest,Lwès,HT01,HT0117,HT0117-01,18.578277,-72.335601
Tabarre,Taba,Chef-lieu de commune,Chèflye komin,Tabarre,Taba,Ouest,Lwès,HT01,HT0118,HT0118-04,18.561999,-72.250718
Léogâne,Leyogàn,Chef-lieu de commune,Chèflye komin,Léogâne,Leyogàn,Ouest,Lwès,HT01,HT0121,HT0121-01,18.511113,-72.633425
Petit-Goâve,Tigwav,Chef-lieu de commune,Chèflye komin,Petit-Goâve,Tigwav,Ouest,Lwès,HT01,HT0122,HT0122-11,18.432694,-72.865384
