departement_fr,departement_ht,commune_fr,commune_ht,section_communale_fr,section_communale_ht,section_ht_provenance,pcode_departement,pcode_commune,pcode_section,superficie_km2,latitude,longitude
Ouest,Lwès,Port-au-Prince,Pòtoprens,1re Section Turgeau,1ye Seksyon Turgeau,Atmart (règle),HT01,HT0111,HT0111-01,18.35,18.53678984,-72.32263058
Ouest,Lwès,Port-au-Prince,Pòtoprens,2e Section Morne l'Hopital,2yèm Seksyon Morne l'Hopital,Atmart (règle),HT01,HT0111,HT0111-02,6.92,18.51409705,-72.33720388
Ouest,Lwès,Port-au-Prince,Pòtoprens,3e Section Martissant,3yèm Seksyon Martissant,Atmart (règle),HT01,HT0111,HT0111-03,8.95,18.51801614,-72.35960699
Ouest,Lwès,Delmas,Dèlma,1re Section St Martin,1ye Seksyon St Martin,Atmart (règle),HT01,HT0112,HT0112-01,26.04,18.55139617,-72.2871848
Ouest,Lwès,Carrefour,Kafou,1re Section Morne Chandelle,1ye Seksyon Morne Chandelle,Atmart (règle),HT01,HT0113,HT0113-01,4.32,18.49466606,-72.43550349
Ouest,Lwès,Carrefour,Kafou,2e Section Platon Dufrene,2yèm Seksyon Platon Dufrene,Atmart (règle),HT01,HT0113,HT0113-02,12.71,18.49880507,-72.39692722
Ouest,Lwès,Carrefour,Kafou,3e Section Taïfer,3yèm Seksyon Taïfer,Atmart (règle),HT01,HT0113,HT0113-03,10.29,18.4894005,-72.42092078
Ouest,Lwès,Carrefour,Kafou,4e Section Procy,4yèm Seksyon Procy,Atmart (règle),HT01,HT0113,HT0113-04,17.43,18.46106304,-72.38837784
Ouest,Lwès,Carrefour,Kafou,5e Section Coupeau,5yèm Seksyon Coupeau,Atmart (règle),HT01,HT0113,HT0113-05,12.9,18.44953371,-72.44837145
Ouest,Lwès,Carrefour,Kafou,6e Section Bouvier,6yèm Seksyon Bouvier,Atmart (règle),HT01,HT0113,HT0113-06,14.49,18.43728599,-72.43203141
