indicateur,libelle,valeur,unite,famille,periode,note,source_id,source,licence,attribution,date_extraction
internautes,Personnes utilisant Internet,4.69,millions,accès,fin 2025,"fin 2025 ; la Banque mondiale mesure autrement, voir la limite",SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
penetration_internet,Pénétration d'Internet,39.3,% de la population,accès,fin 2025,"fin 2025 ; la Banque mondiale donne 47,9 % pour 2024",SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
hors_ligne,Personnes n'utilisant pas Internet,7.25,millions,accès,fin 2025,"soit 60,7 % de la population à la fin de 2025",SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
connexions_mobiles,Connexions mobiles,84.6,% de la population,accès,fin 2025,"octobre 2025, source GSMA Intelligence via Kepios — une personne peut détenir plusieurs abonnements, le taux ne dit donc pas la part de gens équipés",SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
mobiles_haut_debit,Connexions mobiles en 3G ou mieux,97.2,%,accès,fin 2025,"source GSMA Intelligence, via Kepios",SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
identites_reseaux_sociaux,Identités de réseaux sociaux,2.95,millions,plateformes,fin 2025,"des IDENTITÉS, pas des personnes : un même individu peut en tenir plusieurs, et certains comptes ne sont pas humains",SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
part_reseaux_sociaux,Part de la population sur les réseaux sociaux,24.7,% de la population,plateformes,fin 2025,octobre 2025,SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
facebook_utilisateurs,Facebook — audience publicitaire,2.95,millions,plateformes,fin 2025,"portée publicitaire déclarée par Meta, différente d'un décompte d'utilisateurs actifs",SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
facebook_part_adultes,Facebook — part des adultes,38.4,%,plateformes,fin 2025,"adultes de 18 ans et plus, fin 2025",SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
instagram_part_population,Instagram — audience publicitaire,4.2,% de la population,plateformes,fin 2025,fin 2025,SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
instagram_part_adultes,Instagram — part des adultes,6.7,%,plateformes,fin 2025,"adultes de 18 ans et plus, fin 2025",SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
reseaux_sociaux_hommes,Réseaux sociaux — part d'hommes,54.4,%,profil,fin 2025,"contre 45,6 % de femmes",SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
population_urbaine,Population vivant en ville,61.4,% de la population,profil,fin 2025,"contre 38,6 % en zone rurale, fin 2025",SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
age_median,Âge médian de la population,24.1,ans,profil,fin 2025,fin 2025 — la moitié de la population est plus jeune,SRC-059,Kepios / DataReportal — Digital 2026: Haiti,"Contenu sous droit d'auteur de Kepios Pte. Ltd. — valeurs CITÉES avec attribution, aucune page ni aucun graphique repris","We Are Social & Meltwater (2026), ""Digital 2026: Haiti"", retrieved from https://datareportal.com/reports/digital-2026-haiti",2026-08-24
