banque,est_un_agregat,trimestre,date_reference,section,indicateur,nature,periode_libelle,valeur,provisoire,fichier_source,source_id,source,licence,attribution,date_extraction
Banque Nationale de Crédit,non,2013-T4,2013-12-31,Qualité de l'actif,Provision pour créances douteuses en % des prêts improductifs bruts,état à une date,Au 31 décembre 2013,0.29968644,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Banque Populaire Haïtienne,non,2013-T4,2013-12-31,Qualité de l'actif,Provision pour créances douteuses en % des prêts improductifs bruts,état à une date,Au 31 décembre 2013,0.88203433,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Banque de l'Union Haïtienne,non,2013-T4,2013-12-31,Qualité de l'actif,Provision pour créances douteuses en % des prêts improductifs bruts,état à une date,Au 31 décembre 2013,0.20196535,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Capital Bank,non,2013-T4,2013-12-31,Qualité de l'actif,Provision pour créances douteuses en % des prêts improductifs bruts,état à une date,Au 31 décembre 2013,1.16282016,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Ensemble du système,oui,2013-T4,2013-12-31,Qualité de l'actif,Provision pour créances douteuses en % des prêts improductifs bruts,état à une date,Au 31 décembre 2013,0.41541852,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Scotiabank,non,2013-T4,2013-12-31,Qualité de l'actif,Provision pour créances douteuses en % des prêts improductifs bruts,état à une date,Au 31 décembre 2013,0.42850631,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Sogebank,non,2013-T4,2013-12-31,Qualité de l'actif,Provision pour créances douteuses en % des prêts improductifs bruts,état à une date,Au 31 décembre 2013,0.28709748,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Sogebel,non,2013-T4,2013-12-31,Qualité de l'actif,Provision pour créances douteuses en % des prêts improductifs bruts,état à une date,Au 31 décembre 2013,0.20081172,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Sous-total (banques commerciales),oui,2013-T4,2013-12-31,Qualité de l'actif,Provision pour créances douteuses en % des prêts improductifs bruts,état à une date,Au 31 décembre 2013,0.43756778,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Unibank,non,2013-T4,2013-12-31,Qualité de l'actif,Provision pour créances douteuses en % des prêts improductifs bruts,état à une date,Au 31 décembre 2013,2.03590163,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
