banque,est_un_agregat,date_reference,trimestre,grandeur,valeur,unite,source_id,source,licence,attribution,date_extraction
Banque Nationale de Crédit,non,2022-09-30,2022-T3,Actif total,120274655.0,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque Populaire Haïtienne,non,2022-09-30,2022-T3,Actif total,5654908.9,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque de l'Union Haïtienne,non,2022-09-30,2022-T3,Actif total,45411624.7,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Capital Bank,non,2022-09-30,2022-T3,Actif total,45776286.0,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Citibank N.A. (succursale d'Haïti),non,2022-09-30,2022-T3,Actif total,5654172.0,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Ensemble du système,oui,2022-09-30,2022-T3,Actif total,610202247.9,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Sogebank,non,2022-09-30,2022-T3,Actif total,156974593.9,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Sogebel,non,2022-09-30,2022-T3,Actif total,11749300.2,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Unibank,non,2022-09-30,2022-T3,Actif total,218706707.2,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque Nationale de Crédit,non,2022-09-30,2022-T3,Comptes de dépôt,555099.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
