pcode_commune,atmart_geo_id,nom_commune,caisse,sigle,numero_agrement,adresse_siege,nombre_comptoirs,localisation_comptoirs,federation,source_id,source,millesime,limite_connue,date_extraction
HT0811,HTC-0811,Jérémie,Caisse Populaire pour l’Avancement de Jérémie,CAPAJ,07-cp-06-002,"47, angle des Rues Eugène Margronet et Nord Alexis, Jéremie",2,Siège/ Abricot,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT1031,HTC-1031,Baradères,Caisse Populaire des Baradères,CAPODEB,E-10-CEC-001,"34, Carrefour Renard la plaine, Baradères",1,Siège,LE SOCIÉTAIRE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0114,HTC-0114,Pétion-Ville,Caisse Populaire Dominique Savio,CAPODOSA,06-CP-08-046,"19, angle des Rues Metelus & delmas 105, Pétion-Ville",1,Siège,LE SOCIÉTAIRE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0931,HTC-0931,Môle Saint Nicolas,Caisse Populaire de Mare-Rouge,CAPOMAR,00-cp-07-008,"Rue Liberté, Mare-Rouge, Mole Saint Nicolas",2,"Siège/ Route de Clenette, Bombardopolis",LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0521,HTC-0521,Gros Morne,Caisse Populaire pour la Réussite de Gros-Morne,CAPOR,03-cp-08-158,"87, Rue Sténio Vincent, Gros-Morne",1,Siège,LE SOCIÉTAIRE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0714,HTC-0714,Camp-Perrin,Caisse Populaire Sainte-Anne de Camp-Perrin,CAPOSAC,20-cp-06-010,"16, Rue Concurrence, Bas Camp, Camp-Perrin",3,Siège/ Cance/ Torbeck/ Aquin,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT1013,HTC-1013,Fonds des Nègres,Caisse Populaire Saint Joseph,CAPOSAJ,E-40-CEC/01- 2020- 08,"Rte Nle #2 Pemerle, Fonds-des-Nègres",1,Siège,NON-FÉDÉRÉE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0372,HTC-0372,Pilate,Caisse Populaire Solidarité,CAPOSOL,E-80-CEC/01- 2016- 03,"60, Grande Rue, Pilate, Nord",1,Siège,NON-FÉDÉRÉE,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0551,HTC-0551,Saint-Michel de l'Attalaye,Caisse Populaire de Solidarité de St-Michel de l’Attalaye,CAPOSOSMA,90-cp-06-021,"20, angle des Rues Guerrier et Vernet, St-Michel de l’Attalaye",2,Siège/ Ennery,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0532,HTC-0532,Verrettes,Caisse Populaire Solidarité de Verrettes,CAPOSOV,E-90-cp/05-010,"1, Rue Dumarsais Estimé, Verrettes",3,Siège/ Lachapelle/ Liancourt,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0711,HTC-0711,Les Cayes,Caisse Populaire du Sud,CAPOSUD,07-CEC/CNC- 13/A- 025,"19, Rue Toto Bissainthe, Cayes",2,Siege/ Valère,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0214,HTC-0214,La Vallée,Caisse Populaire Petite Epargne de la Vallée,CAPPEV,07-cp-05-156,"7, Rue du Marché, Vallée de Jacmel",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT0733,HTC-0733,Cavaillon,Caisse Populaire Union Cavaillonnaise,CAPUC,08-cp-08-134,"1,angle des Rues Magloire et Menard, Cavaillon",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
HT1012,HTC-1012,Petite Rivière de Nippes,Caisse d’Epargne et de Crédit pour l’Avancement des Nippes,CECANIPPES,40-cp-07-008,"117, Basse-ville, Petite-Rivière de Nippes",1,Siège,LE LEVIER,SRC-053,BRH — liste des caisses populaires agréées,mars 2025,"La commune est celle du SIÈGE, déduite de la dernière partie de l'adresse. Les comptoirs desservent d'autres communes : leur libellé est publié tel quel, sans être rattaché — il nomme souvent des localités, pas des communes. Ni téléphone ni courriel ne sont repris : un atlas territorial n'en a pas besoin.",2026-08-21
