indicateur_id,libelle,unite,sens,iso3,pays,valeur,annee,rang_mondial_haiti,pays_compares,mediane_mondiale,source_id,date_extraction
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,HTI,Haïti,65.12,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,CUB,Cuba,78.26,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,ATG,Antigua and Barbuda,77.77,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,BRB,Barbados,76.33,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,GRD,Grenada,75.37,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,BHS,Bahamas  The,74.71,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,DOM,Dominican Republic,73.87,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,SUR,Suriname,73.76,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,BLZ,Belize,73.74,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,TTO,Trinidad and Tobago,73.62,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,LCA,St. Lucia,72.85,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,KNA,St. Kitts and Nevis,72.28,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,JAM,Jamaica,71.61,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,VCT,St. Vincent and the Grenadines,71.38,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,DMA,Dominica,71.29,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.LE00.IN,Espérance de vie à la naissance,ans,haut,GUY,Guyana,70.32,2024,190,217,74.71,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,HTI,Haïti,39.0,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,CUB,Cuba,6.8,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,ATG,Antigua and Barbuda,7.0,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,BRB,Barbados,9.1,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,VCT,St. Vincent and the Grenadines,10.2,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,BLZ,Belize,10.8,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,BHS,Bahamas  The,11.1,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,KNA,St. Kitts and Nevis,13.9,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,SUR,Suriname,14.8,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,LCA,St. Lucia,15.8,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,JAM,Jamaica,16.4,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,GRD,Grenada,16.4,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,TTO,Trinidad and Tobago,17.0,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,GUY,Guyana,23.2,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,DOM,Dominican Republic,27.7,2024,170,196,12.5,SRC-015,2026-09-04
SP.DYN.IMRT.IN,Mortalité infantile,pour 1 000 naissances vivantes,bas,DMA,Dominica,33.3,2024,170,196,12.5,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,HTI,Haïti,328.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,CUB,Cuba,35.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,BRB,Barbados,35.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,ATG,Antigua and Barbuda,35.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,DMA,Dominica,36.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,LCA,St. Lucia,44.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,GRD,Grenada,48.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,TTO,Trinidad and Tobago,54.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,VCT,St. Vincent and the Grenadines,56.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,BLZ,Belize,67.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,KNA,St. Kitts and Nevis,74.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,GUY,Guyana,75.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,BHS,Bahamas  The,76.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,SUR,Suriname,84.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,DOM,Dominican Republic,124.0,2023,172,194,47.0,SRC-015,2026-09-04
SH.STA.MMRT,Mortalité maternelle,pour 100 000 naissances,bas,JAM,Jamaica,130.0,2023,172,194,47.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,HTI,Haïti,53.9,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,CUB,Cuba,100.0,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,TTO,Trinidad and Tobago,100.0,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,BHS,Bahamas  The,100.0,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,BRB,Barbados,100.0,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,LCA,St. Lucia,100.0,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,DMA,Dominica,100.0,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,ATG,Antigua and Barbuda,100.0,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,KNA,St. Kitts and Nevis,100.0,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,VCT,St. Vincent and the Grenadines,100.0,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,BLZ,Belize,99.6,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,DOM,Dominican Republic,99.5,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,SUR,Suriname,99.0,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,JAM,Jamaica,97.7,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,GRD,Grenada,95.6,2024,195,215,100.0,SRC-015,2026-09-04
EG.ELC.ACCS.ZS,Accès à l'électricité,% de la population,haut,GUY,Guyana,93.0,2024,195,215,100.0,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,HTI,Haïti,29.11,2024,198,214,93.66,SRC-015,2026-09-04
