pcode_commune,commune,departement,familles_a_verifier,sante_declare_mspp,sante_vu_osm,sante_rapport,sante_classe,ecoles_declare_menfp,ecoles_vu_osm,ecoles_rapport,ecoles_classe,pop_ihsi,pop_projection,pop_satellite,pop_rapport,pop_classe
HT0111,Port-au-Prince,Ouest,0,64,164,2.562,ecart_modere,502,369,1.36,concordant,989447,926906,889037,1.113,concordant
HT0112,Delmas,Ouest,1,44,165,3.75,desaccord,679,463,1.467,concordant,396122,435779,394759,1.104,concordant
HT0113,Carrefour,Ouest,0,37,65,1.757,ecart_modere,679,279,2.434,ecart_modere,512467,460506,502904,1.113,concordant
HT0114,Pétion-Ville,Ouest,1,26,63,2.423,ecart_modere,714,144,4.958,desaccord,377688,394895,412780,1.093,concordant
HT0115,Kenscoff,Ouest,1,11,4,2.75,ecart_modere,78,13,6.0,desaccord,57573,63006,69205,1.202,concordant
HT0116,Gressier,Ouest,2,13,12,1.083,concordant,152,29,5.241,desaccord,36541,3987,41983,10.53,desaccord
HT0117,Cité Soleil,Ouest,0,14,37,2.643,ecart_modere,298,234,1.274,concordant,265687,287439,259558,1.107,concordant
HT0118,Tabarre,Ouest,1,19,61,3.211,desaccord,312,264,1.182,concordant,130564,141693,161038,1.233,concordant
HT0121,Léogâne,Ouest,0,29,39,1.345,concordant,393,164,2.396,ecart_modere,200287,233614,248200,1.239,concordant
HT0122,Petit-Goâve,Ouest,1,10,22,2.2,ecart_modere,285,68,4.191,desaccord,173389,194867,291984,1.684,ecart_modere
HT0123,Grand-Goâve,Ouest,0,5,12,2.4,ecart_modere,132,45,2.933,ecart_modere,136799,157549,148108,1.152,concordant
HT0131,Croix-Des-Bouquets,Ouest,1,42,185,4.405,desaccord,876,985,1.124,concordant,250205,129879,293400,2.259,ecart_modere
HT0132,Thomazeau,Ouest,1,2,11,5.5,desaccord,22,35,1.591,ecart_modere,53093,54753,58486,1.102,concordant
HT0133,Ganthier,Ouest,1,9,9,1.0,concordant,133,6,22.167,desaccord,62683,65036,63818,1.038,concordant
HT0134,Cornillon / Grand Bois,Ouest,1,3,6,2.0,ecart_modere,38,7,5.429,desaccord,59811,66185,53508,1.237,concordant
HT0135,Fonds-Verrettes,Ouest,1,4,6,1.5,concordant,90,15,6.0,desaccord,50146,54717,43885,1.247,concordant
HT0141,Arcahaie,Ouest,0,16,34,2.125,ecart_modere,261,178,1.466,concordant,130620,142752,149636,1.146,concordant
HT0142,Cabaret,Ouest,1,12,9,1.333,concordant,224,65,3.446,desaccord,68406,65302,113498,1.738,ecart_modere
HT0151,Anse à Galets,Ouest,2,13,6,2.167,ecart_modere,157,10,15.7,desaccord,62709,70156,243486,3.883,desaccord
