code_circonscription,circonscription,departement,arrondissement,pcodes_communes,communes,candidats,pv_inclus_1er_tour,pv_attendus_1er_tour,second_tour,premier_tour_annule_puis_repris,depute_elu,parti_du_depute_elu,notes_de_la_source,source,licence,source_id
1,GONAIVES,ARTIBONITE,GONAIVES,HT0511,Gonaïves,24,352,380,2015-10,non,DERIUS NETLANDE PIERRE,KID,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
2,L'ESTERE,ARTIBONITE,GONAIVES,HT0513,L'Estère,19,39,55,2015-10,non,EXANTUS REYNALD,OPL,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
3,ENNERY,ARTIBONITE,GONAIVES,HT0512,Ennery,2,38,55,,non,"CHANCY, CHOLZER",AAA,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
4,GROS-MORNE,ARTIBONITE,GROS MORNE,HT0521,Gros Morne,9,139,148,,non,CHERY FRITZ,AAA,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
5,TERRE-NEUVE,ARTIBONITE,GROS MORNE,HT0522,Terre Neuve,5,27,32,2015-10,non,JACQUES DULAURIER,AAA,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
6,L'ANSE ROUGE,ARTIBONITE,GROS MORNE,HT0523,Anse Rouge,15,42,48,2015-10,non,CHERY EDOUANEL,AAA,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
7,MARMELADE,ARTIBONITE,MARMELADE,HT0552,Marmelade,14,40,43,2015-10,non,RAPHAEL SALEM,VERITE,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
8,SAINT-MICHEL,ARTIBONITE,MARMELADE,HT0551,Saint-Michel de l'Attalaye,11,117,140,2015-10,non,AMILCAR MYRIAM,VERITE,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
9,SAINT MARC,ARTIBONITE,SAINT MARC,HT0531,Saint-Marc,22,287,300,2016-11,oui,D'HAITI SAMUEL,KONA,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
10,VERRETTES,ARTIBONITE,SAINT MARC,HT0532,Verrettes,14,160,161,2016-11,oui,PAUL LORMEUS GERARD,PLATFÒM LEVE KANPE,,"Election Passport (David Lublin, American University), « Haiti — Chamber of Deputies 2015-2017 », d'après les résultats du CEP","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-071
