categorie_agrement,institution,adresse_siege,presente_sur_la_carte_osm,enseigne_correspondante_osm,source_id,source,millesime,limite_connue,date_extraction
Banque,Banque Nationale de Crédit (BNC),"103, angle rues des Miracles et du Quai, Port-au-Prince",oui,Banque Nationale De Crédit,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Banque,Banque Populaire Haïtienne (BPH),"8, angle rues Aubran et Gabart, Pétion-Ville",oui,Banque Populaire Haïtienne,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Banque,"Banque de l’Union Haitienne S.A (BUH, S.A.)","3, rue Jean-Gilles, Port-au-Prince",oui,Banque de l'Union Haïtienne,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Banque,Capital Bank S.A.,"38, rue Faubert, Pétion-Ville",oui,Capital Bank,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Banque,Citibank N.A. (Haïti branch),"75, angle Blvd Toussaint Louverture et rue Frères Simmons, Port-au-Prince",oui,CITI,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Banque,"Société Générale Haïtienne de Banque S.A. (SOGEBANK ,S.A.)","Autoroute de Delmas, Delmas 30, Delmas",oui,SOGEBANK,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Banque,"Société Générale Haïtienne de Banque d’Épargne et de Logement S.A. (SOGEBEL , S.A.)","14, Boulevard Toussaint Louverture, Route de l’aéroport",oui,SogeBel,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Banque,"Unibank,S.A.","157, rue Faubert, Pétion-Ville",oui,UNIBANK,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Banque,Banque Nationale de Développement Agricole (BNDA),"Rue Moise, Pétion-ville",oui,Banque Nationale,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Maison de transfert,CAM Transfer,"19, rue B2, Parc Industriel de l’aéroport, Port-au-Prince",oui,C.A.M,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
Maison de transfert,Prism Transfer,"151, angle avenue Jean Paul II et impasse Duverger, Port-au-Prince",non,,SRC-053,BRH — listes d'agrément de la supervision bancaire,consulté le 2026-08-21,"Liste des institutions AGRÉÉES, pas des agences : la BRH publie le siège et rien d'autre. La colonne « présente sur la carte » compare au relevé contributif OpenStreetMap et se lit comme un PLANCHER — le rapprochement est volontairement prudent et rate une correspondance plutôt que d'en inventer.",2026-08-21
