pcode_commune,atmart_geo_id,nom_commune,famille,points_cartographies,source_id,source,millesime,limite_connue,date_extraction
HT0111,HTC-0111,Port-au-Prince,caisse,1,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"CE N'EST PAS UN RECENSEMENT. La BRH agrée 58 caisses populaires et compte 108 points de service ; la cartographie contributive en montre une trentaine. Un objet est reconnu soit parce que son NOM se déclare — « caisse populaire », « kès popilè », « CEC » —, soit parce qu'il porte un SIGLE agréé par la BRH ET qu'il est étiqueté comme financier. Un sigle nu ne suffit pas : l'un des sigles agréés est le mot « succès », qui attraperait sinon une école, une pharmacie et un point d'eau. La règle rate donc des caisses mal étiquetées, et c'est le sens dans lequel elle doit se tromper. LES MUTUELLES DE SOLIDARITÉ N'Y SONT PAS et ne peuvent pas y être : sans agrément, sans local et souvent sans nom stable, elles n'ont pas d'adresse à cartographier — un point les ferait nommer des personnes plutôt qu'une institution.",2026-08-21
HT0111,HTC-0111,Port-au-Prince,microfinance,1,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"CE N'EST PAS UN RECENSEMENT. La BRH agrée 58 caisses populaires et compte 108 points de service ; la cartographie contributive en montre une trentaine. Un objet est reconnu soit parce que son NOM se déclare — « caisse populaire », « kès popilè », « CEC » —, soit parce qu'il porte un SIGLE agréé par la BRH ET qu'il est étiqueté comme financier. Un sigle nu ne suffit pas : l'un des sigles agréés est le mot « succès », qui attraperait sinon une école, une pharmacie et un point d'eau. La règle rate donc des caisses mal étiquetées, et c'est le sens dans lequel elle doit se tromper. LES MUTUELLES DE SOLIDARITÉ N'Y SONT PAS et ne peuvent pas y être : sans agrément, sans local et souvent sans nom stable, elles n'ont pas d'adresse à cartographier — un point les ferait nommer des personnes plutôt qu'une institution.",2026-08-21
HT0131,HTC-0131,Croix-Des-Bouquets,caisse,1,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"CE N'EST PAS UN RECENSEMENT. La BRH agrée 58 caisses populaires et compte 108 points de service ; la cartographie contributive en montre une trentaine. Un objet est reconnu soit parce que son NOM se déclare — « caisse populaire », « kès popilè », « CEC » —, soit parce qu'il porte un SIGLE agréé par la BRH ET qu'il est étiqueté comme financier. Un sigle nu ne suffit pas : l'un des sigles agréés est le mot « succès », qui attraperait sinon une école, une pharmacie et un point d'eau. La règle rate donc des caisses mal étiquetées, et c'est le sens dans lequel elle doit se tromper. LES MUTUELLES DE SOLIDARITÉ N'Y SONT PAS et ne peuvent pas y être : sans agrément, sans local et souvent sans nom stable, elles n'ont pas d'adresse à cartographier — un point les ferait nommer des personnes plutôt qu'une institution.",2026-08-21
HT0134,HTC-0134,Cornillon / Grand Bois,microfinance,1,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"CE N'EST PAS UN RECENSEMENT. La BRH agrée 58 caisses populaires et compte 108 points de service ; la cartographie contributive en montre une trentaine. Un objet est reconnu soit parce que son NOM se déclare — « caisse populaire », « kès popilè », « CEC » —, soit parce qu'il porte un SIGLE agréé par la BRH ET qu'il est étiqueté comme financier. Un sigle nu ne suffit pas : l'un des sigles agréés est le mot « succès », qui attraperait sinon une école, une pharmacie et un point d'eau. La règle rate donc des caisses mal étiquetées, et c'est le sens dans lequel elle doit se tromper. LES MUTUELLES DE SOLIDARITÉ N'Y SONT PAS et ne peuvent pas y être : sans agrément, sans local et souvent sans nom stable, elles n'ont pas d'adresse à cartographier — un point les ferait nommer des personnes plutôt qu'une institution.",2026-08-21
HT0141,HTC-0141,Arcahaie,caisse,2,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"CE N'EST PAS UN RECENSEMENT. La BRH agrée 58 caisses populaires et compte 108 points de service ; la cartographie contributive en montre une trentaine. Un objet est reconnu soit parce que son NOM se déclare — « caisse populaire », « kès popilè », « CEC » —, soit parce qu'il porte un SIGLE agréé par la BRH ET qu'il est étiqueté comme financier. Un sigle nu ne suffit pas : l'un des sigles agréés est le mot « succès », qui attraperait sinon une école, une pharmacie et un point d'eau. La règle rate donc des caisses mal étiquetées, et c'est le sens dans lequel elle doit se tromper. LES MUTUELLES DE SOLIDARITÉ N'Y SONT PAS et ne peuvent pas y être : sans agrément, sans local et souvent sans nom stable, elles n'ont pas d'adresse à cartographier — un point les ferait nommer des personnes plutôt qu'une institution.",2026-08-21
HT0151,HTC-0151,Anse à Galets,microfinance,2,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"CE N'EST PAS UN RECENSEMENT. La BRH agrée 58 caisses populaires et compte 108 points de service ; la cartographie contributive en montre une trentaine. Un objet est reconnu soit parce que son NOM se déclare — « caisse populaire », « kès popilè », « CEC » —, soit parce qu'il porte un SIGLE agréé par la BRH ET qu'il est étiqueté comme financier. Un sigle nu ne suffit pas : l'un des sigles agréés est le mot « succès », qui attraperait sinon une école, une pharmacie et un point d'eau. La règle rate donc des caisses mal étiquetées, et c'est le sens dans lequel elle doit se tromper. LES MUTUELLES DE SOLIDARITÉ N'Y SONT PAS et ne peuvent pas y être : sans agrément, sans local et souvent sans nom stable, elles n'ont pas d'adresse à cartographier — un point les ferait nommer des personnes plutôt qu'une institution.",2026-08-21
HT0212,HTC-0212,Marigot,caisse,2,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"CE N'EST PAS UN RECENSEMENT. La BRH agrée 58 caisses populaires et compte 108 points de service ; la cartographie contributive en montre une trentaine. Un objet est reconnu soit parce que son NOM se déclare — « caisse populaire », « kès popilè », « CEC » —, soit parce qu'il porte un SIGLE agréé par la BRH ET qu'il est étiqueté comme financier. Un sigle nu ne suffit pas : l'un des sigles agréés est le mot « succès », qui attraperait sinon une école, une pharmacie et un point d'eau. La règle rate donc des caisses mal étiquetées, et c'est le sens dans lequel elle doit se tromper. LES MUTUELLES DE SOLIDARITÉ N'Y SONT PAS et ne peuvent pas y être : sans agrément, sans local et souvent sans nom stable, elles n'ont pas d'adresse à cartographier — un point les ferait nommer des personnes plutôt qu'une institution.",2026-08-21
HT0214,HTC-0214,La Vallée,caisse,1,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"CE N'EST PAS UN RECENSEMENT. La BRH agrée 58 caisses populaires et compte 108 points de service ; la cartographie contributive en montre une trentaine. Un objet est reconnu soit parce que son NOM se déclare — « caisse populaire », « kès popilè », « CEC » —, soit parce qu'il porte un SIGLE agréé par la BRH ET qu'il est étiqueté comme financier. Un sigle nu ne suffit pas : l'un des sigles agréés est le mot « succès », qui attraperait sinon une école, une pharmacie et un point d'eau. La règle rate donc des caisses mal étiquetées, et c'est le sens dans lequel elle doit se tromper. LES MUTUELLES DE SOLIDARITÉ N'Y SONT PAS et ne peuvent pas y être : sans agrément, sans local et souvent sans nom stable, elles n'ont pas d'adresse à cartographier — un point les ferait nommer des personnes plutôt qu'une institution.",2026-08-21
HT0313,HTC-0313,Limonade,caisse,1,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"CE N'EST PAS UN RECENSEMENT. La BRH agrée 58 caisses populaires et compte 108 points de service ; la cartographie contributive en montre une trentaine. Un objet est reconnu soit parce que son NOM se déclare — « caisse populaire », « kès popilè », « CEC » —, soit parce qu'il porte un SIGLE agréé par la BRH ET qu'il est étiqueté comme financier. Un sigle nu ne suffit pas : l'un des sigles agréés est le mot « succès », qui attraperait sinon une école, une pharmacie et un point d'eau. La règle rate donc des caisses mal étiquetées, et c'est le sens dans lequel elle doit se tromper. LES MUTUELLES DE SOLIDARITÉ N'Y SONT PAS et ne peuvent pas y être : sans agrément, sans local et souvent sans nom stable, elles n'ont pas d'adresse à cartographier — un point les ferait nommer des personnes plutôt qu'une institution.",2026-08-21
HT0322,HTC-0322,Plaine du Nord,caisse,1,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"CE N'EST PAS UN RECENSEMENT. La BRH agrée 58 caisses populaires et compte 108 points de service ; la cartographie contributive en montre une trentaine. Un objet est reconnu soit parce que son NOM se déclare — « caisse populaire », « kès popilè », « CEC » —, soit parce qu'il porte un SIGLE agréé par la BRH ET qu'il est étiqueté comme financier. Un sigle nu ne suffit pas : l'un des sigles agréés est le mot « succès », qui attraperait sinon une école, une pharmacie et un point d'eau. La règle rate donc des caisses mal étiquetées, et c'est le sens dans lequel elle doit se tromper. LES MUTUELLES DE SOLIDARITÉ N'Y SONT PAS et ne peuvent pas y être : sans agrément, sans local et souvent sans nom stable, elles n'ont pas d'adresse à cartographier — un point les ferait nommer des personnes plutôt qu'une institution.",2026-08-21
