localite_document,departement_document,etablissements_classes,note_maximale,statut,ce_que_nous_savons,pourquoi,source_id,date_extraction
Hatte Grammont,ARTIBONITE,1,1,non rattachée à une commune,"localité de l'Artibonite, rattachement non établi","Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
Cormier,NORD,1,3,non rattachée à une commune,"plage du littoral nord, aux abords de Cap-Haïtien","Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
Labadee,NORD,1,2,non rattachée à une commune,"presqu'île du nord, escale de croisière","Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
Monbin Lataille,NORD,1,2,non rattachée à une commune,localité du Nord,"Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
Vaudreuil,NORD,2,2,non rattachée à une commune,"localité du Nord, aux abords de Cap-Haïtien","Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
Furcy,OUEST,1,3,non rattachée à une commune,"hauteurs au sud de Pétion-Ville, secteur de Kenscoff","Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
Aviation,SUD-EST,2,2,non rattachée à une commune,"quartier du Sud-Est, secteur de Jacmel","Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
Breman,SUD-EST,2,2,non rattachée à une commune,"localité du Sud-Est, secteur de Jacmel","Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
Cyvadier,SUD-EST,2,3,non rattachée à une commune,"littoral du Sud-Est, entre Jacmel et Cayes-Jacmel","Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
Kabic,SUD-EST,2,3,non rattachée à une commune,"littoral du Sud-Est, secteur de Cayes-Jacmel","Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
Lamandou,SUD-EST,1,3,non rattachée à une commune,"localité du Sud-Est, secteur de Jacmel","Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
Orangers,SUD-EST,1,1,non rattachée à une commune,localité du Sud-Est,"Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
Ti mouillage,SUD-EST,1,1,non rattachée à une commune,"plage du Sud-Est, secteur de Cayes-Jacmel","Localité infra-communale : le rattachement paraît évident et ne l'est pas. Le document ne nomme pas la commune, et nous ne la devinons pas.",SRC-051,2026-08-21
