pcode_commune,famille,sous_type,unite,valeur,source_id,millesime,licence
HT0111,carburant,station-service,nombre,25,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,eau_osm,point d'eau potable,nombre,76,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,electricite,générateur,nombre,1,SRC-030,"OSM via Overpass, requête du 14/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,electricite,sous-station,nombre,4,SRC-030,"OSM via Overpass, requête du 14/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,finance,agence de transfert,nombre,12,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,finance,banque,nombre,23,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,finance,bureau de change,nombre,8,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,finance,bureau de poste,nombre,3,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,finance,guichet automatique,nombre,14,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,lieux_habites,hameau,nombre,4,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0111,lieux_habites,ville,nombre,1,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,carburant,station-service,nombre,30,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,eau_osm,point d'eau potable,nombre,154,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,eau_wpdx,fonctionnel,nombre,1,SRC-029,"WPdx, publié le 26/07/2026",CC BY-SA (Water Point Data Exchange)
HT0112,electricite,sous-station,nombre,3,SRC-030,"OSM via Overpass, requête du 14/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,finance,agence de transfert,nombre,2,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,finance,banque,nombre,22,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,finance,bureau de change,nombre,2,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,finance,bureau de poste,nombre,7,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,finance,guichet automatique,nombre,7,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,lieux_habites,hameau,nombre,2,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,lieux_habites,village,nombre,3,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0112,lieux_habites,ville,nombre,1,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0113,carburant,station-service,nombre,15,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0113,eau_osm,point d'eau potable,nombre,8,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0113,electricite,générateur,nombre,1,SRC-030,"OSM via Overpass, requête du 14/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0113,electricite,sous-station,nombre,2,SRC-030,"OSM via Overpass, requête du 14/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0113,finance,agence de transfert,nombre,2,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0113,finance,banque,nombre,2,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0113,finance,guichet automatique,nombre,2,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0113,lieux_habites,hameau,nombre,9,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0113,lieux_habites,village,nombre,34,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0113,lieux_habites,ville,nombre,1,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0114,carburant,station-service,nombre,19,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0114,eau_osm,point d'eau potable,nombre,22,SRC-028,"OSM via HOT, extrait le 06/08/2026",ODbL (© contributeurs OpenStreetMap)
