pcode_commune,commune,departement,nom_dans_le_document,inscrits_avril_2015,source,licence,source_id
HT0111,Port-au-Prince,Ouest,PORT-AU-PRINCE,474403,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0112,Delmas,Ouest,DELMAS,306454,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0113,Carrefour,Ouest,CARREFOUR,296802,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0114,Pétion-Ville,Ouest,PETION-VILLE,266123,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0115,Kenscoff,Ouest,KENSCOFF,36913,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0116,Gressier,Ouest,GRESSIER,50647,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0117,Cité Soleil,Ouest,CITÉ-SOLEIL,125326,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0118,Tabarre,Ouest,TABARRE,103479,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0121,Léogâne,Ouest,LEOGANE,107852,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0122,Petit-Goâve,Ouest,PETIT-GOAVE,88335,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0123,Grand-Goâve,Ouest,GRAND-GOAVE,34674,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0131,Croix-Des-Bouquets,Ouest,CROIX DES BOUQUETS,215199,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0132,Thomazeau,Ouest,THOMAZEAU,31881,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0133,Ganthier,Ouest,GANTHIER,47018,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0134,Cornillon / Grand Bois,Ouest,CORNILLON,29685,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0135,Fonds-Verrettes,Ouest,FONDS-VERRETTES,26488,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0141,Arcahaie,Ouest,L'ARCAHAIE,74691,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0142,Cabaret,Ouest,CABARET,47008,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0151,Anse à Galets,Ouest,ANSE A GALETS,33622,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0152,Pointe à Raquette,Ouest,POINTE A RAQUETTE,16695,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0211,Jacmel,Sud-Est,JACMEL,96326,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0212,Marigot,Sud-Est,MARIGOT,33933,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0213,Cayes-Jacmel,Sud-Est,CAYES JACMEL,23414,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0214,La Vallée,Sud-Est,LA VALLEE,16606,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0221,Bainet,Sud-Est,BAINET,39927,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0222,Côtes de Fer,Sud-Est,COTE- DE- FER,25696,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0231,Belle-Anse,Sud-Est,BELLE ANSE,32596,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0232,Grand Gosier,Sud-Est,GRAND-GOSIER,8323,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
HT0233,Thiotte,Sud-Est,THIOTTE,19023,"Conseil électoral provisoire (CEP), Inscription des électeurs, avril 2015","Tous droits réservés (CEP) — republication gratuite avec citation, décision Atmart du 18/09/2026",SRC-068
