pcode_zone,zone,periode_validite,du,au,phase_ipc,personnes,pourcentage,date_analyse,source_id,source,limite_connue
HT03,Artibonite,first projection,2026-03-01,2026-06-30,all,470267,1.0,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT03,Artibonite,first projection,2026-03-01,2026-06-30,3+,235134,0.5,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT03,Artibonite,first projection,2026-03-01,2026-06-30,1,94053,0.2,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT03,Artibonite,first projection,2026-03-01,2026-06-30,2,141080,0.3,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT03,Artibonite,first projection,2026-03-01,2026-06-30,3,141080,0.3,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT03,Artibonite,first projection,2026-03-01,2026-06-30,4,94053,0.2,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT03,Artibonite,first projection,2026-03-01,2026-06-30,5,0,0,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT04,Artibonite,first projection,2026-03-01,2026-06-30,all,449463,1.0,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT04,Artibonite,first projection,2026-03-01,2026-06-30,3+,247205,0.55,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT04,Artibonite,first projection,2026-03-01,2026-06-30,1,89893,0.2,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT04,Artibonite,first projection,2026-03-01,2026-06-30,2,112366,0.25,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT04,Artibonite,first projection,2026-03-01,2026-06-30,3,157312,0.35,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT04,Artibonite,first projection,2026-03-01,2026-06-30,4,89893,0.2,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT04,Artibonite,first projection,2026-03-01,2026-06-30,5,0,0,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
,Artibonite_HT01+HT05+HT08,first projection,2026-03-01,2026-06-30,all,682771,1.0,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
,Artibonite_HT01+HT05+HT08,first projection,2026-03-01,2026-06-30,3+,375524,0.55,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
,Artibonite_HT01+HT05+HT08,first projection,2026-03-01,2026-06-30,1,102416,0.15,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
,Artibonite_HT01+HT05+HT08,first projection,2026-03-01,2026-06-30,2,204831,0.3,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
,Artibonite_HT01+HT05+HT08,first projection,2026-03-01,2026-06-30,3,238970,0.35,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
,Artibonite_HT01+HT05+HT08,first projection,2026-03-01,2026-06-30,4,136554,0.2,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
,Artibonite_HT01+HT05+HT08,first projection,2026-03-01,2026-06-30,5,0,0,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT03,Bas plateau,first projection,2026-03-01,2026-06-30,all,251841,1.0,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT03,Bas plateau,first projection,2026-03-01,2026-06-30,3+,151105,0.6,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT03,Bas plateau,first projection,2026-03-01,2026-06-30,1,50368,0.2,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT03,Bas plateau,first projection,2026-03-01,2026-06-30,2,50368,0.2,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT03,Bas plateau,first projection,2026-03-01,2026-06-30,3,100736,0.4,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
HT03,Bas plateau,first projection,2026-03-01,2026-06-30,4,50368,0.2,Mar 2026,SRC-033,IPC — Cadre intégré de classification (CC0),"Zones d'analyse IPC — le découpage peut différer du découpage administratif ; la phase est une classification, pas un comptage direct."
