pcode_commune,atmart_geo_id,nom_commune,region_ipc,composition_declaree,mois_reference,indice,variation_mensuelle_pct,variation_annuelle_pct,base,source_id,source,limite_connue,date_extraction
HT0111,HTC-0111,Port-au-Prince,Aire Metropolitaine,"Port-au-Prince, Delmas, Pétionville, Carrefour, Tabarre, Cité Soleil et Croix des Bouquets",Juin 26,628.4,1.1,19.8,100 en 2017-2018,SRC-052,"IHSI — Indice des prix à la consommation, ventilation régionale ; rattachement aux communes par Atmart","INDICE RÉGIONAL PORTÉ SUR LES COMMUNES, PAS UN INDICE COMMUNAL. Toutes les communes d'une même région portent le même chiffre : l'IHSI ne publie pas plus fin. Il serait faux d'en conclure qu'une commune est plus chère qu'une autre à l'intérieur d'une région. Les prix ne sont relevés QU'EN ZONE URBAINE, alors que les pondérations couvrent villes et campagnes — l'IHSI le dit dans sa méthodologie. Les pondérations viennent de l'enquête ECVMAS de 2011-2012 et n'ont pas été actualisées depuis, pour un indice base 2017-2018. Le découpage en cinq régions ne recoupe PAS les dix départements : « Reste Ouest » réunit l'Ouest hors métropole et le Sud-Est.",2026-08-21
HT0112,HTC-0112,Delmas,Aire Metropolitaine,"Port-au-Prince, Delmas, Pétionville, Carrefour, Tabarre, Cité Soleil et Croix des Bouquets",Juin 26,628.4,1.1,19.8,100 en 2017-2018,SRC-052,"IHSI — Indice des prix à la consommation, ventilation régionale ; rattachement aux communes par Atmart","INDICE RÉGIONAL PORTÉ SUR LES COMMUNES, PAS UN INDICE COMMUNAL. Toutes les communes d'une même région portent le même chiffre : l'IHSI ne publie pas plus fin. Il serait faux d'en conclure qu'une commune est plus chère qu'une autre à l'intérieur d'une région. Les prix ne sont relevés QU'EN ZONE URBAINE, alors que les pondérations couvrent villes et campagnes — l'IHSI le dit dans sa méthodologie. Les pondérations viennent de l'enquête ECVMAS de 2011-2012 et n'ont pas été actualisées depuis, pour un indice base 2017-2018. Le découpage en cinq régions ne recoupe PAS les dix départements : « Reste Ouest » réunit l'Ouest hors métropole et le Sud-Est.",2026-08-21
HT0113,HTC-0113,Carrefour,Aire Metropolitaine,"Port-au-Prince, Delmas, Pétionville, Carrefour, Tabarre, Cité Soleil et Croix des Bouquets",Juin 26,628.4,1.1,19.8,100 en 2017-2018,SRC-052,"IHSI — Indice des prix à la consommation, ventilation régionale ; rattachement aux communes par Atmart","INDICE RÉGIONAL PORTÉ SUR LES COMMUNES, PAS UN INDICE COMMUNAL. Toutes les communes d'une même région portent le même chiffre : l'IHSI ne publie pas plus fin. Il serait faux d'en conclure qu'une commune est plus chère qu'une autre à l'intérieur d'une région. Les prix ne sont relevés QU'EN ZONE URBAINE, alors que les pondérations couvrent villes et campagnes — l'IHSI le dit dans sa méthodologie. Les pondérations viennent de l'enquête ECVMAS de 2011-2012 et n'ont pas été actualisées depuis, pour un indice base 2017-2018. Le découpage en cinq régions ne recoupe PAS les dix départements : « Reste Ouest » réunit l'Ouest hors métropole et le Sud-Est.",2026-08-21
HT0114,HTC-0114,Pétion-Ville,Aire Metropolitaine,"Port-au-Prince, Delmas, Pétionville, Carrefour, Tabarre, Cité Soleil et Croix des Bouquets",Juin 26,628.4,1.1,19.8,100 en 2017-2018,SRC-052,"IHSI — Indice des prix à la consommation, ventilation régionale ; rattachement aux communes par Atmart","INDICE RÉGIONAL PORTÉ SUR LES COMMUNES, PAS UN INDICE COMMUNAL. Toutes les communes d'une même région portent le même chiffre : l'IHSI ne publie pas plus fin. Il serait faux d'en conclure qu'une commune est plus chère qu'une autre à l'intérieur d'une région. Les prix ne sont relevés QU'EN ZONE URBAINE, alors que les pondérations couvrent villes et campagnes — l'IHSI le dit dans sa méthodologie. Les pondérations viennent de l'enquête ECVMAS de 2011-2012 et n'ont pas été actualisées depuis, pour un indice base 2017-2018. Le découpage en cinq régions ne recoupe PAS les dix départements : « Reste Ouest » réunit l'Ouest hors métropole et le Sud-Est.",2026-08-21
HT0115,HTC-0115,Kenscoff,Reste Ouest,Départements du Sud-Est et de l'Ouest sans l'Aire Métropolitaine de P-au-P,Juin 26,654.6,1.0,19.4,100 en 2017-2018,SRC-052,"IHSI — Indice des prix à la consommation, ventilation régionale ; rattachement aux communes par Atmart","INDICE RÉGIONAL PORTÉ SUR LES COMMUNES, PAS UN INDICE COMMUNAL. Toutes les communes d'une même région portent le même chiffre : l'IHSI ne publie pas plus fin. Il serait faux d'en conclure qu'une commune est plus chère qu'une autre à l'intérieur d'une région. Les prix ne sont relevés QU'EN ZONE URBAINE, alors que les pondérations couvrent villes et campagnes — l'IHSI le dit dans sa méthodologie. Les pondérations viennent de l'enquête ECVMAS de 2011-2012 et n'ont pas été actualisées depuis, pour un indice base 2017-2018. Le découpage en cinq régions ne recoupe PAS les dix départements : « Reste Ouest » réunit l'Ouest hors métropole et le Sud-Est.",2026-08-21
HT0116,HTC-0116,Gressier,Reste Ouest,Départements du Sud-Est et de l'Ouest sans l'Aire Métropolitaine de P-au-P,Juin 26,654.6,1.0,19.4,100 en 2017-2018,SRC-052,"IHSI — Indice des prix à la consommation, ventilation régionale ; rattachement aux communes par Atmart","INDICE RÉGIONAL PORTÉ SUR LES COMMUNES, PAS UN INDICE COMMUNAL. Toutes les communes d'une même région portent le même chiffre : l'IHSI ne publie pas plus fin. Il serait faux d'en conclure qu'une commune est plus chère qu'une autre à l'intérieur d'une région. Les prix ne sont relevés QU'EN ZONE URBAINE, alors que les pondérations couvrent villes et campagnes — l'IHSI le dit dans sa méthodologie. Les pondérations viennent de l'enquête ECVMAS de 2011-2012 et n'ont pas été actualisées depuis, pour un indice base 2017-2018. Le découpage en cinq régions ne recoupe PAS les dix départements : « Reste Ouest » réunit l'Ouest hors métropole et le Sud-Est.",2026-08-21
HT0117,HTC-0117,Cité Soleil,Aire Metropolitaine,"Port-au-Prince, Delmas, Pétionville, Carrefour, Tabarre, Cité Soleil et Croix des Bouquets",Juin 26,628.4,1.1,19.8,100 en 2017-2018,SRC-052,"IHSI — Indice des prix à la consommation, ventilation régionale ; rattachement aux communes par Atmart","INDICE RÉGIONAL PORTÉ SUR LES COMMUNES, PAS UN INDICE COMMUNAL. Toutes les communes d'une même région portent le même chiffre : l'IHSI ne publie pas plus fin. Il serait faux d'en conclure qu'une commune est plus chère qu'une autre à l'intérieur d'une région. Les prix ne sont relevés QU'EN ZONE URBAINE, alors que les pondérations couvrent villes et campagnes — l'IHSI le dit dans sa méthodologie. Les pondérations viennent de l'enquête ECVMAS de 2011-2012 et n'ont pas été actualisées depuis, pour un indice base 2017-2018. Le découpage en cinq régions ne recoupe PAS les dix départements : « Reste Ouest » réunit l'Ouest hors métropole et le Sud-Est.",2026-08-21
HT0118,HTC-0118,Tabarre,Aire Metropolitaine,"Port-au-Prince, Delmas, Pétionville, Carrefour, Tabarre, Cité Soleil et Croix des Bouquets",Juin 26,628.4,1.1,19.8,100 en 2017-2018,SRC-052,"IHSI — Indice des prix à la consommation, ventilation régionale ; rattachement aux communes par Atmart","INDICE RÉGIONAL PORTÉ SUR LES COMMUNES, PAS UN INDICE COMMUNAL. Toutes les communes d'une même région portent le même chiffre : l'IHSI ne publie pas plus fin. Il serait faux d'en conclure qu'une commune est plus chère qu'une autre à l'intérieur d'une région. Les prix ne sont relevés QU'EN ZONE URBAINE, alors que les pondérations couvrent villes et campagnes — l'IHSI le dit dans sa méthodologie. Les pondérations viennent de l'enquête ECVMAS de 2011-2012 et n'ont pas été actualisées depuis, pour un indice base 2017-2018. Le découpage en cinq régions ne recoupe PAS les dix départements : « Reste Ouest » réunit l'Ouest hors métropole et le Sud-Est.",2026-08-21
HT0121,HTC-0121,Léogâne,Reste Ouest,Départements du Sud-Est et de l'Ouest sans l'Aire Métropolitaine de P-au-P,Juin 26,654.6,1.0,19.4,100 en 2017-2018,SRC-052,"IHSI — Indice des prix à la consommation, ventilation régionale ; rattachement aux communes par Atmart","INDICE RÉGIONAL PORTÉ SUR LES COMMUNES, PAS UN INDICE COMMUNAL. Toutes les communes d'une même région portent le même chiffre : l'IHSI ne publie pas plus fin. Il serait faux d'en conclure qu'une commune est plus chère qu'une autre à l'intérieur d'une région. Les prix ne sont relevés QU'EN ZONE URBAINE, alors que les pondérations couvrent villes et campagnes — l'IHSI le dit dans sa méthodologie. Les pondérations viennent de l'enquête ECVMAS de 2011-2012 et n'ont pas été actualisées depuis, pour un indice base 2017-2018. Le découpage en cinq régions ne recoupe PAS les dix départements : « Reste Ouest » réunit l'Ouest hors métropole et le Sud-Est.",2026-08-21
HT0122,HTC-0122,Petit-Goâve,Reste Ouest,Départements du Sud-Est et de l'Ouest sans l'Aire Métropolitaine de P-au-P,Juin 26,654.6,1.0,19.4,100 en 2017-2018,SRC-052,"IHSI — Indice des prix à la consommation, ventilation régionale ; rattachement aux communes par Atmart","INDICE RÉGIONAL PORTÉ SUR LES COMMUNES, PAS UN INDICE COMMUNAL. Toutes les communes d'une même région portent le même chiffre : l'IHSI ne publie pas plus fin. Il serait faux d'en conclure qu'une commune est plus chère qu'une autre à l'intérieur d'une région. Les prix ne sont relevés QU'EN ZONE URBAINE, alors que les pondérations couvrent villes et campagnes — l'IHSI le dit dans sa méthodologie. Les pondérations viennent de l'enquête ECVMAS de 2011-2012 et n'ont pas été actualisées depuis, pour un indice base 2017-2018. Le découpage en cinq régions ne recoupe PAS les dix départements : « Reste Ouest » réunit l'Ouest hors métropole et le Sud-Est.",2026-08-21
