pcode_commune,atmart_geo_id,nom_commune,lieux_culte_total,chretien,vodou,spiritualiste,musulman,autre,non_renseigne,source_id,licence,attribution,millesime,limite_connue,date_extraction
HT0111,HTC-0111,Port-au-Prince,79,65,0,1,1,1,11,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0112,HTC-0112,Delmas,69,59,0,0,0,0,10,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0113,HTC-0113,Carrefour,11,9,0,0,0,0,2,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0114,HTC-0114,Pétion-Ville,26,25,0,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0115,HTC-0115,Kenscoff,5,5,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0116,HTC-0116,Gressier,9,8,0,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0117,HTC-0117,Cité Soleil,151,128,16,0,0,1,6,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0118,HTC-0118,Tabarre,82,55,4,0,0,0,23,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0121,HTC-0121,Léogâne,74,71,0,0,0,0,3,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0122,HTC-0122,Petit-Goâve,22,21,0,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0123,HTC-0123,Grand-Goâve,37,30,3,0,0,0,4,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0131,HTC-0131,Croix-Des-Bouquets,413,369,22,0,2,1,19,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0132,HTC-0132,Thomazeau,52,43,6,0,0,1,2,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0133,HTC-0133,Ganthier,5,5,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0134,HTC-0134,Cornillon / Grand Bois,13,10,0,0,0,0,3,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0135,HTC-0135,Fonds-Verrettes,4,2,0,0,0,0,2,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0141,HTC-0141,Arcahaie,72,56,12,0,0,0,4,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0142,HTC-0142,Cabaret,7,7,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0151,HTC-0151,Anse à Galets,12,9,0,0,0,0,3,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0211,HTC-0211,Jacmel,101,78,0,0,0,1,22,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0212,HTC-0212,Marigot,18,16,1,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0213,HTC-0213,Cayes-Jacmel,12,12,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0214,HTC-0214,La Vallée,2,1,0,0,0,0,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0221,HTC-0221,Bainet,1,1,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0222,HTC-0222,Côtes de Fer,4,4,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0231,HTC-0231,Belle-Anse,5,5,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0232,HTC-0232,Grand Gosier,1,1,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0233,HTC-0233,Thiotte,3,3,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0311,HTC-0311,Cap-Haïtien,119,111,2,0,0,1,5,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0312,HTC-0312,Quartier Morin,19,14,2,1,0,1,1,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0313,HTC-0313,Limonade,53,44,9,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0321,HTC-0321,Acul du Nord,5,5,0,0,0,0,0,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
HT0322,HTC-0322,Plaine du Nord,23,20,0,0,0,0,3,SRC-057,ODbL 1.0 — © contributeurs OpenStreetMap,"© contributeurs OpenStreetMap, extrait via Overpass API",relevé du 24/08/2026,"Ce nombre est celui des lieux de culte CARTOGRAPHIÉS dans OpenStreetMap, pas celui des lieux de culte existants. Une commune basse est probablement une commune peu cartographiée.",2026-08-24
