pcode_commune,nom_commune,radios_fm,radios_am,televisions,stations_total,radios_communautaires,source_id,licence,attribution,millesime,limite_connue,date_extraction
HT0111,Port-au-Prince,80,3,37,120,2,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0112,Delmas,2,0,0,2,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0113,Carrefour,1,1,0,2,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0114,Pétion-Ville,3,0,0,3,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0117,Cité Soleil,1,0,0,1,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0121,Léogâne,6,0,1,7,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0122,Petit-Goâve,13,0,0,13,1,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0123,Grand-Goâve,1,0,0,1,1,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0131,Croix-Des-Bouquets,9,0,0,9,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
HT0133,Ganthier,3,0,0,3,0,SRC-058,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","CONATEL — Conseil National des Télécommunications, liste des stations de radiodiffusion autorisées 2023-2024",année 2023-2024,"Stations AUTORISÉES par le CONATEL, rattachées à la commune que le document nomme dans sa colonne « Ville ». Une commune sans station n'a pas de station autorisée — ce n'est pas une commune sans radio : les stations non autorisées, par définition, n'y figurent pas.",2026-08-24
