atmart_id,source_id,pcode,niveau,nom_fr,nom_ht,parent_id,millesime,date_debut_validite,date_fin_validite,source,statut,note_divergence
HTD-01,HT01,HT01,departement,Ouest,Lwès,HT,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Le millesime CNIGS 2018 compte 20 communes dans l'Ouest. Ce nombre peut differer dans des referentiels plus recents. Verifie par comptage sur ce fichier, non repris d'une source tierce. Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTD-02,HT02,HT02,departement,Sud-Est,Sidès,HT,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTD-03,HT03,HT03,departement,Nord,Nò,HT,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTD-04,HT04,HT04,departement,Nord-Est,Nòdès,HT,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTD-05,HT05,HT05,departement,Artibonite,Latibonit,HT,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTD-06,HT06,HT06,departement,Centre,Sant,HT,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTD-07,HT07,HT07,departement,Sud,Sid,HT,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTD-08,HT08,HT08,departement,Grande'Anse,Grandans,HT,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTD-09,HT09,HT09,departement,Nord-Ouest,Nòdwès,HT,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTD-10,HT10,HT10,departement,Nippes,Nip,HT,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-011,HT011,,arrondissement,Port-au-Prince,Pòtoprens,HTD-01,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-012,HT012,,arrondissement,Léogâne,Leyogàn,HTD-01,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-013,HT013,,arrondissement,Croix-Des-Bouquets,Kwadèboukè,HTD-01,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-014,HT014,,arrondissement,Arcahaie,Akayè,HTD-01,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-015,HT015,,arrondissement,Anse à Galets,Ansa galè ,HTD-01,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-021,HT021,,arrondissement,Jacmel,Jakmèl,HTD-02,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
HTA-022,HT022,,arrondissement,Bainet,Benè,HTD-02,CNIGS 2018,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),en vigueur dans ce millesime,"Millesime CNIGS en vigueur au 29/11/2018, republie par OCHA le 26/01/2026. Des referentiels haitiens plus recents reconnaissent des communes creees apres cette date : leur absence ici ne signifie pas qu'elles n'existent pas."
