atmart_geo_id,pcode_commune,nom_commune,marche_id,marche,latitude,longitude,periode,annee_reference,mois,categorie,produit,unite_mesure,type_prix,devise,prix,prix_usd,statut_valeur,niveau_qualite,source,date_source,date_extraction,version
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2008-07,2008,2008-07,pulses and nuts,Beans (black),Pound,Retail,HTG,21.82,0.51,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2008-08,2008,2008-08,pulses and nuts,Beans (black),Pound,Retail,HTG,25.63,0.6,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2008-09,2008,2008-09,pulses and nuts,Beans (black),Pound,Retail,HTG,28.68,0.67,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2008-10,2008,2008-10,pulses and nuts,Beans (black),Pound,Retail,HTG,25,0.59,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2008-11,2008,2008-11,pulses and nuts,Beans (black),Pound,Retail,HTG,28.33,0.67,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2008-12,2008,2008-12,pulses and nuts,Beans (black),Pound,Retail,HTG,27,0.64,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2009-01,2009,2009-01,pulses and nuts,Beans (black),Pound,Retail,HTG,28.75,0.68,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2009-02,2009,2009-02,pulses and nuts,Beans (black),Pound,Retail,HTG,29.15,0.69,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2009-03,2009,2009-03,pulses and nuts,Beans (black),Pound,Retail,HTG,29.52,0.69,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2009-04,2009,2009-04,pulses and nuts,Beans (black),Pound,Retail,HTG,31.05,0.73,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2009-05,2009,2009-05,pulses and nuts,Beans (black),Pound,Retail,HTG,28.13,0.66,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2009-06,2009,2009-06,pulses and nuts,Beans (black),Pound,Retail,HTG,28.16,0.66,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2009-07,2009,2009-07,pulses and nuts,Beans (black),Pound,Retail,HTG,23.95,0.56,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2009-08,2009,2009-08,pulses and nuts,Beans (black),Pound,Retail,HTG,20.4,0.48,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2009-09,2009,2009-09,pulses and nuts,Beans (black),Pound,Retail,HTG,26.02,0.61,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2009-10,2009,2009-10,pulses and nuts,Beans (black),Pound,Retail,HTG,26.9,0.63,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2009-11,2009,2009-11,pulses and nuts,Beans (black),Pound,Retail,HTG,25.43,0.6,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2009-12,2009,2009-12,pulses and nuts,Beans (black),Pound,Retail,HTG,23.66,0.56,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
HTC-0111,HT0111,Port-au-Prince,109,Port-au-Prince,18.54,-72.33,HT-M-2010-01,2010,2010-01,pulses and nuts,Beans (black),Pound,Retail,HTG,30.8,0.72,O,B,PAM (WFP) via OCHA HDX — Haiti Food Prices (CC BY-IGO),2026-08-09,2026-08-13,v1.2026.08
