indicateur_id,langue,champ,valeur
IND-ACC-001,ht,nom,Tan pou rive nan sant sante ki pi pre a
IND-ACC-001,ht,definition,Tan medyàn pou soti nan kote moun rete yo rive nan etablisman sante ki pi pre a.
IND-ACC-001,ht,methode_calcul,"Kalkil izokwòn sou rezo wout la depi chak lokalite, apre sa medyàn pondere pa popilasyon an."
IND-ACC-001,ht,comparabilite,Konparab si rezo a ak metòd la pa chanje.
IND-ACC-001,ht,limites_connues,Rezo OSM la anba lisans ODbL : li pa konpatib ak yon lisans Atmart pwopriyetè san pataj alidantik.
IND-ACC-001,ht,unite,minit
IND-ACC-001,ht,sens_interpretation,"Ba = sèvis la aksesib. Se endikatè ki pi difisil pou repwodui, se poutèt sa li pi diferansyan."
IND-ACC-001,en,nom,Travel time to the nearest health centre
IND-ACC-001,en,definition,Median travel time from inhabited localities to the nearest health facility.
IND-ACC-001,en,methode_calcul,"Isochrone computation on the road network from each locality, then a population-weighted median."
IND-ACC-001,en,comparabilite,Comparable if the network and the method do not change.
IND-ACC-001,en,limites_connues,The OSM network is under ODbL: incompatible with a proprietary Atmart licence without share-alike.
IND-ACC-001,en,unite,minutes
IND-ACC-001,en,sens_interpretation,"Low = accessible service. This is the hardest indicator to reproduce, hence the most differentiating."
IND-ACC-001,es,nom,Tiempo de acceso al centro de salud más cercano
IND-ACC-001,es,definition,Tiempo de trayecto mediano desde las localidades habitadas hasta el establecimiento de salud más cercano.
IND-ACC-001,es,methode_calcul,"Cálculo de isócronas sobre la red viaria desde cada localidad, y después mediana ponderada por la población."
IND-ACC-001,es,comparabilite,Comparable si la red y el método no cambian.
IND-ACC-001,es,limites_connues,La red OSM está bajo ODbL: incompatible con una licencia Atmart propietaria sin compartir-igual.
IND-ACC-001,es,unite,minutos
IND-ACC-001,es,sens_interpretation,Bajo = servicio accesible. Es el indicador más difícil de reproducir y por tanto el más diferenciador.
IND-BUD-001,ht,nom,Depans piblik pou chak moun
IND-BUD-001,ht,definition,Depans piblik yo egzekite rapòte ak popilasyon an.
IND-BUD-001,ht,methode_calcul,Depans egzekite nan ekzèsis la ÷ popilasyon. Se baz referans tan an ki bay ekzèsis fiskal la (1ye oktòb – 30 septanm) : pa janm rapòte l ak yon ane sivil.
IND-BUD-001,ht,comparabilite,Fòk ou korije enflasyon an pou konpare de ekzèsis.
IND-BUD-001,ht,limites_connues,Yon depans yo vote pa yon depans yo egzekite.
IND-BUD-001,ht,unite,HTG / moun
IND-BUD-001,ht,sens_interpretation,"Pou li l byen, gade tou ki jan depans lan òganize."
IND-BUD-001,en,nom,Public expenditure per inhabitant
IND-BUD-001,en,definition,Executed public expenditure related to the population.
IND-BUD-001,en,methode_calcul,Executed expenditure for the fiscal year ÷ population. The fiscal year (1 October – 30 September) comes from the time referential: never relate it to a calendar year.
IND-BUD-001,en,comparabilite,Requires correcting for inflation to compare two fiscal years.
IND-BUD-001,en,limites_connues,A voted expenditure is not an executed expenditure.
IND-BUD-001,en,unite,HTG / inhabitant
IND-BUD-001,en,sens_interpretation,To be read together with the structure of the expenditure.
IND-BUD-001,es,nom,Gasto público por habitante
IND-BUD-001,es,definition,Gasto público ejecutado en relación con la población.
IND-BUD-001,es,methode_calcul,Gasto ejecutado del ejercicio ÷ población. El ejercicio fiscal (1 de octubre – 30 de septiembre) lo aporta el referencial tiempo: nunca referirlo a un año civil.
IND-BUD-001,es,comparabilite,Exige corregir la inflación para comparar dos ejercicios.
IND-BUD-001,es,limites_connues,Un gasto aprobado no es un gasto ejecutado.
IND-BUD-001,es,unite,HTG / habitante
IND-BUD-001,es,sens_interpretation,Debe leerse junto con la estructura del gasto.
IND-EDU-001,ht,nom,Lekòl ki resanse
IND-EDU-001,ht,definition,Kantite etablisman lekòl ki resanse.
IND-EDU-001,ht,methode_calcul,"Konte nan baz referans òganizasyon yo, kategori Edikasyon."
IND-EDU-001,ht,comparabilite,"PA konparab ant depatman : sous la kouvri sèlman Sid, Lwès, Nip ak Grandans."
IND-EDU-001,ht,limites_connues,"KOUVÈTI PASYÈL — 4 depatman sou 10, 49 komin sou 140. Yon valè zewo vle di « pa resanse », li pa janm vle di « pa gen lekòl »."
IND-EDU-001,ht,unite,kantite
IND-EDU-001,ht,sens_interpretation,Li sèlman anndan zòn ki kouvri a.
IND-EDU-001,en,nom,Recorded schools
IND-EDU-001,en,definition,Number of schools recorded.
IND-EDU-001,en,methode_calcul,"Count in the organisations referential, Education category."
IND-EDU-001,en,comparabilite,"NOT comparable between departments: the source covers only Sud, Ouest, Nippes and Grande'Anse."
IND-EDU-001,en,limites_connues,"PARTIAL COVERAGE — 4 departments out of 10, 49 communes out of 140. A zero value means “not recorded”, never “no schools”."
IND-EDU-001,en,unite,count
IND-EDU-001,en,sens_interpretation,To be read only within the covered area.
IND-EDU-001,es,nom,Escuelas registradas
IND-EDU-001,es,definition,Número de centros escolares registrados.
IND-EDU-001,es,methode_calcul,"Recuento en el referencial de organizaciones, categoría Educación."
IND-EDU-001,es,comparabilite,"NO comparable entre departamentos: la fuente solo cubre Sud, Ouest, Nippes y Grande'Anse."
IND-EDU-001,es,limites_connues,"COBERTURA PARCIAL — 4 departamentos de 10, 49 comunas de 140. Un valor cero significa «no registrado», nunca «ninguna escuela»."
IND-EDU-001,es,unite,número
IND-EDU-001,es,sens_interpretation,Léase únicamente dentro de la zona cubierta.
IND-EDU-002,ht,nom,Pòsyon lekòl leta
IND-EDU-002,ht,definition,Pòsyon lekòl ki gen estati leta pami lekòl ki resanse yo.
IND-EDU-002,ht,methode_calcul,"Lekòl « Public » ÷ total ki resanse × 100, apre nou mete libèle yo daplon (PUBLIQUE / Public → Public)."
IND-EDU-002,ht,comparabilite,Sèlman anndan zòn ki kouvri a.
IND-EDU-002,ht,limites_connues,Li pote kouvèti pasyèl IND-EDU-001 la.
IND-EDU-002,ht,unite,%
IND-EDU-002,ht,sens_interpretation,Yon pòsyon ki fèb montre pwa sektè ki pa leta a.
IND-EDU-002,en,nom,Share of public schools
IND-EDU-002,en,definition,Share of public schools among recorded schools.
IND-EDU-002,en,methode_calcul,"“Public” schools ÷ total recorded × 100, after harmonising the labels (PUBLIQUE / Public → Public)."
IND-EDU-002,en,comparabilite,Only within the covered area.
IND-EDU-002,en,limites_connues,Inherits the partial coverage of IND-EDU-001.
IND-EDU-002,en,unite,%
IND-EDU-002,en,sens_interpretation,A low share reflects the weight of the non-public sector.
IND-EDU-002,es,nom,Proporción de escuelas públicas
IND-EDU-002,es,definition,Proporción de escuelas públicas entre las escuelas registradas.
IND-EDU-002,es,methode_calcul,"Escuelas «Public» ÷ total registrado × 100, tras armonizar las etiquetas (PUBLIQUE / Public → Public)."
IND-EDU-002,es,comparabilite,Únicamente dentro de la zona cubierta.
IND-EDU-002,es,limites_connues,Hereda la cobertura parcial de IND-EDU-001.
IND-EDU-002,es,unite,%
IND-EDU-002,es,sens_interpretation,Una proporción baja refleja el peso del sector no público.
IND-EDU-003,ht,nom,Lekòl leta
IND-EDU-003,ht,definition,Kantite etablisman lekòl ki gen estati leta.
IND-EDU-003,ht,methode_calcul,Konte apre nou fin mete libèle estati yo daplon.
IND-EDU-003,ht,comparabilite,Menm limit kouvèti ak lekòl ki resanse yo.
IND-EDU-003,ht,limites_connues,Li pote kouvèti pasyèl resansman lekòl la.
IND-EDU-003,ht,unite,kantite
IND-EDU-003,ht,sens_interpretation,Se numeratè pòsyon lekòl leta yo.
IND-EDU-003,en,nom,Public schools
IND-EDU-003,en,definition,Number of schools with public status.
IND-EDU-003,en,methode_calcul,Count after harmonising the status labels.
IND-EDU-003,en,comparabilite,Same coverage limitations as recorded schools.
IND-EDU-003,en,limites_connues,Inherits the partial coverage of the school census.
IND-EDU-003,en,unite,count
IND-EDU-003,en,sens_interpretation,Numerator of the share of public schools.
IND-EDU-003,es,nom,Escuelas públicas
IND-EDU-003,es,definition,Número de centros escolares de estatus público.
IND-EDU-003,es,methode_calcul,Recuento tras armonizar las etiquetas de estatus.
IND-EDU-003,es,comparabilite,Mismas limitaciones de cobertura que las escuelas registradas.
IND-EDU-003,es,limites_connues,Hereda la cobertura parcial del censo escolar.
IND-EDU-003,es,unite,número
