atmart_org_id,categorie,sous_categorie,nom,nom_source,statut,statut_source,code_source,atmart_geo_id,pcode_departement,pcode_commune,pcode_section,latitude,longitude,geocode,methode_rattachement,degre_verification,homonyme_source,couverture_declaree,millesime,date_debut_validite,date_fin_validite,variantes_nom,source_id,source,date_source,date_extraction,statut_valeur,niveau_qualite,version
HTO-SAN-532201,Santé,Hôpital,Albert Schweitzer,Albert Schweitzer,Privé sans but lucratif,Privé sans but lucratif,532201,HTS-0111-03,HT01,HT0111,HT0111-03,19.074761,-72.491499,Oui,P-code de section fourni par la source,A — p-code officiel fourni par la source et coordonnées,Non,"PARTIELLE — 14 communes sur 140, dans 4 departements (Artibonite, Centre, Nord, Ouest). Malgre son titre, la source OCHA 2023 n'est PAS un registre national : elle concentre 730 etablissements sur une poignee de communes. Une commune absente n'a pas zero etablissement, elle n'est pas couverte. Anomalie relevee : l'Hopital Universitaire de Mirebalais y est rattache a la commune de Gonaives (HT0511-04) ; la valeur source est conservee, l'ecart est signale ici.",OCHA Haiti 2023,2023-12-22,,,SRC-009,OCHA Haiti — Location of health facilities (CC BY),2023-12-22,2026-07-31,O,A,v1.2026.07
HTO-SAN-532602,Santé,Dispensaire,Barbe (NF),Barbe (NF),Public,Public,532602,HTS-0111-03,HT01,HT0111,HT0111-03,19.025578,-72.490697,Oui,P-code de section fourni par la source,A — p-code officiel fourni par la source et coordonnées,Non,"PARTIELLE — 14 communes sur 140, dans 4 departements (Artibonite, Centre, Nord, Ouest). Malgre son titre, la source OCHA 2023 n'est PAS un registre national : elle concentre 730 etablissements sur une poignee de communes. Une commune absente n'a pas zero etablissement, elle n'est pas couverte. Anomalie relevee : l'Hopital Universitaire de Mirebalais y est rattache a la commune de Gonaives (HT0511-04) ; la valeur source est conservee, l'ecart est signale ici.",OCHA Haiti 2023,2023-12-22,,,SRC-009,OCHA Haiti — Location of health facilities (CC BY),2023-12-22,2026-07-31,O,A,v1.2026.07
HTO-SAN-511416,Santé,Dispensaire,Bardo Marchand,Bardo marchand,Privé,Privé,511416,HTS-0111-02,HT01,HT0111,HT0111-02,,,Non,P-code de section fourni par la source,"A — p-code officiel fourni par la source, sans coordonnées",Non,"PARTIELLE — 14 communes sur 140, dans 4 departements (Artibonite, Centre, Nord, Ouest). Malgre son titre, la source OCHA 2023 n'est PAS un registre national : elle concentre 730 etablissements sur une poignee de communes. Une commune absente n'a pas zero etablissement, elle n'est pas couverte. Anomalie relevee : l'Hopital Universitaire de Mirebalais y est rattache a la commune de Gonaives (HT0511-04) ; la valeur source est conservee, l'ecart est signale ici.",OCHA Haiti 2023,2023-12-22,,Bardo marchand,SRC-009,OCHA Haiti — Location of health facilities (CC BY),2023-12-22,2026-07-31,O,B,v1.2026.07
HTO-SAN-532503,Santé,Dispensaire,Bastien,Bastien,Privé à but lucratif,Privé à but lucratif,532503,HTS-0111-02,HT01,HT0111,HT0111-02,19.046027,-72.502938,Oui,P-code de section fourni par la source,A — p-code officiel fourni par la source et coordonnées,Non,"PARTIELLE — 14 communes sur 140, dans 4 departements (Artibonite, Centre, Nord, Ouest). Malgre son titre, la source OCHA 2023 n'est PAS un registre national : elle concentre 730 etablissements sur une poignee de communes. Une commune absente n'a pas zero etablissement, elle n'est pas couverte. Anomalie relevee : l'Hopital Universitaire de Mirebalais y est rattache a la commune de Gonaives (HT0511-04) ; la valeur source est conservee, l'ecart est signale ici.",OCHA Haiti 2023,2023-12-22,,,SRC-009,OCHA Haiti — Location of health facilities (CC BY),2023-12-22,2026-07-31,O,A,v1.2026.07
HTO-SAN-511302,Santé,CSL,Bayonnais,Bayonnais,Privé à but lucratif,Privé à but lucratif,511302,HTS-0111-02,HT01,HT0111,HT0111-02,19.410211,-72.478343,Oui,P-code de section fourni par la source,A — p-code officiel fourni par la source et coordonnées,Non,"PARTIELLE — 14 communes sur 140, dans 4 departements (Artibonite, Centre, Nord, Ouest). Malgre son titre, la source OCHA 2023 n'est PAS un registre national : elle concentre 730 etablissements sur une poignee de communes. Une commune absente n'a pas zero etablissement, elle n'est pas couverte. Anomalie relevee : l'Hopital Universitaire de Mirebalais y est rattache a la commune de Gonaives (HT0511-04) ; la valeur source est conservee, l'ecart est signale ici.",OCHA Haiti 2023,2023-12-22,,,SRC-009,OCHA Haiti — Location of health facilities (CC BY),2023-12-22,2026-07-31,O,A,v1.2026.07
HTO-SAN-541111,Santé,Dispensaire,Beaufort (NF),Beaufort (NF),Privé à but lucratif,Privé à but lucratif,541111,HTS-0111-03,HT01,HT0111,HT0111-03,,,Non,P-code de section fourni par la source,"A — p-code officiel fourni par la source, sans coordonnées",Non,"PARTIELLE — 14 communes sur 140, dans 4 departements (Artibonite, Centre, Nord, Ouest). Malgre son titre, la source OCHA 2023 n'est PAS un registre national : elle concentre 730 etablissements sur une poignee de communes. Une commune absente n'a pas zero etablissement, elle n'est pas couverte. Anomalie relevee : l'Hopital Universitaire de Mirebalais y est rattache a la commune de Gonaives (HT0511-04) ; la valeur source est conservee, l'ecart est signale ici.",OCHA Haiti 2023,2023-12-22,,,SRC-009,OCHA Haiti — Location of health facilities (CC BY),2023-12-22,2026-07-31,O,B,v1.2026.07
HTO-SAN-531510,Santé,CAL,Bocozelle,Bocozelle,Privé à but lucratif,Privé à but lucratif,531510,HTS-0111-02,HT01,HT0111,HT0111-02,19.098117,-72.682283,Oui,P-code de section fourni par la source,A — p-code officiel fourni par la source et coordonnées,Non,"PARTIELLE — 14 communes sur 140, dans 4 departements (Artibonite, Centre, Nord, Ouest). Malgre son titre, la source OCHA 2023 n'est PAS un registre national : elle concentre 730 etablissements sur une poignee de communes. Une commune absente n'a pas zero etablissement, elle n'est pas couverte. Anomalie relevee : l'Hopital Universitaire de Mirebalais y est rattache a la commune de Gonaives (HT0511-04) ; la valeur source est conservee, l'ecart est signale ici.",OCHA Haiti 2023,2023-12-22,,,SRC-009,OCHA Haiti — Location of health facilities (CC BY),2023-12-22,2026-07-31,O,A,v1.2026.07
HTO-SAN-511207,Santé,CSL,Bon Berger,Bon Berger,Privé à but lucratif,Privé à but lucratif,511207,HTS-0111-02,HT01,HT0111,HT0111-02,19.546927,-72.697042,Oui,P-code de section fourni par la source,A — p-code officiel fourni par la source et coordonnées,Non,"PARTIELLE — 14 communes sur 140, dans 4 departements (Artibonite, Centre, Nord, Ouest). Malgre son titre, la source OCHA 2023 n'est PAS un registre national : elle concentre 730 etablissements sur une poignee de communes. Une commune absente n'a pas zero etablissement, elle n'est pas couverte. Anomalie relevee : l'Hopital Universitaire de Mirebalais y est rattache a la commune de Gonaives (HT0511-04) ; la valeur source est conservee, l'ecart est signale ici.",OCHA Haiti 2023,2023-12-22,,,SRC-009,OCHA Haiti — Location of health facilities (CC BY),2023-12-22,2026-07-31,O,A,v1.2026.07
HTO-SAN-111619,Santé,CAL,CSL Sodec,CSL SODEC,Privé à but lucratif,Privé à but lucratif,111619,HTS-0111-01,HT01,HT0111,HT0111-01,18.525922,-72.335068,Oui,P-code de section fourni par la source,A — p-code officiel fourni par la source et coordonnées,Non,"PARTIELLE — 14 communes sur 140, dans 4 departements (Artibonite, Centre, Nord, Ouest). Malgre son titre, la source OCHA 2023 n'est PAS un registre national : elle concentre 730 etablissements sur une poignee de communes. Une commune absente n'a pas zero etablissement, elle n'est pas couverte. Anomalie relevee : l'Hopital Universitaire de Mirebalais y est rattache a la commune de Gonaives (HT0511-04) ; la valeur source est conservee, l'ecart est signale ici.",OCHA Haiti 2023,2023-12-22,,CSL SODEC,SRC-009,OCHA Haiti — Location of health facilities (CC BY),2023-12-22,2026-07-31,O,A,v1.2026.07
HTO-SAN-544201,Santé,CAL,CSL St Pierre,CSL St Pierre,Public,Public,544201,HTS-0111-03,HT01,HT0111,HT0111-03,19.310932,-72.689355,Oui,P-code de section fourni par la source,A — p-code officiel fourni par la source et coordonnées,Non,"PARTIELLE — 14 communes sur 140, dans 4 departements (Artibonite, Centre, Nord, Ouest). Malgre son titre, la source OCHA 2023 n'est PAS un registre national : elle concentre 730 etablissements sur une poignee de communes. Une commune absente n'a pas zero etablissement, elle n'est pas couverte. Anomalie relevee : l'Hopital Universitaire de Mirebalais y est rattache a la commune de Gonaives (HT0511-04) ; la valeur source est conservee, l'ecart est signale ici.",OCHA Haiti 2023,2023-12-22,,,SRC-009,OCHA Haiti — Location of health facilities (CC BY),2023-12-22,2026-07-31,O,A,v1.2026.07
HTO-SAN-111666,Santé,CSL,Cejpeph,CEJPEPH,Privé à but non lucratif,Privé à but non lucratif,111666,HTS-0111-01,HT01,HT0111,HT0111-01,,,Non,P-code de section fourni par la source,"A — p-code officiel fourni par la source, sans coordonnées",Non,"PARTIELLE — 14 communes sur 140, dans 4 departements (Artibonite, Centre, Nord, Ouest). Malgre son titre, la source OCHA 2023 n'est PAS un registre national : elle concentre 730 etablissements sur une poignee de communes. Une commune absente n'a pas zero etablissement, elle n'est pas couverte. Anomalie relevee : l'Hopital Universitaire de Mirebalais y est rattache a la commune de Gonaives (HT0511-04) ; la valeur source est conservee, l'ecart est signale ici.",OCHA Haiti 2023,2023-12-22,,CEJPEPH,SRC-009,OCHA Haiti — Location of health facilities (CC BY),2023-12-22,2026-07-31,O,B,v1.2026.07
HTO-SAN-541504,Santé,Dispensaire,Celio,Celio,Privé à but lucratif,Privé à but lucratif,541504,HTS-0111-03,HT01,HT0111,HT0111-03,19.218382,-72.459901,Oui,P-code de section fourni par la source,A — p-code officiel fourni par la source et coordonnées,Non,"PARTIELLE — 14 communes sur 140, dans 4 departements (Artibonite, Centre, Nord, Ouest). Malgre son titre, la source OCHA 2023 n'est PAS un registre national : elle concentre 730 etablissements sur une poignee de communes. Une commune absente n'a pas zero etablissement, elle n'est pas couverte. Anomalie relevee : l'Hopital Universitaire de Mirebalais y est rattache a la commune de Gonaives (HT0511-04) ; la valeur source est conservee, l'ecart est signale ici.",OCHA Haiti 2023,2023-12-22,,,SRC-009,OCHA Haiti — Location of health facilities (CC BY),2023-12-22,2026-07-31,O,A,v1.2026.07
