atmart_geo_id,niveau_admin,type_entite,nom_fr,nom_ht,parent_atmart_geo_id,pcode,source_geo_id,chef_lieu_fr,chef_lieu_ht,chef_lieu_latitude,chef_lieu_longitude,superficie_km2,latitude,longitude,population,date_validite_debut,date_validite_fin,source,date_source,date_extraction,statut_valeur,methode,niveau_qualite,version
HTD-01,1,Département,Ouest,Lwès,HT,HT01,HT01,,,,,4975.07,18.61774329,-72.17623252,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Reprise directe de la couche adm1,A,v1.2026.07
HTD-02,1,Département,Sud-Est,Sidès,HT,HT02,HT02,,,,,2038.63,18.21892991,-72.78221649,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Reprise directe de la couche adm1,A,v1.2026.07
HTD-03,1,Département,Nord,Nò,HT,HT03,HT03,,,,,2102.78,19.56737391,-72.21764097,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Reprise directe de la couche adm1,A,v1.2026.07
HTD-04,1,Département,Nord-Est,Nòdès,HT,HT04,HT04,,,,,1627.56,19.49702481,-71.89071718,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Reprise directe de la couche adm1,A,v1.2026.07
HTD-05,1,Département,Artibonite,Latibonit,HT,HT05,HT05,,,,,4857.73,19.33671941,-72.49245856,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Reprise directe de la couche adm1,A,v1.2026.07
HTD-06,1,Département,Centre,Sant,HT,HT06,HT06,,,,,3461.21,19.00952069,-72.01591926,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Reprise directe de la couche adm1,A,v1.2026.07
HTD-07,1,Département,Sud,Sid,HT,HT07,HT07,,,,,2646.56,18.22772825,-73.88190865,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Reprise directe de la couche adm1,A,v1.2026.07
HTD-08,1,Département,Grande'Anse,Grandans,HT,HT08,HT08,,,,,1913.92,18.51641358,-74.0981846,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Reprise directe de la couche adm1,A,v1.2026.07
HTD-09,1,Département,Nord-Ouest,Nòdwès,HT,HT09,HT09,,,,,2092.92,19.7878579,-73.09816327,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Reprise directe de la couche adm1,A,v1.2026.07
HTD-10,1,Département,Nippes,Nip,HT,HT10,HT10,,,,,1225.95,18.40544143,-73.30774538,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Reprise directe de la couche adm1,A,v1.2026.07
HTA-011,2,Arrondissement,Port-au-Prince,Pòtoprens,HTD-01,,HT011,Port-au-Prince,Pòtoprens,,,725.04,18.4714214,-72.33991095,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti (structure du p-code),2026-01-26,2026-07-31,A,"Niveau dérivé de la structure du p-code OCHA (HT+département+arrondissement+commune) ; nom repris du chef-lieu d'arrondissement, soit la commune en «…1». 42 arrondissements obtenus, conforme au découpage officiel. À valider contre un référentiel IHSI. Centre calculé comme centroïde pondéré par l'aire de l'union de ses communes (formule du lacet sur les polygones CNIGS).",B,v1.2026.07
