atmart_org_id,categorie,sous_categorie,nom,nom_source,statut,statut_source,code_source,atmart_geo_id,pcode_departement,pcode_commune,pcode_section,latitude,longitude,geocode,methode_rattachement,degre_verification,homonyme_source,couverture_declaree,millesime,date_debut_validite,date_fin_validite,variantes_nom,source_id,source,date_source,date_extraction,statut_valeur,niveau_qualite,version
HTO-MAR-011816,Marché,Marché suivi pour les prix,Canape-Vert,Canape-Vert,,,11816,HTS-0111-01,HT01,HT0111,HT0111-01,18.55,-72.34,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-008048,Marché,Marché suivi pour les prix,Croix des Bossales,Croix des bossales,,,8048,HTS-0111-01,HT01,HT0111,HT0111-01,18.56,-72.34,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,Croix des bossales,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-000109,Marché,Marché suivi pour les prix,Port-Au-Prince,Port-au-Prince,,,109,HTS-0111-01,HT01,HT0111,HT0111-01,18.54,-72.33,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,Port-au-Prince,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-011893,Marché,Marché suivi pour les prix,Salomon,Salomon,,,11893,HTS-0111-01,HT01,HT0111,HT0111-01,18.54,-72.33,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-011895,Marché,Marché suivi pour les prix,Delmas,Delmas,,,11895,HTS-0112-01,HT01,HT0112,HT0112-01,18.55,-72.31,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-008049,Marché,Marché suivi pour les prix,Seradotte,Seradotte,,,8049,HTS-0112-01,HT01,HT0112,HT0112-01,18.56,-72.31,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-011890,Marché,Marché suivi pour les prix,Bizoton,Bizoton,,,11890,HTS-0113-10,HT01,HT0113,HT0113-10,18.53,-72.38,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-008041,Marché,Marché suivi pour les prix,Carrefour,Carrefour,,,8041,HTS-0113-11,HT01,HT0113,HT0113-11,18.54,-72.42,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-011817,Marché,Marché suivi pour les prix,Kokoye,Kokoye,,,11817,HTS-0114-05,HT01,HT0114,HT0114-05,18.52,-72.28,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-008045,Marché,Marché suivi pour les prix,Marché Marche Lacoupe,Marché Marche Lacoupe,,,8045,HTS-0114-05,HT01,HT0114,HT0114-05,18.52,-72.28,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-011818,Marché,Marché suivi pour les prix,Pétion-Ville,Pétion-ville,,,11818,HTS-0114-05,HT01,HT0114,HT0114-05,18.52,-72.29,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,Pétion-ville,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-008046,Marché,Marché suivi pour les prix,Kenscoff,Kenscoff,,,8046,HTS-0115-03,HT01,HT0115,HT0115-03,18.47,-72.29,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-008040,Marché,Marché suivi pour les prix,Gressier,Gressier,,,8040,HTS-0116-01,HT01,HT0116,HT0116-01,18.55,-72.51,Oui,Section communale la plus proche (4.3 km) — coordonnées PAM arrondies,B — rattachement calculé par proximité,Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-007982,Marché,Marché suivi pour les prix,Cité Soleil,Cité Soleil,,,7982,HTS-0117-01,HT01,HT0117,HT0117-01,18.59,-72.33,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-011892,Marché,Marché suivi pour les prix,Terre Noire,Terre Noire,,,11892,HTS-0117-01,HT01,HT0117,HT0117-01,18.58,-72.34,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-011891,Marché,Marché suivi pour les prix,Wharf Jeremie,Wharf Jeremie,,,11891,HTS-0117-01,HT01,HT0117,HT0117-01,18.58,-72.33,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-008047,Marché,Marché suivi pour les prix,Tabarre,Tabarre,,,8047,HTS-0118-03,HT01,HT0118,HT0118-03,18.58,-72.27,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-008042,Marché,Marché suivi pour les prix,Chatuley,Chatuley,,,8042,HTS-0121-01,HT01,HT0121,HT0121-01,18.51,-72.63,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
HTO-MAR-011896,Marché,Marché suivi pour les prix,Dufort,Dufort,,,11896,HTS-0121-01,HT01,HT0121,HT0121-01,18.46,-72.63,Oui,Point-dans-polygone sur les sections communales du CNIGS,"B — rattachement calculé par Atmart, non fourni par la source",Non,"Marches suivis par le PAM pour le releve des prix alimentaires. Ne recense pas tous les marches d'Haiti, seulement ceux du dispositif de suivi.",WFP 2026,2026-07-26,,,SRC-011,WFP — Haiti Food Prices / Markets (CC BY-IGO),2026-07-26,2026-07-31,A,B,v1.2026.07
