categorie,nom,sigle,numero_inscription,date_reconnaissance,adresse_siege,courriel,domaine_intervention,zones_declarees,departements_reconnus,communes_reconnues,pcodes_communes,methode_rattachement,nationalite,nationalite_source,moniteur,source_id,source,date_extraction,statut_valeur,niveau_qualite,version
ONG enregistrées (registre légal),"Académie Recréative , Educationnelle pour le Futurs Leaders",AREFL,B-0651,26-Nov-18,"#50, tabarre 25",info@areflhaiti.org,commune de tabarre,commune de tabarre,,Tabarre,HT0118,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haitienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),ACDIVOCA,ACDIVOCA,B-0431,13-Dec-07,"Rue 3 (en face 23) Parc Industriel Shodecosa, Rte Ntle #1",,Agriculture; Santé; Nutrition,Jacmel,,Jacmel,HT0211,noms reconnus dans le texte libre des zones déclarées,Américaine,Américaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Action Affirmative,AA,B-0354,26-May-04,"8, Ave Martin L. King,Nazon",,Ecologie; Santé; Education,Zones critiques menacées d’érosion et d’abandon,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Action Aid,A.A,B-0258/ SS-005,7-Nov-02,"8,Imp Candelon,Delmas 48",,Education,Education,,,,zones déclarées non reconnues,Britanique,Britanique,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Action Concertée pour le Développement,ACODEV,B-0249,30-Oct-96,"199 A, Route de Delmas",,Education; Santé; Traveaux Publics; Agriculture,L\&#039;Azile Morisseau Grand\&#039;Anse,,,,zones déclarées non reconnues,Haïtienne,Haïtienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Action Contre la Faim,ACF,A-0109,,"49, Rue Jean Baptiste, Canapé-Vert",adminrh_haiti@ht.missions-acf.org,. Santé; Développement Communautaire,Nord-Ouest Sud Sud-Est Centre Ouest,Ouest ; Nord ; Nord-Ouest ; Centre ; Sud ; Sud-Est,,,noms reconnus dans le texte libre des zones déclarées,Française,Française,# 33 - 18/4/88,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Action Contre la Misère/World Concern Haïti,ACLAM/ WCH,B-0213,30-Oct-96,"22, Rue Boukman, Delmas 43",info@worldconcernhaitiaclam.org,Agriculture,Nord Sud Nippes Artibonite Ouest,Ouest ; Nord ; Artibonite ; Sud ; Nippes,,,noms reconnus dans le texte libre des zones déclarées,Américaine,Américaine,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Action de Coopération pour la Renaissance et le Développement d&#039;Haiti,ACORDEH,B-0636,29-Nov-17,rue la vilette prolongee gressier,cpaaccordeh@gmail.com,education,Gressier,,Gressier,HT0116,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haitienne,,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Action Familiale d&#039;Haïti,AFH,A-0098,17-Mar-87,"65, Rue Paul VI, BP. 531, P-au-P",,Santé; Education Familiale,Nord-Ouest Sud Sud-Est Centre Ouest Nord,Ouest ; Nord ; Nord-Ouest ; Centre ; Sud ; Sud-Est,,,noms reconnus dans le texte libre des zones déclarées,Haïtienne,Haïtienne,# 37 - 30/4/87,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
ONG enregistrées (registre légal),Action Missionnaire Globale,AMG/HAITI,A-0030,9-Jul-84,"1ère rue Jeune, Delmas 19, B.P. 493, P-au-p",,Education; Santé; Aide Alimentaire,Artibonite Ouest,Ouest ; Artibonite,,,noms reconnus dans le texte libre des zones déclarées,Américaine,Américaine,# 64 8/9/84,SRC-027,"MPCE/UCAONG — registre des ONG, mpce.gouv.ht, capturé le 14/08/2026",2026-08-14,O,B,v1.2026.08
