region,pcode_region_enquete,region_id_dhs,region_source,cartographiable,enquete,annee,indicateur_id,indicateur,valeur,unite,famille,sens_favorable,source_id,source,licence,attribution,date_extraction
Aire métropolitaine,412001,HTDHS2000412001,Metropolitan area,oui,EMMUS 2000,2000,CH_VACC_C_BAS,Enfants complètement vaccinés (8 antigènes),31.2,%,famille : santé,haut,SRC-066,EMMUS / DHS — API des indicateurs du DHS Program,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion","The DHS Program Indicator Data API, The Demographic and Health Surveys (DHS) Program. ICF International. Funded by the United States Agency for International Development (USAID). [Accessed 08-26-2026]",2026-08-25
Artibonite,412006,HTDHS2000412006,Artibonite,oui,EMMUS 2000,2000,CH_VACC_C_BAS,Enfants complètement vaccinés (8 antigènes),20.5,%,famille : santé,haut,SRC-066,EMMUS / DHS — API des indicateurs du DHS Program,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion","The DHS Program Indicator Data API, The Demographic and Health Surveys (DHS) Program. ICF International. Funded by the United States Agency for International Development (USAID). [Accessed 08-26-2026]",2026-08-25
Centre,412007,HTDHS2000412007,Centre,oui,EMMUS 2000,2000,CH_VACC_C_BAS,Enfants complètement vaccinés (8 antigènes),44.7,%,famille : santé,haut,SRC-066,EMMUS / DHS — API des indicateurs du DHS Program,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion","The DHS Program Indicator Data API, The Demographic and Health Surveys (DHS) Program. ICF International. Funded by the United States Agency for International Development (USAID). [Accessed 08-26-2026]",2026-08-25
Grand'Anse et Nippes réunies,412009,HTDHS2000412009,Grande-Anse/Nippes,non,EMMUS 2000,2000,CH_VACC_C_BAS,Enfants complètement vaccinés (8 antigènes),50.4,%,famille : santé,haut,SRC-066,EMMUS / DHS — API des indicateurs du DHS Program,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion","The DHS Program Indicator Data API, The Demographic and Health Surveys (DHS) Program. ICF International. Funded by the United States Agency for International Development (USAID). [Accessed 08-26-2026]",2026-08-25
Nord,412004,HTDHS2000412004,North,oui,EMMUS 2000,2000,CH_VACC_C_BAS,Enfants complètement vaccinés (8 antigènes),47.9,%,famille : santé,haut,SRC-066,EMMUS / DHS — API des indicateurs du DHS Program,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion","The DHS Program Indicator Data API, The Demographic and Health Surveys (DHS) Program. ICF International. Funded by the United States Agency for International Development (USAID). [Accessed 08-26-2026]",2026-08-25
Nord-Est,412005,HTDHS2000412005,North-East,oui,EMMUS 2000,2000,CH_VACC_C_BAS,Enfants complètement vaccinés (8 antigènes),57.3,%,famille : santé,haut,SRC-066,EMMUS / DHS — API des indicateurs du DHS Program,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion","The DHS Program Indicator Data API, The Demographic and Health Surveys (DHS) Program. ICF International. Funded by the United States Agency for International Development (USAID). [Accessed 08-26-2026]",2026-08-25
Nord-Ouest,412012,HTDHS2000412012,North-West,oui,EMMUS 2000,2000,CH_VACC_C_BAS,Enfants complètement vaccinés (8 antigènes),23.1,%,famille : santé,haut,SRC-066,EMMUS / DHS — API des indicateurs du DHS Program,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion","The DHS Program Indicator Data API, The Demographic and Health Surveys (DHS) Program. ICF International. Funded by the United States Agency for International Development (USAID). [Accessed 08-26-2026]",2026-08-25
Reste de l'Ouest,412002,HTDHS2000412002,Rest of West,oui,EMMUS 2000,2000,CH_VACC_C_BAS,Enfants complètement vaccinés (8 antigènes),36.4,%,famille : santé,haut,SRC-066,EMMUS / DHS — API des indicateurs du DHS Program,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion","The DHS Program Indicator Data API, The Demographic and Health Surveys (DHS) Program. ICF International. Funded by the United States Agency for International Development (USAID). [Accessed 08-26-2026]",2026-08-25
Sud,412008,HTDHS2000412008,South,oui,EMMUS 2000,2000,CH_VACC_C_BAS,Enfants complètement vaccinés (8 antigènes),27.2,%,famille : santé,haut,SRC-066,EMMUS / DHS — API des indicateurs du DHS Program,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion","The DHS Program Indicator Data API, The Demographic and Health Surveys (DHS) Program. ICF International. Funded by the United States Agency for International Development (USAID). [Accessed 08-26-2026]",2026-08-25
Sud-Est,412003,HTDHS2000412003,South-East,oui,EMMUS 2000,2000,CH_VACC_C_BAS,Enfants complètement vaccinés (8 antigènes),15.9,%,famille : santé,haut,SRC-066,EMMUS / DHS — API des indicateurs du DHS Program,"Libre d'usage — la seule condition posée par le producteur est la citation ; ni inscription, ni restriction de rediffusion","The DHS Program Indicator Data API, The Demographic and Health Surveys (DHS) Program. ICF International. Funded by the United States Agency for International Development (USAID). [Accessed 08-26-2026]",2026-08-25
