indicateur,periode,valeur,unite,note,source_id,licence,attribution,date_extraction
retours_forces_total,2025,270214,personnes,+36 % par rapport à 2024,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
retours_forces_total,2026-06,26568,personnes,+3 % sur mai 2026 ; +14 % sur juin 2025 ; mois le plus élevé de 2026,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
retours_forces_total,2026-S1,141720,personnes,+11 % par rapport au premier semestre 2025,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
renvoi_republique_dominicaine,2025,265215,personnes,98 %,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
renvoi_turques_et_caiques,2025,2935,personnes,1 %,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
renvoi_etats_unis,2025,1159,personnes,moins de 1 %,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
renvoi_bahamas,2025,756,personnes,moins de 1 %,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
renvoi_jamaique,2025,147,personnes,moins de 1 %,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
part_hommes_adultes,2025,66,%,sur l'ensemble des retours,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
evolution_femmes_adultes,2024-2025,92,%,hausse,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
evolution_filles,2024-2025,152,%,hausse,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
evolution_garcons,2024-2025,133,%,hausse,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
age_moyen,2025,34,ans,"enquête, 26 853 adultes",SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
part_nes_en_haiti,2025,99,%,1 % nés en République dominicaine,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
motif_economique,2025,85,%,recherche de meilleures opportunités économiques,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
deja_deplaces_avant_depart,2025,19,%,déplacées à l'intérieur d'Haïti AVANT de quitter le pays,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
sans_document_identite,2025,32,%,,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
intention_repartir_6_mois,2025,11,%,,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
besoin_transport,2025,92,%,besoin prioritaire à l'arrivée,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
besoin_nourriture,2025,72,%,,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
besoin_hebergement,2025,27,%,,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
enquetes_realisees,2025,26853,adultes,,SRC-055,"Conditions OIM/DTM — passeport PSP-066, publication sous réserve","OIM — Displacement Tracking Matrix, avec l'Office National de la Migration (ONM) et le GARR ; « Suivi des retours forcés vers Haïti »",2026-08-23
