serie_id,libelle,domaine,annee,valeur,unite,source_id,source,licence,attribution,note,date_extraction
CT-MIR-124-M,Achats à Haïti déclarés par Canada,Commerce,2024,38560408.306,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Canada déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-124-M,Achats à Haïti déclarés par Canada,Commerce,2023,36439899.218,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Canada déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-124-M,Achats à Haïti déclarés par Canada,Commerce,2022,51173682.445,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Canada déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-124-M,Achats à Haïti déclarés par Canada,Commerce,2021,57580896.083,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Canada déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-124-M,Achats à Haïti déclarés par Canada,Commerce,2020,54656079.765,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Canada déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-124-M,Achats à Haïti déclarés par Canada,Commerce,2019,91128827.104,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Canada déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-124-M,Achats à Haïti déclarés par Canada,Commerce,2018,50210387.803,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Canada déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-156-M,Achats à Haïti déclarés par Chine,Commerce,2024,6131638.0,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Chine déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-156-M,Achats à Haïti déclarés par Chine,Commerce,2023,7740030.0,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Chine déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-156-M,Achats à Haïti déclarés par Chine,Commerce,2022,2584372.0,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Chine déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-156-M,Achats à Haïti déclarés par Chine,Commerce,2021,4463329.0,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Chine déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-156-M,Achats à Haïti déclarés par Chine,Commerce,2020,3026313.0,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Chine déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-156-M,Achats à Haïti déclarés par Chine,Commerce,2019,4492861.0,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Chine déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-156-M,Achats à Haïti déclarés par Chine,Commerce,2018,7500576.0,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que Chine déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-214-M,Achats à Haïti déclarés par République dominicaine,Commerce,2024,14469360.541,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que République dominicaine déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-214-M,Achats à Haïti déclarés par République dominicaine,Commerce,2023,14945106.689,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que République dominicaine déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-214-M,Achats à Haïti déclarés par République dominicaine,Commerce,2022,11919220.336,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que République dominicaine déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
CT-MIR-214-M,Achats à Haïti déclarés par République dominicaine,Commerce,2021,4327443.135,$ US courants,SRC-COMTRADE,UN Comtrade,Conditions UNSD — agrégats transformés seulement,UN Comtrade,"DONNÉE MIROIR : ce que République dominicaine déclare, PAS ce qu'Haïti déclare — Haïti ne déclare plus ses marchandises depuis 2017. Valeur à l'IMPORTATION du partenaire, donc CAF (fret et assurance compris) : les deux sens ne s'additionnent ni ne se soustraient tels quels. Le commerce terrestre avec la République dominicaine est notoirement sous-déclaré des deux côtés.",2026-08-19
