mois,moyenne_imprimee_brh,jours_de_cotation_lus,moyenne_des_jours_lus,ecart_pct,note,exercice_fichier,source_id,attribution
1993-10,12.4498438,16,12.4498,0.0,,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1993-11,12.7881353,17,12.7881,0.0,,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1993-12,13.0786565,23,13.0787,0.0,,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-01,13.4052333,21,13.4052,0.0,,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-02,13.916,18,13.916,0.0,,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03,14.0738043,23,14.0738,0.0,,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04,14.510405,20,14.5104,0.0,,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05,14.962305,20,14.9623,0.0,,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06,14.8740391,21,14.8726,0.01,,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-07,15.5974476,21,15.5974,0.0,,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-08,19.2649286,21,19.2649,0.0,,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-09,17.803655,20,17.8037,0.0,,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-10,13.935,21,13.9881,0.38,,9495.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-11,14.1518,19,14.1518,0.0,,9495.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-12,12.8995,21,12.8995,0.0,,9495.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1995-02,14.0815,17,14.0815,0.0,,9495.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1995-03,14.2885,20,14.2885,0.0,,9495.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1995-04,14.322,18,14.322,0.0,,9495.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1995-05,14.4087,20,14.4087,0.0,,9495.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1995-06,14.9452,21,14.9452,0.0,,9495.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1995-07,14.9523,21,14.9523,0.0,,9495.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1995-08,15.2639,22,15.2639,0.0,,9495.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1995-09,15.4309,21,15.4309,0.0,,9495.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1995-10,15.8088,20,15.8088,0.0,,9596.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1995-11,17.4361,20,17.4361,0.0,,9596.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1995-12,16.0465,19,16.0465,0.0,,9596.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1996-01,16.4419,21,16.4419,0.0,,9596.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1996-02,16.5528,17,16.5528,0.0,,9596.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1996-03,16.7016,21,16.7016,0.0,,9596.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1996-04,16.4571,21,16.4571,0.0,,9596.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1996-05,15.9461,21,15.9461,0.0,,9596.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1996-06,15.6307,19,15.6307,0.0,,9596.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1996-07,15.1665,23,15.1665,0.0,,9596.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1996-08,14.9141,21,14.9141,0.0,,9596.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1996-09,15.0548,21,15.0548,0.0,,9596.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1996-10,15.1583,22,15.1582,0.0,,9697.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1996-11,15.27,19,15.27,0.0,,9697.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1996-12,15.0453,21,15.0453,0.0,,9697.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1997-01,15.641,19,15.641,0.0,,9697.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
