serie_id,libelle,exercice,periode_debut,periode_fin,valeur_millions_htg,origine,premiere_publication_millions_htg,revision_pct,base_de_presentation,ecart_haitidocs_pct,classeur_scelle,source_id,attribution
TOFE-REC,Recettes totales de l'administration centrale,2000-2001,2000-10-01,2001-09-30,6509.0,révisée dans l'état de l'exercice suivant,6509.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),0.0,candidat_24_96c8af83f9.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-COU,Dépenses courantes,2000-2001,2000-10-01,2001-09-30,7205.0,révisée dans l'état de l'exercice suivant,7205.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_24_96c8af83f9.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-INV,Dépenses d'investissement,2000-2001,2000-10-01,2001-09-30,1578.0,révisée dans l'état de l'exercice suivant,1578.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_24_96c8af83f9.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-CAI,Solde global (base caisse),2000-2001,2000-10-01,2001-09-30,-2274.0,révisée dans l'état de l'exercice suivant,-2274.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_24_96c8af83f9.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-EXT,Financement externe net,2000-2001,2000-10-01,2001-09-30,0.0,révisée dans l'état de l'exercice suivant,0.0,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_24_96c8af83f9.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-INT,Financement interne net,2000-2001,2000-10-01,2001-09-30,0.0,révisée dans l'état de l'exercice suivant,0.0,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_24_96c8af83f9.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-REC,Recettes totales de l'administration centrale,2001-2002,2001-10-01,2002-09-30,7827.0,révisée dans l'état de l'exercice suivant,7827.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),0.0,candidat_23_95521e07f0.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-COU,Dépenses courantes,2001-2002,2001-10-01,2002-09-30,8916.0,révisée dans l'état de l'exercice suivant,8916.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_23_95521e07f0.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-INV,Dépenses d'investissement,2001-2002,2001-10-01,2002-09-30,1908.0,révisée dans l'état de l'exercice suivant,1908.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_23_95521e07f0.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-DEC,Dépenses totales décaissées (base caisse),2001-2002,2001-10-01,2002-09-30,9607.0,révisée dans l'état de l'exercice suivant,9607.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),-100.0,candidat_23_95521e07f0.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
