pcode_commune,atmart_geo_id,nom_commune,famille,famille_libelle,objets_cartographies,source_id,source,millesime,limite_connue,date_extraction
HT0111,HTC-0111,Port-au-Prince,hebergement,Hébergement,27,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"Compte ce qui est CARTOGRAPHIÉ, pas ce qui existe ni ce qui est ouvert. Une commune absente n'a pas zéro établissement : elle n'a pas été cartographiée.",2026-08-20
HT0111,HTC-0111,Port-au-Prince,sites,Sites et attractions,30,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"Compte ce qui est CARTOGRAPHIÉ, pas ce qui existe ni ce qui est ouvert. Une commune absente n'a pas zéro établissement : elle n'a pas été cartographiée.",2026-08-20
HT0111,HTC-0111,Port-au-Prince,plein_air,Plein air,10,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"Compte ce qui est CARTOGRAPHIÉ, pas ce qui existe ni ce qui est ouvert. Une commune absente n'a pas zéro établissement : elle n'a pas été cartographiée.",2026-08-20
HT0111,HTC-0111,Port-au-Prince,information,Information touristique,5,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"Compte ce qui est CARTOGRAPHIÉ, pas ce qui existe ni ce qui est ouvert. Une commune absente n'a pas zéro établissement : elle n'a pas été cartographiée.",2026-08-20
HT0111,HTC-0111,Port-au-Prince,restauration,Restauration et sorties,75,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"Compte ce qui est CARTOGRAPHIÉ, pas ce qui existe ni ce qui est ouvert. Une commune absente n'a pas zéro établissement : elle n'a pas été cartographiée.",2026-08-20
HT0111,HTC-0111,Port-au-Prince,patrimoine,Patrimoine bâti,14,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"Compte ce qui est CARTOGRAPHIÉ, pas ce qui existe ni ce qui est ouvert. Une commune absente n'a pas zéro établissement : elle n'a pas été cartographiée.",2026-08-20
HT0111,HTC-0111,Port-au-Prince,culture,Lieux de culture,7,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"Compte ce qui est CARTOGRAPHIÉ, pas ce qui existe ni ce qui est ouvert. Une commune absente n'a pas zéro établissement : elle n'a pas été cartographiée.",2026-08-20
HT0111,HTC-0111,Port-au-Prince,littoral,Littoral et balnéaire,1,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"Compte ce qui est CARTOGRAPHIÉ, pas ce qui existe ni ce qui est ouvert. Une commune absente n'a pas zéro établissement : elle n'a pas été cartographiée.",2026-08-20
HT0112,HTC-0112,Delmas,hebergement,Hébergement,61,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"Compte ce qui est CARTOGRAPHIÉ, pas ce qui existe ni ce qui est ouvert. Une commune absente n'a pas zéro établissement : elle n'a pas été cartographiée.",2026-08-20
HT0112,HTC-0112,Delmas,sites,Sites et attractions,3,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"Compte ce qui est CARTOGRAPHIÉ, pas ce qui existe ni ce qui est ouvert. Une commune absente n'a pas zéro établissement : elle n'a pas été cartographiée.",2026-08-20
HT0112,HTC-0112,Delmas,plein_air,Plein air,2,SRC-028,OpenStreetMap via HOT — © contributeurs OSM (ODbL),extraits des 14 et 21/08/2026,"Compte ce qui est CARTOGRAPHIÉ, pas ce qui existe ni ce qui est ouvert. Une commune absente n'a pas zéro établissement : elle n'a pas été cartographiée.",2026-08-20
