departement,sens,periode,periode_libelle,montant_usd,part_pourcent,source_id,source,licence,attribution,limite_connue,date_extraction
Ouest,expédié,2021-2022,exercice fiscal 2021-2022,197014222.19,72.725,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Artibonite,expédié,2021-2022,exercice fiscal 2021-2022,19222871.12,7.096,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord,expédié,2021-2022,exercice fiscal 2021-2022,17455543.37,6.443,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Sud,expédié,2021-2022,exercice fiscal 2021-2022,10434104.2,3.852,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord-Ouest,expédié,2021-2022,exercice fiscal 2021-2022,7310388.58,2.699,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Centre,expédié,2021-2022,exercice fiscal 2021-2022,6406481.63,2.365,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Sud-Est,expédié,2021-2022,exercice fiscal 2021-2022,5361344.69,1.979,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nippes,expédié,2021-2022,exercice fiscal 2021-2022,3347579.81,1.236,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Nord-Est,expédié,2021-2022,exercice fiscal 2021-2022,2807979.36,1.037,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Grand'Anse,expédié,2021-2022,exercice fiscal 2021-2022,1543100.83,0.57,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
Ouest,expédié,2022-2023,exercice fiscal 2022-2023,186475887.65,73.456,SRC-061,"BRH — BRH-Infos à la loupe n° 1, avril 2024","Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, « BRH-Infos à la loupe » n° 1, avril 2024 : les transferts sans contrepartie, tendance, distribution et dynamique du marché","Enregistré au lieu de PAIEMENT du transfert, pas au domicile du bénéficiaire",2026-08-25
