sens,origine_ou_destination,code_iso3,est_un_pays,annee_civile,mois_civil,periode,exercice_fiscal_ht,montant_usd,part_du_mois,nombre_operations_mois_tous_pays,montant_moyen_mois_usd,source_id,source,licence,attribution,date_extraction
expédié,États-Unis,USA,oui,2017,10,2017-10,2018,13519206.49,55.6661,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,République dominicaine,DOM,oui,2017,10,2017-10,2018,4153454.97,17.1021,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Chili,CHL,oui,2017,10,2017-10,2018,2146077.26,8.8366,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Canada,CAN,oui,2017,10,2017-10,2018,1273732.74,5.2447,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Asie,,non,2017,10,2017-10,2018,774426.37,3.1887,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Amérique centrale,,non,2017,10,2017-10,2018,517664.58,2.1315,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Afrique,,non,2017,10,2017-10,2018,504482.86,2.0772,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Autres pays d'Amérique du Sud,,non,2017,10,2017-10,2018,418476.47,1.7231,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,France,FRA,oui,2017,10,2017-10,2018,334474.31,1.3772,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Brésil,BRA,oui,2017,10,2017-10,2018,296270.53,1.2199,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Autres Antilles,,non,2017,10,2017-10,2018,129625.8,0.5337,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Autres pays d'Europe,,non,2017,10,2017-10,2018,93267.96,0.384,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Îles Turques-et-Caïques,TCA,oui,2017,10,2017-10,2018,63505.69,0.2615,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Bahamas,BHS,oui,2017,10,2017-10,2018,46689.53,0.1922,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Martinique,MTQ,oui,2017,10,2017-10,2018,9880.99,0.0407,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Saint-Martin,MAF,oui,2017,10,2017-10,2018,5024.2,0.0207,57233,424.34,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,États-Unis,USA,oui,2017,11,2017-11,2018,13281482.62,56.5347,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,République dominicaine,DOM,oui,2017,11,2017-11,2018,3970163.96,16.8996,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Chili,CHL,oui,2017,11,2017-11,2018,1844197.4,7.8501,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Canada,CAN,oui,2017,11,2017-11,2018,1169399.84,4.9777,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Asie,,non,2017,11,2017-11,2018,837770.69,3.5661,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Afrique,,non,2017,11,2017-11,2018,486429.86,2.0706,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Amérique centrale,,non,2017,11,2017-11,2018,441892.74,1.881,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Autres pays d'Amérique du Sud,,non,2017,11,2017-11,2018,425767.25,1.8123,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,France,FRA,oui,2017,11,2017-11,2018,343663.38,1.4629,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Brésil,BRA,oui,2017,11,2017-11,2018,285708.52,1.2162,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Autres pays d'Europe,,non,2017,11,2017-11,2018,128656.23,0.5476,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Autres Antilles,,non,2017,11,2017-11,2018,124919.6,0.5317,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
expédié,Îles Turques-et-Caïques,TCA,oui,2017,11,2017-11,2018,92471.64,0.3936,55425,423.86,SRC-060,BRH — statistiques de la balance des paiements,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, transferts sans contrepartie reçus et expédiés par pays",2026-08-25
